=== arch@archaludon_ex vs rule:alakazam5@alakazam5 matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 135 seat1: winner=1 turns=20 selects=131
  match 136 seat0: winner=1 turns=14 selects=140
  match 136 seat1: winner=0 turns=13 selects=143
  match 137 seat0: winner=1 turns=10 selects=97
  match 137 seat1: winner=1 turns=15 selects=140
  match 138 seat0: winner=1 turns=14 selects=134
  match 138 seat1: winner=1 turns=10 selects=116
  match 139 seat0: winner=0 turns=26 selects=154
  match 139 seat1: winner=0 turns=5 selects=53
  match 140 seat0: winner=0 turns=16 selects=141
  match 140 seat1: winner=0 turns=7 selects=68
  match 141 seat0: winner=1 turns=12 selects=122
  match 141 seat1: winner=0 turns=15 selects=130
  match 142 seat0: winner=0 turns=15 selects=140
  match 142 seat1: winner=0 turns=9 selects=99
  match 143 seat0: winner=0 turns=17 selects=170
  match 143 seat1: winner=0 turns=13 selects=93
  match 144 seat0: winner=1 turns=12 selects=118
  match 144 seat1: winner=0 turns=13 selects=129
  match 145 seat0: winner=0 turns=15 selects=127
  match 145 seat1: winner=0 turns=9 selects=95
  match 146 seat0: winner=1 turns=10 selects=120
  match 146 seat1: winner=1 turns=14 selects=135
  match 147 seat0: winner=0 turns=18 selects=148
  match 147 seat1: winner=1 turns=21 selects=151
  match 148 seat0: winner=0 turns=15 selects=134
  match 148 seat1: winner=0 turns=9 selects=124
  match 149 seat0: winner=0 turns=13 selects=122
  match 149 seat1: winner=0 turns=11 selects=146
  match 150 seat0: winner=1 turns=12 selects=170
  match 150 seat1: winner=1 turns=12 selects=149
  match 151 seat0: winner=1 turns=18 selects=148
  match 151 seat1: winner=0 turns=19 selects=129
  match 152 seat0: winner=1 turns=12 selects=103
  match 152 seat1: winner=0 turns=11 selects=111
  match 153 seat0: winner=0 turns=11 selects=108
  match 153 seat1: winner=0 turns=7 selects=68
  match 154 seat0: winner=1 turns=10 selects=90
  match 154 seat1: winner=0 turns=13 selects=122
  match 155 seat0: winner=0 turns=13 selects=139
  match 155 seat1: winner=0 turns=9 selects=118
  match 156 seat0: winner=1 turns=12 selects=107
  match 156 seat1: winner=0 turns=9 selects=119
  match 157 seat0: winner=0 turns=22 selects=164
  match 157 seat1: winner=0 turns=13 selects=156
  match 158 seat0: winner=1 turns=43 selects=144
  match 158 seat1: winner=0 turns=11 selects=138
  match 159 seat0: winner=1 turns=6 selects=72
  match 159 seat1: winner=0 turns=13 selects=107
  match 160 seat0: winner=1 turns=14 selects=143
  match 160 seat1: winner=0 turns=11 selects=99
  match 161 seat0: winner=1 turns=4 selects=24
  match 161 seat1: winner=0 turns=11 selects=117
  match 162 seat0: winner=0 turns=13 selects=127
  match 162 seat1: winner=0 turns=16 selects=128
  match 163 seat0: winner=1 turns=12 selects=139
  match 163 seat1: winner=0 turns=15 selects=125
  match 164 seat0: winner=1 turns=12 selects=134
  match 164 seat1: winner=0 turns=9 selects=69
  match 165 seat0: winner=1 turns=14 selects=165
  match 165 seat1: winner=0 turns=9 selects=96
  match 166 seat0: winner=1 turns=8 selects=95
  match 166 seat1: winner=0 turns=11 selects=100
  match 167 seat0: winner=0 turns=14 selects=121
  match 167 seat1: winner=0 turns=9 selects=86
  match 168 seat0: winner=0 turns=15 selects=123
  match 168 seat1: winner=0 turns=19 selects=150
  match 169 seat0: winner=0 turns=20 selects=132
  match 169 seat1: winner=0 turns=11 selects=126
  match 170 seat0: winner=1 turns=14 selects=118
  match 170 seat1: winner=0 turns=11 selects=134
  match 171 seat0: winner=0 turns=15 selects=141
  match 171 seat1: winner=1 turns=3 selects=17
  match 172 seat0: winner=1 turns=20 selects=181
  match 172 seat1: winner=1 turns=12 selects=122
  match 173 seat0: winner=1 turns=12 selects=144
  match 173 seat1: winner=0 turns=11 selects=112
  match 174 seat0: winner=1 turns=10 selects=139
  match 174 seat1: winner=0 turns=9 selects=112
  match 175 seat0: winner=1 turns=16 selects=116
  match 175 seat1: winner=1 turns=16 selects=153
  match 176 seat0: winner=0 turns=14 selects=145
  match 176 seat1: winner=0 turns=11 selects=101
  match 177 seat0: winner=1 turns=12 selects=144
  match 177 seat1: winner=0 turns=7 selects=77
  match 178 seat0: winner=1 turns=12 selects=122
  match 178 seat1: winner=1 turns=14 selects=130
  match 179 seat0: winner=1 turns=10 selects=106
  match 179 seat1: winner=0 turns=7 selects=44
  match 180 seat0: winner=1 turns=14 selects=157
  match 180 seat1: winner=1 turns=18 selects=154
  match 181 seat0: winner=0 turns=22 selects=124
  match 181 seat1: winner=1 turns=14 selects=130
  match 182 seat0: winner=0 turns=5 selects=34
  match 182 seat1: winner=1 turns=10 selects=124
  match 183 seat0: winner=0 turns=15 selects=152
  match 183 seat1: winner=1 turns=18 selects=146
  match 184 seat0: winner=0 turns=20 selects=157
  match 184 seat1: winner=0 turns=11 selects=115
  match 185 seat0: winner=1 turns=12 selects=134
  match 185 seat1: winner=0 turns=9 selects=110
  match 186 seat0: winner=1 turns=10 selects=99
  match 186 seat1: winner=0 turns=11 selects=129
  match 187 seat0: winner=0 turns=15 selects=55
  match 187 seat1: winner=0 turns=11 selects=122
  match 188 seat0: winner=1 turns=12 selects=124
  match 188 seat1: winner=0 turns=12 selects=140
  match 189 seat0: winner=1 turns=10 selects=127
  match 189 seat1: winner=0 turns=15 selects=134
  match 190 seat0: winner=0 turns=21 selects=145
  match 190 seat1: winner=0 turns=9 selects=101
  match 191 seat0: winner=1 turns=8 selects=92
  match 191 seat1: winner=0 turns=11 selects=121
  match 192 seat0: winner=0 turns=17 selects=138
  match 192 seat1: winner=0 turns=11 selects=95
  match 193 seat0: winner=1 turns=16 selects=116
  match 193 seat1: winner=1 turns=20 selects=161
  match 194 seat0: winner=1 turns=10 selects=114
  match 194 seat1: winner=1 turns=21 selects=165
  match 195 seat0: winner=1 turns=14 selects=135
  match 195 seat1: winner=0 turns=13 selects=153
  match 196 seat0: winner=1 turns=14 selects=156
  match 196 seat1: winner=0 turns=15 selects=128
  match 197 seat0: winner=1 turns=8 selects=81
  match 197 seat1: winner=0 turns=9 selects=103
  match 198 seat0: winner=1 turns=6 selects=82
  match 198 seat1: winner=1 turns=16 selects=158
  match 199 seat0: winner=1 turns=8 selects=72
  match 199 seat1: winner=1 turns=11 selects=143

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.325 [0.281, 0.372] W130/D0/L270 over 400 games
  as P0: W/D/L=(66, 0, 134)  as P1: W/D/L=(64, 0, 136)
  elapsed 61.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_rulealakazam5_alakazam5.jsonl
  [health] OK calls=21223 fallbacks=0 net_missing=0 deck=400
