=== cru@crustle vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 62 seat1: winner=1 turns=18 selects=186
  match 63 seat0: winner=0 turns=25 selects=242
  match 63 seat1: winner=1 turns=22 selects=184
  match 64 seat0: winner=1 turns=12 selects=136
  match 64 seat1: winner=0 turns=13 selects=156
  match 65 seat0: winner=1 turns=16 selects=161
  match 65 seat1: winner=1 turns=20 selects=166
  match 66 seat0: winner=0 turns=15 selects=145
  match 66 seat1: winner=0 turns=19 selects=222
  match 67 seat0: winner=1 turns=16 selects=166
  match 67 seat1: winner=0 turns=9 selects=114
  match 68 seat0: winner=1 turns=20 selects=176
  match 68 seat1: winner=0 turns=13 selects=130
  match 69 seat0: winner=0 turns=21 selects=155
  match 69 seat1: winner=0 turns=13 selects=184
  match 70 seat0: winner=1 turns=30 selects=276
  match 70 seat1: winner=0 turns=14 selects=166
  match 71 seat0: winner=1 turns=10 selects=121
  match 71 seat1: winner=0 turns=15 selects=174
  match 72 seat0: winner=0 turns=17 selects=172
  match 72 seat1: winner=0 turns=21 selects=224
  match 73 seat0: winner=1 turns=20 selects=213
  match 73 seat1: winner=0 turns=13 selects=163
  match 74 seat0: winner=1 turns=20 selects=210
  match 74 seat1: winner=0 turns=11 selects=134
  match 75 seat0: winner=1 turns=18 selects=222
  match 75 seat1: winner=1 turns=24 selects=242
  match 76 seat0: winner=1 turns=12 selects=155
  match 76 seat1: winner=1 turns=18 selects=128
  match 77 seat0: winner=1 turns=10 selects=120
  match 77 seat1: winner=0 turns=15 selects=216
  match 78 seat0: winner=0 turns=20 selects=150
  match 78 seat1: winner=0 turns=14 selects=180
  match 79 seat0: winner=0 turns=32 selects=238
  match 79 seat1: winner=0 turns=13 selects=162
