=== oger@teal_mask_ogerpon vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacf9-3bebdb; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 61 seat0: winner=0 turns=13 selects=160
  match 61 seat1: winner=1 turns=14 selects=184
  match 62 seat0: winner=0 turns=13 selects=116
  match 62 seat1: winner=1 turns=14 selects=158
  match 63 seat0: winner=0 turns=9 selects=117
  match 63 seat1: winner=1 turns=14 selects=195
  match 64 seat0: winner=0 turns=13 selects=132
  match 64 seat1: winner=1 turns=11 selects=144
  match 65 seat0: winner=0 turns=13 selects=151
  match 65 seat1: winner=1 turns=14 selects=171
  match 66 seat0: winner=0 turns=13 selects=171
  match 66 seat1: winner=0 turns=5 selects=58
  match 67 seat0: winner=0 turns=13 selects=126
  match 67 seat1: winner=1 turns=14 selects=174
  match 68 seat0: winner=0 turns=13 selects=159
  match 68 seat1: winner=1 turns=14 selects=149
  match 69 seat0: winner=0 turns=9 selects=103
  match 69 seat1: winner=0 turns=13 selects=195
  match 70 seat0: winner=0 turns=15 selects=179
  match 70 seat1: winner=1 turns=14 selects=160
  match 71 seat0: winner=1 turns=12 selects=177
  match 71 seat1: winner=1 turns=16 selects=168
  match 72 seat0: winner=0 turns=13 selects=123
  match 72 seat1: winner=1 turns=14 selects=149
  match 73 seat0: winner=0 turns=11 selects=150
  match 73 seat1: winner=1 turns=12 selects=119
  match 74 seat0: winner=0 turns=13 selects=160
  match 74 seat1: winner=1 turns=14 selects=155
  match 75 seat0: winner=0 turns=13 selects=188
  match 75 seat1: winner=0 turns=5 selects=66
  match 76 seat0: winner=0 turns=15 selects=113
  match 76 seat1: winner=1 turns=14 selects=167
  match 77 seat0: winner=1 turns=12 selects=186
  match 77 seat1: winner=1 turns=16 selects=155
  match 78 seat0: winner=0 turns=13 selects=200
  match 78 seat1: winner=1 turns=14 selects=168
  match 79 seat0: winner=0 turns=15 selects=167
  match 79 seat1: winner=1 turns=14 selects=175
  match 80 seat0: winner=0 turns=13 selects=172
  match 80 seat1: winner=1 turns=14 selects=176
  match 81 seat0: winner=0 turns=13 selects=175
  match 81 seat1: winner=1 turns=14 selects=189
  match 82 seat0: winner=0 turns=13 selects=121
  match 82 seat1: winner=1 turns=14 selects=181
  match 83 seat0: winner=0 turns=3 selects=25
  match 83 seat1: winner=1 turns=14 selects=182
  match 84 seat0: winner=0 turns=13 selects=147
  match 84 seat1: winner=1 turns=14 selects=143
  match 85 seat0: winner=0 turns=13 selects=144
  match 85 seat1: winner=1 turns=12 selects=168
  match 86 seat0: winner=0 turns=13 selects=174
  match 86 seat1: winner=1 turns=14 selects=127
  match 87 seat0: winner=1 turns=8 selects=144
  match 87 seat1: winner=1 turns=14 selects=156
  match 88 seat0: winner=0 turns=13 selects=133
  match 88 seat1: winner=1 turns=14 selects=186
  match 89 seat0: winner=0 turns=13 selects=129
  match 89 seat1: winner=1 turns=3 selects=20
  match 90 seat0: winner=0 turns=13 selects=174
  match 90 seat1: winner=1 turns=14 selects=186
  match 91 seat0: winner=0 turns=13 selects=177
  match 91 seat1: winner=0 turns=13 selects=177
  match 92 seat0: winner=0 turns=13 selects=125
  match 92 seat1: winner=1 turns=12 selects=159
  match 93 seat0: winner=0 turns=13 selects=165
  match 93 seat1: winner=1 turns=14 selects=175
  match 94 seat0: winner=1 turns=10 selects=156
  match 94 seat1: winner=1 turns=14 selects=132
  match 95 seat0: winner=1 turns=8 selects=123
  match 95 seat1: winner=1 turns=10 selects=101
  match 96 seat0: winner=0 turns=11 selects=94
  match 96 seat1: winner=1 turns=14 selects=166
  match 97 seat0: winner=0 turns=13 selects=180
  match 97 seat1: winner=1 turns=14 selects=184
  match 98 seat0: winner=1 turns=8 selects=107
  match 98 seat1: winner=1 turns=12 selects=156
  match 99 seat0: winner=0 turns=15 selects=196
  match 99 seat1: winner=1 turns=14 selects=183
  match 100 seat0: winner=1 turns=12 selects=155
  match 100 seat1: winner=1 turns=14 selects=189
  match 101 seat0: winner=0 turns=13 selects=93
  match 101 seat1: winner=1 turns=14 selects=142
  match 102 seat0: winner=0 turns=13 selects=186
  match 102 seat1: winner=0 turns=11 selects=114
  match 103 seat0: winner=0 turns=13 selects=170
  match 103 seat1: winner=1 turns=14 selects=139
  match 104 seat0: winner=0 turns=13 selects=179
  match 104 seat1: winner=1 turns=14 selects=129
  match 105 seat0: winner=0 turns=13 selects=136
  match 105 seat1: winner=1 turns=14 selects=190
  match 106 seat0: winner=0 turns=13 selects=171
  match 106 seat1: winner=0 turns=11 selects=159
  match 107 seat0: winner=0 turns=13 selects=158
  match 107 seat1: winner=1 turns=14 selects=136
  match 108 seat0: winner=0 turns=13 selects=165
  match 108 seat1: winner=1 turns=16 selects=168
  match 109 seat0: winner=0 turns=13 selects=128
  match 109 seat1: winner=1 turns=14 selects=166
  match 110 seat0: winner=0 turns=13 selects=152
  match 110 seat1: winner=1 turns=14 selects=161
  match 111 seat0: winner=1 turns=6 selects=77
  match 111 seat1: winner=1 turns=14 selects=151
  match 112 seat0: winner=0 turns=13 selects=157
  match 112 seat1: winner=1 turns=14 selects=155
  match 113 seat0: winner=0 turns=13 selects=178
  match 113 seat1: winner=1 turns=14 selects=155
  match 114 seat0: winner=0 turns=13 selects=183
  match 114 seat1: winner=1 turns=14 selects=185
  match 115 seat0: winner=1 turns=12 selects=160
  match 115 seat1: winner=1 turns=14 selects=184
  match 116 seat0: winner=0 turns=13 selects=187
  match 116 seat1: winner=1 turns=14 selects=150
  match 117 seat0: winner=0 turns=13 selects=165
  match 117 seat1: winner=1 turns=4 selects=40
  match 118 seat0: winner=1 turns=6 selects=82
  match 118 seat1: winner=1 turns=14 selects=178
  match 119 seat0: winner=0 turns=13 selects=182
  match 119 seat1: winner=1 turns=14 selects=194
  match 120 seat0: winner=0 turns=13 selects=160
  match 120 seat1: winner=1 turns=12 selects=115
  match 121 seat0: winner=0 turns=13 selects=154
  match 121 seat1: winner=0 turns=5 selects=67
  match 122 seat0: winner=0 turns=13 selects=182
  match 122 seat1: winner=1 turns=14 selects=169
  match 123 seat0: winner=0 turns=15 selects=146
  match 123 seat1: winner=1 turns=14 selects=195
  match 124 seat0: winner=0 turns=13 selects=167
  match 124 seat1: winner=1 turns=14 selects=139
  match 125 seat0: winner=0 turns=13 selects=179
  match 125 seat1: winner=1 turns=14 selects=190
  match 126 seat0: winner=0 turns=13 selects=180
  match 126 seat1: winner=1 turns=14 selects=174
