=== gar@cynthia_garchomp vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 62 seat1: winner=0 turns=11 selects=132
  match 63 seat0: winner=1 turns=14 selects=200
  match 63 seat1: winner=0 turns=17 selects=208
  match 64 seat0: winner=1 turns=14 selects=212
  match 64 seat1: winner=0 turns=9 selects=156
  match 65 seat0: winner=0 turns=13 selects=77
  match 65 seat1: winner=0 turns=13 selects=184
  match 66 seat0: winner=0 turns=11 selects=171
  match 66 seat1: winner=0 turns=15 selects=214
  match 67 seat0: winner=1 turns=10 selects=156
  match 67 seat1: winner=0 turns=15 selects=152
  match 68 seat0: winner=1 turns=14 selects=145
  match 68 seat1: winner=0 turns=11 selects=121
  match 69 seat0: winner=1 turns=8 selects=151
  match 69 seat1: winner=1 turns=12 selects=106
  match 70 seat0: winner=1 turns=8 selects=101
  match 70 seat1: winner=0 turns=11 selects=132
  match 71 seat0: winner=1 turns=12 selects=177
  match 71 seat1: winner=0 turns=15 selects=166
  match 72 seat0: winner=1 turns=12 selects=161
  match 72 seat1: winner=0 turns=17 selects=215
  match 73 seat0: winner=0 turns=13 selects=179
  match 73 seat1: winner=0 turns=11 selects=133
  match 74 seat0: winner=0 turns=11 selects=151
  match 74 seat1: winner=1 turns=14 selects=209
  match 75 seat0: winner=0 turns=11 selects=135
  match 75 seat1: winner=0 turns=10 selects=147
  match 76 seat0: winner=1 turns=14 selects=202
  match 76 seat1: winner=0 turns=17 selects=195
  match 77 seat0: winner=1 turns=12 selects=177
  match 77 seat1: winner=0 turns=11 selects=177
  match 78 seat0: winner=1 turns=12 selects=169
  match 78 seat1: winner=0 turns=13 selects=178
  match 79 seat0: winner=1 turns=16 selects=223
  match 79 seat1: winner=0 turns=17 selects=214
  match 80 seat0: winner=1 turns=12 selects=159
  match 80 seat1: winner=0 turns=9 selects=95
  match 81 seat0: winner=0 turns=17 selects=191
  match 81 seat1: winner=0 turns=13 selects=133
  match 82 seat0: winner=0 turns=15 selects=203
  match 82 seat1: winner=1 turns=16 selects=210
  match 83 seat0: winner=1 turns=16 selects=195
  match 83 seat1: winner=0 turns=13 selects=175
  match 84 seat0: winner=1 turns=10 selects=136
  match 84 seat1: winner=1 turns=16 selects=179
  match 85 seat0: winner=1 turns=10 selects=168
  match 85 seat1: winner=0 turns=11 selects=169
  match 86 seat0: winner=1 turns=18 selects=149
  match 86 seat1: winner=0 turns=7 selects=83
  match 87 seat0: winner=1 turns=12 selects=178
  match 87 seat1: winner=0 turns=15 selects=167
  match 88 seat0: winner=1 turns=14 selects=159
  match 88 seat1: winner=0 turns=13 selects=170
  match 89 seat0: winner=1 turns=14 selects=198
  match 89 seat1: winner=0 turns=13 selects=119
  match 90 seat0: winner=0 turns=15 selects=203
  match 90 seat1: winner=0 turns=11 selects=129
  match 91 seat0: winner=1 turns=14 selects=208
  match 91 seat1: winner=0 turns=13 selects=200
  match 92 seat0: winner=1 turns=10 selects=155
  match 92 seat1: winner=0 turns=13 selects=168
  match 93 seat0: winner=1 turns=12 selects=189
  match 93 seat1: winner=0 turns=19 selects=269
  match 94 seat0: winner=1 turns=10 selects=144
  match 94 seat1: winner=0 turns=11 selects=172
  match 95 seat0: winner=1 turns=10 selects=146
  match 95 seat1: winner=0 turns=11 selects=105
  match 96 seat0: winner=1 turns=12 selects=190
  match 96 seat1: winner=0 turns=15 selects=166
  match 97 seat0: winner=1 turns=10 selects=124
  match 97 seat1: winner=0 turns=13 selects=124
  match 98 seat0: winner=1 turns=10 selects=147
  match 98 seat1: winner=1 turns=16 selects=179
  match 99 seat0: winner=0 turns=13 selects=175
  match 99 seat1: winner=0 turns=15 selects=207
  match 100 seat0: winner=0 turns=15 selects=140
  match 100 seat1: winner=1 turns=14 selects=236
  match 101 seat0: winner=0 turns=17 selects=177
  match 101 seat1: winner=0 turns=11 selects=160
  match 102 seat0: winner=1 turns=14 selects=202
  match 102 seat1: winner=0 turns=9 selects=135
  match 103 seat0: winner=0 turns=13 selects=134
  match 103 seat1: winner=1 turns=12 selects=176
  match 104 seat0: winner=0 turns=13 selects=157
  match 104 seat1: winner=1 turns=14 selects=196
  match 105 seat0: winner=0 turns=15 selects=162
  match 105 seat1: winner=0 turns=9 selects=112
  match 106 seat0: winner=1 turns=12 selects=146
  match 106 seat1: winner=0 turns=19 selects=209
  match 107 seat0: winner=1 turns=14 selects=207
  match 107 seat1: winner=0 turns=15 selects=201
  match 108 seat0: winner=1 turns=14 selects=180
  match 108 seat1: winner=1 turns=12 selects=177
  match 109 seat0: winner=0 turns=11 selects=159
  match 109 seat1: winner=0 turns=9 selects=94
  match 110 seat0: winner=0 turns=9 selects=66
  match 110 seat1: winner=0 turns=3 selects=42
  match 111 seat0: winner=1 turns=10 selects=181
  match 111 seat1: winner=0 turns=11 selects=150
  match 112 seat0: winner=1 turns=14 selects=102
  match 112 seat1: winner=0 turns=15 selects=250
  match 113 seat0: winner=0 turns=13 selects=169
  match 113 seat1: winner=0 turns=13 selects=169
  match 114 seat0: winner=1 turns=4 selects=37
  match 114 seat1: winner=0 turns=13 selects=111
  match 115 seat0: winner=1 turns=16 selects=199
  match 115 seat1: winner=0 turns=11 selects=153
  match 116 seat0: winner=1 turns=14 selects=200
  match 116 seat1: winner=0 turns=11 selects=179
  match 117 seat0: winner=1 turns=12 selects=188
  match 117 seat1: winner=0 turns=11 selects=130
  match 118 seat0: winner=0 turns=11 selects=138
  match 118 seat1: winner=1 turns=14 selects=211
  match 119 seat0: winner=1 turns=14 selects=210
  match 119 seat1: winner=1 turns=12 selects=140
  match 120 seat0: winner=1 turns=12 selects=174
  match 120 seat1: winner=0 turns=7 selects=75
  match 121 seat0: winner=1 turns=16 selects=220
  match 121 seat1: winner=0 turns=13 selects=137
  match 122 seat0: winner=1 turns=10 selects=161
  match 122 seat1: winner=0 turns=13 selects=181
  match 123 seat0: winner=1 turns=14 selects=211
  match 123 seat1: winner=0 turns=7 selects=80
  match 124 seat0: winner=1 turns=18 selects=212
  match 124 seat1: winner=0 turns=17 selects=167
  match 125 seat0: winner=1 turns=14 selects=172
  match 125 seat1: winner=0 turns=11 selects=117
  match 126 seat0: winner=1 turns=12 selects=119
  match 126 seat1: winner=0 turns=13 selects=205
  match 127 seat0: winner=1 turns=12 selects=178
  match 127 seat1: winner=1 turns=12 selects=163
  match 128 seat0: winner=1 turns=12 selects=171
  match 128 seat1: winner=1 turns=16 selects=238
  match 129 seat0: winner=1 turns=10 selects=120
  match 129 seat1: winner=0 turns=7 selects=70
  match 130 seat0: winner=1 turns=18 selects=193
  match 130 seat1: winner=0 turns=11 selects=143
  match 131 seat0: winner=1 turns=10 selects=124
  match 131 seat1: winner=0 turns=13 selects=189
  match 132 seat0: winner=0 turns=13 selects=180
  match 132 seat1: winner=0 turns=13 selects=207
  match 133 seat0: winner=0 turns=15 selects=212
  match 133 seat1: winner=1 turns=14 selects=160
  match 134 seat0: winner=1 turns=14 selects=185
  match 134 seat1: winner=0 turns=17 selects=215
  match 135 seat0: winner=1 turns=14 selects=179
  match 135 seat1: winner=0 turns=13 selects=174
  match 136 seat0: winner=0 turns=13 selects=212
  match 136 seat1: winner=0 turns=11 selects=149
  match 137 seat0: winner=1 turns=14 selects=152
  match 137 seat1: winner=0 turns=11 selects=161
  match 138 seat0: winner=1 turns=12 selects=131
  match 138 seat1: winner=0 turns=15 selects=184
  match 139 seat0: winner=1 turns=12 selects=160
  match 139 seat1: winner=1 turns=12 selects=100
  match 140 seat0: winner=1 turns=14 selects=201
  match 140 seat1: winner=0 turns=15 selects=173
  match 141 seat0: winner=0 turns=15 selects=212
  match 141 seat1: winner=0 turns=13 selects=210
  match 142 seat0: winner=1 turns=12 selects=185
  match 142 seat1: winner=1 turns=12 selects=170
  match 143 seat0: winner=1 turns=12 selects=182
  match 143 seat1: winner=0 turns=13 selects=214
  match 144 seat0: winner=0 turns=15 selects=175
  match 144 seat1: winner=0 turns=11 selects=121
  match 145 seat0: winner=1 turns=12 selects=165
  match 145 seat1: winner=1 turns=12 selects=141
  match 146 seat0: winner=1 turns=14 selects=198
  match 146 seat1: winner=0 turns=9 selects=100
  match 147 seat0: winner=1 turns=12 selects=111
  match 147 seat1: winner=0 turns=9 selects=146
  match 148 seat0: winner=1 turns=12 selects=183
  match 148 seat1: winner=0 turns=11 selects=127
  match 149 seat0: winner=0 turns=11 selects=114
  match 149 seat1: winner=1 turns=14 selects=159
  match 150 seat0: winner=1 turns=10 selects=175
  match 150 seat1: winner=0 turns=9 selects=151
  match 151 seat0: winner=1 turns=12 selects=187
  match 151 seat1: winner=1 turns=18 selects=203
  match 152 seat0: winner=1 turns=12 selects=117
  match 152 seat1: winner=0 turns=21 selects=227
  match 153 seat0: winner=1 turns=16 selects=210
  match 153 seat1: winner=0 turns=13 selects=176
  match 154 seat0: winner=1 turns=14 selects=193
  match 154 seat1: winner=1 turns=14 selects=184
  match 155 seat0: winner=1 turns=14 selects=204
  match 155 seat1: winner=0 turns=11 selects=167
  match 156 seat0: winner=1 turns=12 selects=163
  match 156 seat1: winner=0 turns=15 selects=202
  match 157 seat0: winner=1 turns=14 selects=196
  match 157 seat1: winner=0 turns=15 selects=154
