=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 61 seat1: winner=0 turns=11 selects=145
  match 62 seat0: winner=0 turns=13 selects=115
  match 62 seat1: winner=0 turns=11 selects=144
  match 63 seat0: winner=1 turns=14 selects=153
  match 63 seat1: winner=1 turns=6 selects=47
  match 64 seat0: winner=1 turns=16 selects=171
  match 64 seat1: winner=1 turns=10 selects=115
  match 65 seat0: winner=1 turns=10 selects=131
  match 65 seat1: winner=0 turns=11 selects=128
  match 66 seat0: winner=1 turns=12 selects=152
  match 66 seat1: winner=1 turns=12 selects=150
  match 67 seat0: winner=1 turns=8 selects=74
  match 67 seat1: winner=1 turns=14 selects=169
  match 68 seat0: winner=1 turns=12 selects=152
  match 68 seat1: winner=1 turns=10 selects=95
  match 69 seat0: winner=1 turns=10 selects=116
  match 69 seat1: winner=1 turns=10 selects=117
  match 70 seat0: winner=1 turns=16 selects=157
  match 70 seat1: winner=0 turns=15 selects=158
  match 71 seat0: winner=1 turns=20 selects=129
  match 71 seat1: winner=0 turns=11 selects=157
  match 72 seat0: winner=1 turns=12 selects=131
  match 72 seat1: winner=1 turns=6 selects=28
  match 73 seat0: winner=0 turns=13 selects=153
  match 73 seat1: winner=0 turns=19 selects=165
  match 74 seat0: winner=0 turns=11 selects=145
  match 74 seat1: winner=0 turns=17 selects=172
  match 75 seat0: winner=1 turns=10 selects=127
  match 75 seat1: winner=1 turns=12 selects=152
  match 76 seat0: winner=0 turns=13 selects=149
  match 76 seat1: winner=0 turns=15 selects=203
  match 77 seat0: winner=0 turns=13 selects=167
  match 77 seat1: winner=0 turns=11 selects=169
  match 78 seat0: winner=0 turns=11 selects=143
  match 78 seat1: winner=1 turns=10 selects=124
  match 79 seat0: winner=1 turns=10 selects=135
  match 79 seat1: winner=1 turns=12 selects=154
  match 80 seat0: winner=1 turns=10 selects=95
  match 80 seat1: winner=1 turns=14 selects=130
  match 81 seat0: winner=0 turns=13 selects=166
  match 81 seat1: winner=1 turns=12 selects=145
  match 82 seat0: winner=0 turns=13 selects=132
  match 82 seat1: winner=0 turns=13 selects=160
  match 83 seat0: winner=0 turns=13 selects=148
  match 83 seat1: winner=1 turns=12 selects=132
  match 84 seat0: winner=1 turns=14 selects=160
  match 84 seat1: winner=0 turns=13 selects=162
  match 85 seat0: winner=1 turns=14 selects=168
  match 85 seat1: winner=1 turns=12 selects=150
  match 86 seat0: winner=0 turns=13 selects=157
  match 86 seat1: winner=0 turns=13 selects=154
  match 87 seat0: winner=1 turns=12 selects=120
  match 87 seat1: winner=1 turns=10 selects=127
  match 88 seat0: winner=0 turns=11 selects=136
  match 88 seat1: winner=0 turns=11 selects=153
