=== gar@cynthia_garchomp vs rule:dragapult@dragapult_ex matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 74 seat0: winner=0 turns=17 selects=223
  match 74 seat1: winner=0 turns=16 selects=134
  match 75 seat0: winner=1 turns=10 selects=107
  match 75 seat1: winner=1 turns=15 selects=163
  match 76 seat0: winner=0 turns=13 selects=144
  match 76 seat1: winner=1 turns=11 selects=149
  match 77 seat0: winner=0 turns=7 selects=78
  match 77 seat1: winner=0 turns=14 selects=169
  match 78 seat0: winner=0 turns=17 selects=219
  match 78 seat1: winner=1 turns=15 selects=176
  match 79 seat0: winner=1 turns=14 selects=185
  match 79 seat1: winner=1 turns=15 selects=177
  match 80 seat0: winner=0 turns=17 selects=144
  match 80 seat1: winner=0 turns=14 selects=181
  match 81 seat0: winner=1 turns=16 selects=179
  match 81 seat1: winner=0 turns=14 selects=164
  match 82 seat0: winner=0 turns=15 selects=171
  match 82 seat1: winner=1 turns=13 selects=180
  match 83 seat0: winner=1 turns=14 selects=198
  match 83 seat1: winner=1 turns=17 selects=177
  match 84 seat0: winner=1 turns=14 selects=188
  match 84 seat1: winner=0 turns=14 selects=196
  match 85 seat0: winner=0 turns=17 selects=186
  match 85 seat1: winner=1 turns=13 selects=184
  match 86 seat0: winner=0 turns=13 selects=133
  match 86 seat1: winner=0 turns=16 selects=175
  match 87 seat0: winner=1 turns=16 selects=210
  match 87 seat1: winner=0 turns=6 selects=38
  match 88 seat0: winner=0 turns=19 selects=198
  match 88 seat1: winner=0 turns=14 selects=201
  match 89 seat0: winner=0 turns=5 selects=66
  match 89 seat1: winner=1 turns=15 selects=201
  match 90 seat0: winner=0 turns=13 selects=188
  match 90 seat1: winner=0 turns=12 selects=200
  match 91 seat0: winner=1 turns=12 selects=170
  match 91 seat1: winner=0 turns=14 selects=168
  match 92 seat0: winner=1 turns=16 selects=134
  match 92 seat1: winner=0 turns=14 selects=170
  match 93 seat0: winner=0 turns=5 selects=57
  match 93 seat1: winner=1 turns=13 selects=166
  match 94 seat0: winner=1 turns=12 selects=133
  match 94 seat1: winner=0 turns=16 selects=237
  match 95 seat0: winner=0 turns=21 selects=212
  match 95 seat1: winner=0 turns=18 selects=196
  match 96 seat0: winner=1 turns=18 selects=209
  match 96 seat1: winner=0 turns=14 selects=196
  match 97 seat0: winner=0 turns=15 selects=155
  match 97 seat1: winner=0 turns=14 selects=166
  match 98 seat0: winner=1 turns=16 selects=208
  match 98 seat1: winner=1 turns=13 selects=193
  match 99 seat0: winner=0 turns=21 selects=227
  match 99 seat1: winner=1 turns=19 selects=241
  match 100 seat0: winner=0 turns=21 selects=199
  match 100 seat1: winner=1 turns=19 selects=194
  match 101 seat0: winner=0 turns=11 selects=146
  match 101 seat1: winner=0 turns=12 selects=153
  match 102 seat0: winner=0 turns=19 selects=172
  match 102 seat1: winner=1 turns=3 selects=24
  match 103 seat0: winner=0 turns=13 selects=166
  match 103 seat1: winner=0 turns=14 selects=171
  match 104 seat0: winner=1 turns=14 selects=196
  match 104 seat1: winner=0 turns=16 selects=154
  match 105 seat0: winner=1 turns=14 selects=177
  match 105 seat1: winner=1 turns=13 selects=167
  match 106 seat0: winner=1 turns=10 selects=111
  match 106 seat1: winner=1 turns=13 selects=149
  match 107 seat0: winner=0 turns=11 selects=124
  match 107 seat1: winner=1 turns=15 selects=177
  match 108 seat0: winner=1 turns=20 selects=249
  match 108 seat1: winner=0 turns=12 selects=159
  match 109 seat0: winner=0 turns=19 selects=226
  match 109 seat1: winner=1 turns=13 selects=150
  match 110 seat0: winner=0 turns=3 selects=31
  match 110 seat1: winner=1 turns=15 selects=124
  match 111 seat0: winner=0 turns=13 selects=170
  match 111 seat1: winner=0 turns=12 selects=175
  match 112 seat0: winner=1 turns=14 selects=195
  match 112 seat1: winner=1 turns=11 selects=163
  match 113 seat0: winner=0 turns=11 selects=152
  match 113 seat1: winner=1 turns=5 selects=55
  match 114 seat0: winner=0 turns=11 selects=81
  match 114 seat1: winner=1 turns=13 selects=143
  match 115 seat0: winner=1 turns=24 selects=233
  match 115 seat1: winner=0 turns=16 selects=219
  match 116 seat0: winner=1 turns=12 selects=171
  match 116 seat1: winner=0 turns=12 selects=183
  match 117 seat0: winner=1 turns=12 selects=199
  match 117 seat1: winner=0 turns=14 selects=174
  match 118 seat0: winner=0 turns=17 selects=206
  match 118 seat1: winner=0 turns=12 selects=187
  match 119 seat0: winner=1 turns=16 selects=198
  match 119 seat1: winner=0 turns=16 selects=210
  match 120 seat0: winner=1 turns=12 selects=123
  match 120 seat1: winner=0 turns=12 selects=177
  match 121 seat0: winner=1 turns=10 selects=175
  match 121 seat1: winner=1 turns=13 selects=177
  match 122 seat0: winner=1 turns=16 selects=224
  match 122 seat1: winner=1 turns=23 selects=145
  match 123 seat0: winner=0 turns=13 selects=178
  match 123 seat1: winner=0 turns=14 selects=210
  match 124 seat0: winner=0 turns=21 selects=208
  match 124 seat1: winner=1 turns=15 selects=161
  match 125 seat0: winner=0 turns=3 selects=28
  match 125 seat1: winner=1 turns=4 selects=34
  match 126 seat0: winner=1 turns=16 selects=212
  match 126 seat1: winner=1 turns=15 selects=199
  match 127 seat0: winner=1 turns=12 selects=187
  match 127 seat1: winner=1 turns=17 selects=193
  match 128 seat0: winner=0 turns=11 selects=133
  match 128 seat1: winner=1 turns=15 selects=187
  match 129 seat0: winner=1 turns=14 selects=206
  match 129 seat1: winner=1 turns=11 selects=147
  match 130 seat0: winner=0 turns=13 selects=186
  match 130 seat1: winner=1 turns=11 selects=167
  match 131 seat0: winner=1 turns=12 selects=188
  match 131 seat1: winner=0 turns=14 selects=177
  match 132 seat0: winner=1 turns=16 selects=210
  match 132 seat1: winner=0 turns=10 selects=150
  match 133 seat0: winner=1 turns=4 selects=37
  match 133 seat1: winner=1 turns=11 selects=141
  match 134 seat0: winner=0 turns=17 selects=211
  match 134 seat1: winner=0 turns=14 selects=154
  match 135 seat0: winner=0 turns=13 selects=179
  match 135 seat1: winner=0 turns=10 selects=120
  match 136 seat0: winner=1 turns=14 selects=174
  match 136 seat1: winner=1 turns=11 selects=151
  match 137 seat0: winner=1 turns=18 selects=232
  match 137 seat1: winner=1 turns=5 selects=58
  match 138 seat0: winner=1 turns=12 selects=158
  match 138 seat1: winner=0 turns=14 selects=181
  match 139 seat0: winner=1 turns=14 selects=198
  match 139 seat1: winner=1 turns=15 selects=157
  match 140 seat0: winner=0 turns=11 selects=150
  match 140 seat1: winner=1 turns=21 selects=200
  match 141 seat0: winner=1 turns=14 selects=202
  match 141 seat1: winner=0 turns=18 selects=167
  match 142 seat0: winner=0 turns=11 selects=152
  match 142 seat1: winner=1 turns=19 selects=183
  match 143 seat0: winner=1 turns=14 selects=197
  match 143 seat1: winner=0 turns=12 selects=149
  match 144 seat0: winner=1 turns=22 selects=222
  match 144 seat1: winner=0 turns=14 selects=189
  match 145 seat0: winner=0 turns=19 selects=176
  match 145 seat1: winner=1 turns=11 selects=158
  match 146 seat0: winner=1 turns=12 selects=163
  match 146 seat1: winner=1 turns=15 selects=207
  match 147 seat0: winner=1 turns=16 selects=211
  match 147 seat1: winner=0 turns=14 selects=178
  match 148 seat0: winner=1 turns=18 selects=241
