=== cru@crustle vs rule:archaludon@archaludon_ex matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 47 seat1: winner=1 turns=15 selects=116
  match 48 seat0: winner=0 turns=15 selects=56
  match 48 seat1: winner=0 turns=12 selects=69
  match 49 seat0: winner=0 turns=19 selects=109
  match 49 seat1: winner=0 turns=10 selects=70
  match 50 seat0: winner=0 turns=42 selects=137
  match 50 seat1: winner=1 turns=17 selects=104
  match 51 seat0: winner=0 turns=23 selects=110
  match 51 seat1: winner=0 turns=20 selects=122
  match 52 seat0: winner=0 turns=31 selects=119
  match 52 seat1: winner=0 turns=2 selects=21
  match 53 seat0: winner=0 turns=50 selects=135
  match 53 seat1: winner=1 turns=23 selects=121
  match 54 seat0: winner=0 turns=19 selects=108
  match 54 seat1: winner=1 turns=23 selects=98
  match 55 seat0: winner=0 turns=23 selects=99
  match 55 seat1: winner=0 turns=20 selects=104
  match 56 seat0: winner=0 turns=27 selects=140
  match 56 seat1: winner=1 turns=27 selects=127
  match 57 seat0: winner=0 turns=26 selects=143
  match 57 seat1: winner=0 turns=16 selects=124
  match 58 seat0: winner=1 turns=16 selects=71
  match 58 seat1: winner=0 turns=12 selects=84
  match 59 seat0: winner=0 turns=27 selects=111
  match 59 seat1: winner=1 turns=15 selects=65
  match 60 seat0: winner=0 turns=34 selects=162
  match 60 seat1: winner=1 turns=25 selects=109
  match 61 seat0: winner=0 turns=13 selects=97
  match 61 seat1: winner=0 turns=18 selects=117
  match 62 seat0: winner=0 turns=21 selects=143
  match 62 seat1: winner=1 turns=32 selects=145
  match 63 seat0: winner=0 turns=38 selects=193
  match 63 seat1: winner=1 turns=18 selects=90
  match 64 seat0: winner=0 turns=21 selects=115
  match 64 seat1: winner=0 turns=12 selects=77
  match 65 seat0: winner=0 turns=19 selects=143
  match 65 seat1: winner=0 turns=24 selects=135
  match 66 seat0: winner=0 turns=13 selects=70
  match 66 seat1: winner=2 turns=12 selects=46
  match 67 seat0: winner=0 turns=15 selects=83
  match 67 seat1: winner=1 turns=13 selects=91
  match 68 seat0: winner=1 turns=8 selects=59
  match 68 seat1: winner=0 turns=8 selects=35
  match 69 seat0: winner=0 turns=32 selects=140
  match 69 seat1: winner=1 turns=19 selects=102
  match 70 seat0: winner=0 turns=20 selects=128
  match 70 seat1: winner=0 turns=30 selects=166
  match 71 seat0: winner=0 turns=31 selects=163
  match 71 seat1: winner=1 turns=30 selects=176
  match 72 seat0: winner=0 turns=33 selects=151
  match 72 seat1: winner=1 turns=17 selects=118
  match 73 seat0: winner=0 turns=29 selects=142
  match 73 seat1: winner=0 turns=8 selects=67
  match 74 seat0: winner=0 turns=29 selects=154
  match 74 seat1: winner=0 turns=16 selects=89
  match 75 seat0: winner=1 turns=18 selects=103
  match 75 seat1: winner=1 turns=17 selects=113
  match 76 seat0: winner=1 turns=2 selects=13
  match 76 seat1: winner=1 turns=15 selects=82
  match 77 seat0: winner=0 turns=21 selects=103
  match 77 seat1: winner=0 turns=18 selects=98
  match 78 seat0: winner=0 turns=25 selects=127
  match 78 seat1: winner=0 turns=16 selects=88
  match 79 seat0: winner=1 turns=16 selects=113
  match 79 seat1: winner=1 turns=5 selects=26
  match 80 seat0: winner=1 turns=12 selects=85
