=== luc@lucario_v10 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_luc_lucario_v10_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eaa27-06cd8f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 60 seat0: winner=1 turns=12 selects=164
  match 60 seat1: winner=0 turns=13 selects=124
  match 61 seat0: winner=1 turns=10 selects=133
  match 61 seat1: winner=0 turns=11 selects=110
  match 62 seat0: winner=1 turns=10 selects=154
  match 62 seat1: winner=1 turns=14 selects=108
  match 63 seat0: winner=1 turns=10 selects=100
  match 63 seat1: winner=0 turns=9 selects=149
  match 64 seat0: winner=1 turns=14 selects=190
  match 64 seat1: winner=1 turns=10 selects=138
  match 65 seat0: winner=1 turns=12 selects=128
  match 65 seat1: winner=1 turns=14 selects=202
  match 66 seat0: winner=1 turns=14 selects=201
  match 66 seat1: winner=1 turns=16 selects=186
  match 67 seat0: winner=1 turns=12 selects=159
  match 67 seat1: winner=0 turns=13 selects=165
  match 68 seat0: winner=1 turns=8 selects=109
  match 68 seat1: winner=0 turns=11 selects=161
  match 69 seat0: winner=0 turns=13 selects=165
  match 69 seat1: winner=0 turns=15 selects=144
  match 70 seat0: winner=1 turns=12 selects=189
  match 70 seat1: winner=1 turns=16 selects=171
  match 71 seat0: winner=1 turns=16 selects=153
  match 71 seat1: winner=1 turns=12 selects=75
  match 72 seat0: winner=1 turns=16 selects=176
  match 72 seat1: winner=0 turns=11 selects=161
  match 73 seat0: winner=1 turns=12 selects=163
  match 73 seat1: winner=0 turns=11 selects=164
  match 74 seat0: winner=1 turns=12 selects=141
  match 74 seat1: winner=0 turns=11 selects=146
  match 75 seat0: winner=1 turns=12 selects=167
  match 75 seat1: winner=0 turns=11 selects=166
  match 76 seat0: winner=0 turns=11 selects=98
  match 76 seat1: winner=0 turns=11 selects=155
  match 77 seat0: winner=1 turns=10 selects=146
  match 77 seat1: winner=0 turns=9 selects=130
  match 78 seat0: winner=1 turns=10 selects=143
  match 78 seat1: winner=1 turns=14 selects=170
  match 79 seat0: winner=1 turns=10 selects=163
  match 79 seat1: winner=0 turns=11 selects=139
  match 80 seat0: winner=1 turns=10 selects=173
  match 80 seat1: winner=1 turns=2 selects=21
  match 81 seat0: winner=0 turns=11 selects=124
  match 81 seat1: winner=0 turns=13 selects=184
  match 82 seat0: winner=1 turns=10 selects=163
  match 82 seat1: winner=0 turns=11 selects=160
  match 83 seat0: winner=0 turns=15 selects=147
  match 83 seat1: winner=0 turns=11 selects=77
  match 84 seat0: winner=1 turns=12 selects=143
  match 84 seat1: winner=0 turns=9 selects=143
  match 85 seat0: winner=1 turns=12 selects=165
  match 85 seat1: winner=1 turns=12 selects=173
  match 86 seat0: winner=1 turns=10 selects=128
  match 86 seat1: winner=0 turns=15 selects=131
  match 87 seat0: winner=1 turns=12 selects=169
  match 87 seat1: winner=1 turns=16 selects=165
  match 88 seat0: winner=0 turns=13 selects=193
  match 88 seat1: winner=0 turns=11 selects=170
  match 89 seat0: winner=1 turns=12 selects=149
  match 89 seat1: winner=0 turns=7 selects=69
  match 90 seat0: winner=0 turns=11 selects=127
  match 90 seat1: winner=0 turns=13 selects=166
  match 91 seat0: winner=0 turns=15 selects=170
  match 91 seat1: winner=0 turns=9 selects=154
  match 92 seat0: winner=0 turns=11 selects=142
  match 92 seat1: winner=1 turns=16 selects=156
  match 93 seat0: winner=1 turns=8 selects=122
  match 93 seat1: winner=0 turns=9 selects=133
  match 94 seat0: winner=0 turns=11 selects=152
  match 94 seat1: winner=1 turns=12 selects=104
  match 95 seat0: winner=0 turns=11 selects=147
  match 95 seat1: winner=0 turns=9 selects=141
  match 96 seat0: winner=0 turns=13 selects=108
  match 96 seat1: winner=0 turns=11 selects=141
  match 97 seat0: winner=0 turns=13 selects=146
  match 97 seat1: winner=0 turns=13 selects=120
  match 98 seat0: winner=1 turns=12 selects=119
  match 98 seat1: winner=1 turns=14 selects=184
  match 99 seat0: winner=0 turns=15 selects=182
  match 99 seat1: winner=0 turns=15 selects=183
  match 100 seat0: winner=1 turns=10 selects=129
  match 100 seat1: winner=0 turns=11 selects=153
  match 101 seat0: winner=1 turns=14 selects=149
  match 101 seat1: winner=0 turns=5 selects=52
  match 102 seat0: winner=1 turns=10 selects=158
  match 102 seat1: winner=1 turns=12 selects=152
  match 103 seat0: winner=1 turns=10 selects=143
  match 103 seat1: winner=0 turns=9 selects=110
  match 104 seat0: winner=0 turns=13 selects=169
  match 104 seat1: winner=0 turns=13 selects=160
  match 105 seat0: winner=1 turns=13 selects=136
  match 105 seat1: winner=0 turns=15 selects=189
  match 106 seat0: winner=1 turns=14 selects=159
  match 106 seat1: winner=0 turns=11 selects=173
  match 107 seat0: winner=1 turns=10 selects=147
  match 107 seat1: winner=0 turns=13 selects=183
  match 108 seat0: winner=0 turns=11 selects=155
  match 108 seat1: winner=0 turns=11 selects=107
  match 109 seat0: winner=1 turns=12 selects=152
  match 109 seat1: winner=0 turns=15 selects=215
  match 110 seat0: winner=1 turns=12 selects=176
  match 110 seat1: winner=0 turns=9 selects=119
  match 111 seat0: winner=1 turns=12 selects=169
  match 111 seat1: winner=0 turns=13 selects=132
  match 112 seat0: winner=0 turns=11 selects=156
  match 112 seat1: winner=1 turns=34 selects=242
  match 113 seat0: winner=0 turns=17 selects=167
  match 113 seat1: winner=1 turns=14 selects=182
  match 114 seat0: winner=1 turns=10 selects=115
  match 114 seat1: winner=0 turns=11 selects=129
  match 115 seat0: winner=1 turns=12 selects=165
  match 115 seat1: winner=0 turns=9 selects=132
  match 116 seat0: winner=1 turns=14 selects=178
  match 116 seat1: winner=0 turns=15 selects=167
  match 117 seat0: winner=1 turns=12 selects=179
  match 117 seat1: winner=0 turns=9 selects=79
  match 118 seat0: winner=0 turns=11 selects=147
  match 118 seat1: winner=1 turns=12 selects=114
  match 119 seat0: winner=1 turns=10 selects=135
  match 119 seat1: winner=1 turns=14 selects=187
  match 120 seat0: winner=1 turns=14 selects=190
  match 120 seat1: winner=0 turns=21 selects=218
  match 121 seat0: winner=1 turns=12 selects=180
  match 121 seat1: winner=0 turns=5 selects=69
  match 122 seat0: winner=1 turns=16 selects=163
  match 122 seat1: winner=1 turns=12 selects=164
  match 123 seat0: winner=1 turns=14 selects=139
  match 123 seat1: winner=0 turns=13 selects=111
  match 124 seat0: winner=1 turns=12 selects=160
  match 124 seat1: winner=0 turns=13 selects=181
  match 125 seat0: winner=1 turns=10 selects=131
  match 125 seat1: winner=1 turns=14 selects=152
  match 126 seat0: winner=1 turns=14 selects=140
  match 126 seat1: winner=0 turns=13 selects=158
  match 127 seat0: winner=0 turns=15 selects=187
  match 127 seat1: winner=0 turns=11 selects=160
  match 128 seat0: winner=1 turns=12 selects=162
  match 128 seat1: winner=0 turns=13 selects=205
  match 129 seat0: winner=1 turns=10 selects=149
  match 129 seat1: winner=0 turns=9 selects=135
  match 130 seat0: winner=1 turns=10 selects=128
  match 130 seat1: winner=0 turns=11 selects=160
  match 131 seat0: winner=1 turns=14 selects=214
  match 131 seat1: winner=1 turns=14 selects=119
  match 132 seat0: winner=0 turns=15 selects=193
  match 132 seat1: winner=0 turns=13 selects=154
  match 133 seat0: winner=1 turns=12 selects=174
  match 133 seat1: winner=0 turns=11 selects=128
  match 134 seat0: winner=1 turns=12 selects=165
  match 134 seat1: winner=1 turns=14 selects=176
  match 135 seat0: winner=0 turns=15 selects=148
  match 135 seat1: winner=0 turns=13 selects=202
  match 136 seat0: winner=1 turns=16 selects=239
  match 136 seat1: winner=0 turns=15 selects=188
  match 137 seat0: winner=1 turns=8 selects=125
  match 137 seat1: winner=1 turns=10 selects=102
  match 138 seat0: winner=1 turns=12 selects=146
  match 138 seat1: winner=0 turns=13 selects=161
  match 139 seat0: winner=0 turns=13 selects=139
  match 139 seat1: winner=0 turns=9 selects=79
  match 140 seat0: winner=1 turns=12 selects=151
  match 140 seat1: winner=0 turns=11 selects=142
  match 141 seat0: winner=1 turns=12 selects=162
  match 141 seat1: winner=0 turns=11 selects=137
  match 142 seat0: winner=1 turns=8 selects=147
  match 142 seat1: winner=0 turns=9 selects=145
  match 143 seat0: winner=1 turns=12 selects=204
  match 143 seat1: winner=0 turns=11 selects=139
  match 144 seat0: winner=1 turns=12 selects=139
  match 144 seat1: winner=0 turns=13 selects=171
  match 145 seat0: winner=1 turns=14 selects=168
  match 145 seat1: winner=0 turns=9 selects=120
  match 146 seat0: winner=0 turns=11 selects=133
  match 146 seat1: winner=0 turns=13 selects=171
  match 147 seat0: winner=1 turns=10 selects=128
  match 147 seat1: winner=0 turns=11 selects=148
  match 148 seat0: winner=1 turns=12 selects=162
  match 148 seat1: winner=0 turns=11 selects=161
  match 149 seat0: winner=0 turns=15 selects=127
  match 149 seat1: winner=1 turns=6 selects=49
  match 150 seat0: winner=0 turns=11 selects=176
  match 150 seat1: winner=1 turns=10 selects=154
  match 151 seat0: winner=1 turns=12 selects=125
  match 151 seat1: winner=0 turns=11 selects=160
  match 152 seat0: winner=1 turns=12 selects=151
  match 152 seat1: winner=1 turns=16 selects=124
  match 153 seat0: winner=1 turns=12 selects=193
  match 153 seat1: winner=0 turns=9 selects=128
  match 154 seat0: winner=0 turns=11 selects=160
  match 154 seat1: winner=1 turns=14 selects=146
  match 155 seat0: winner=1 turns=14 selects=152
  match 155 seat1: winner=0 turns=11 selects=136
  match 156 seat0: winner=1 turns=14 selects=175
  match 156 seat1: winner=0 turns=13 selects=79
  match 157 seat0: winner=0 turns=11 selects=124
  match 157 seat1: winner=0 turns=15 selects=166
  match 158 seat0: winner=1 turns=12 selects=166
  match 158 seat1: winner=1 turns=14 selects=170
  match 159 seat0: winner=0 turns=13 selects=109
  match 159 seat1: winner=1 turns=14 selects=131
  match 160 seat0: winner=1 turns=12 selects=157
  match 160 seat1: winner=0 turns=11 selects=141
  match 161 seat0: winner=0 turns=15 selects=207
  match 161 seat1: winner=0 turns=13 selects=122
  match 162 seat0: winner=0 turns=13 selects=155
  match 162 seat1: winner=1 turns=12 selects=153
  match 163 seat0: winner=1 turns=14 selects=138
  match 163 seat1: winner=1 turns=14 selects=187
  match 164 seat0: winner=1 turns=14 selects=183
  match 164 seat1: winner=0 turns=19 selects=235
  match 165 seat0: winner=1 turns=14 selects=196
  match 165 seat1: winner=0 turns=13 selects=141
  match 166 seat0: winner=1 turns=10 selects=139
  match 166 seat1: winner=1 turns=10 selects=153
  match 167 seat0: winner=0 turns=11 selects=141
  match 167 seat1: winner=0 turns=9 selects=118
  match 168 seat0: winner=1 turns=12 selects=140
  match 168 seat1: winner=1 turns=12 selects=163
  match 169 seat0: winner=1 turns=12 selects=164
  match 169 seat1: winner=0 turns=13 selects=177
  match 170 seat0: winner=1 turns=10 selects=102
  match 170 seat1: winner=1 turns=10 selects=125
  match 171 seat0: winner=1 turns=12 selects=143
  match 171 seat1: winner=0 turns=9 selects=133
  match 172 seat0: winner=1 turns=12 selects=142
  match 172 seat1: winner=0 turns=9 selects=100
  match 173 seat0: winner=0 turns=15 selects=143
  match 173 seat1: winner=0 turns=11 selects=169
  match 174 seat0: winner=0 turns=15 selects=194
  match 174 seat1: winner=0 turns=7 selects=37
  match 175 seat0: winner=0 turns=17 selects=135
  match 175 seat1: winner=1 turns=10 selects=127
  match 176 seat0: winner=1 turns=12 selects=181
  match 176 seat1: winner=0 turns=9 selects=108
  match 177 seat0: winner=1 turns=10 selects=75
  match 177 seat1: winner=0 turns=11 selects=69
  match 178 seat0: winner=1 turns=16 selects=204
  match 178 seat1: winner=0 turns=13 selects=128
  match 179 seat0: winner=1 turns=12 selects=132
  match 179 seat1: winner=0 turns=13 selects=189
  match 180 seat0: winner=1 turns=12 selects=85
  match 180 seat1: winner=0 turns=15 selects=178
  match 181 seat0: winner=0 turns=11 selects=105
  match 181 seat1: winner=0 turns=17 selects=163
  match 182 seat0: winner=1 turns=14 selects=104
  match 182 seat1: winner=1 turns=16 selects=223
  match 183 seat0: winner=1 turns=10 selects=124
  match 183 seat1: winner=0 turns=13 selects=194
  match 184 seat0: winner=0 turns=15 selects=127
  match 184 seat1: winner=0 turns=9 selects=90
  match 185 seat0: winner=0 turns=15 selects=185
  match 185 seat1: winner=0 turns=17 selects=176
  match 186 seat0: winner=1 turns=12 selects=128
  match 186 seat1: winner=0 turns=15 selects=141
  match 187 seat0: winner=1 turns=12 selects=160
  match 187 seat1: winner=0 turns=15 selects=168
  match 188 seat0: winner=1 turns=10 selects=161
  match 188 seat1: winner=0 turns=9 selects=96
  match 189 seat0: winner=1 turns=13 selects=122
  match 189 seat1: winner=0 turns=11 selects=92
  match 190 seat0: winner=1 turns=8 selects=138
  match 190 seat1: winner=1 turns=14 selects=160
  match 191 seat0: winner=0 turns=15 selects=130
  match 191 seat1: winner=0 turns=9 selects=131
  match 192 seat0: winner=1 turns=14 selects=175
  match 192 seat1: winner=0 turns=13 selects=194
  match 193 seat0: winner=1 turns=10 selects=135
  match 193 seat1: winner=0 turns=11 selects=71
  match 194 seat0: winner=1 turns=12 selects=143
  match 194 seat1: winner=1 turns=12 selects=177
  match 195 seat0: winner=1 turns=12 selects=174
  match 195 seat1: winner=0 turns=15 selects=131
  match 196 seat0: winner=1 turns=12 selects=146
  match 196 seat1: winner=1 turns=14 selects=157
  match 197 seat0: winner=0 turns=15 selects=171
  match 197 seat1: winner=0 turns=17 selects=183
  match 198 seat0: winner=1 turns=14 selects=173
  match 198 seat1: winner=0 turns=13 selects=187
  match 199 seat0: winner=1 turns=12 selects=180
  match 199 seat1: winner=1 turns=14 selects=123

A=bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.273 [0.231, 0.318] W109/D0/L291 over 400 games
  as P0: W/D/L=(54, 0, 146)  as P1: W/D/L=(55, 0, 145)
  elapsed 98.8s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_luc_lucario_v10_vs_bcall_grimmsnarl.jsonl
  [health] OK calls=59436 fallbacks=0 net_missing=0 deck=800
