=== cru@crustle vs rule:v10,noS@lucario_v10 matches=250 ===
  match 64 seat0: winner=0 turns=7 selects=34
  match 64 seat1: winner=0 turns=15 selects=128
  match 65 seat0: winner=0 turns=15 selects=115
  match 65 seat1: winner=0 turns=9 selects=86
  match 66 seat0: winner=1 turns=10 selects=98
  match 66 seat1: winner=1 turns=24 selects=93
  match 67 seat0: winner=1 turns=8 selects=76
  match 67 seat1: winner=0 turns=11 selects=116
  match 68 seat0: winner=0 turns=19 selects=123
  match 68 seat1: winner=0 turns=13 selects=122
  match 69 seat0: winner=1 turns=20 selects=162
  match 69 seat1: winner=1 turns=22 selects=163
  match 70 seat0: winner=1 turns=18 selects=111
  match 70 seat1: winner=0 turns=7 selects=49
  match 71 seat0: winner=0 turns=7 selects=37
  match 71 seat1: winner=0 turns=3 selects=29
  match 72 seat0: winner=0 turns=25 selects=159
  match 72 seat1: winner=0 turns=11 selects=98
  match 73 seat0: winner=1 turns=14 selects=107
  match 73 seat1: winner=1 turns=22 selects=96
  match 74 seat0: winner=0 turns=21 selects=150
  match 74 seat1: winner=0 turns=7 selects=80
  match 75 seat0: winner=0 turns=15 selects=110
  match 75 seat1: winner=1 turns=32 selects=167
  match 76 seat0: winner=1 turns=8 selects=87
  match 76 seat1: winner=1 turns=20 selects=149
  match 77 seat0: winner=0 turns=21 selects=129
  match 77 seat1: winner=1 turns=20 selects=117
  match 78 seat0: winner=1 turns=18 selects=149
  match 78 seat1: winner=1 turns=18 selects=115
  match 79 seat0: winner=1 turns=14 selects=130
  match 79 seat1: winner=0 turns=9 selects=68
  match 80 seat0: winner=1 turns=8 selects=69
  match 80 seat1: winner=0 turns=5 selects=65
  match 81 seat0: winner=1 turns=6 selects=39
  match 81 seat1: winner=0 turns=11 selects=95
  match 82 seat0: winner=0 turns=19 selects=111
  match 82 seat1: winner=0 turns=9 selects=96
  match 83 seat0: winner=1 turns=10 selects=101
  match 83 seat1: winner=1 turns=25 selects=153
  match 84 seat0: winner=1 turns=6 selects=37
  match 84 seat1: winner=0 turns=13 selects=121
  match 85 seat0: winner=1 turns=14 selects=133
  match 85 seat1: winner=1 turns=22 selects=110
  match 86 seat0: winner=0 turns=19 selects=152
  match 86 seat1: winner=0 turns=11 selects=117
  match 87 seat0: winner=1 turns=14 selects=136
  match 87 seat1: winner=1 turns=22 selects=109
  match 88 seat0: winner=0 turns=17 selects=132
  match 88 seat1: winner=1 turns=26 selects=164
  match 89 seat0: winner=1 turns=10 selects=106
  match 89 seat1: winner=1 turns=20 selects=143
  match 90 seat0: winner=0 turns=17 selects=90
  match 90 seat1: winner=0 turns=5 selects=54
  match 91 seat0: winner=0 turns=19 selects=118
  match 91 seat1: winner=0 turns=19 selects=145
  match 92 seat0: winner=1 turns=12 selects=115
  match 92 seat1: winner=0 turns=7 selects=89
  match 93 seat0: winner=1 turns=10 selects=88
  match 93 seat1: winner=1 turns=16 selects=126
  match 94 seat0: winner=1 turns=10 selects=90
  match 94 seat1: winner=1 turns=25 selects=168
  match 95 seat0: winner=0 turns=17 selects=97
  match 95 seat1: winner=0 turns=7 selects=65
  match 96 seat0: winner=1 turns=13 selects=109
  match 96 seat1: winner=0 turns=11 selects=96
  match 97 seat0: winner=1 turns=23 selects=159
  match 97 seat1: winner=0 turns=23 selects=139
  match 98 seat0: winner=0 turns=23 selects=155
  match 98 seat1: winner=1 turns=16 selects=132
  match 99 seat0: winner=1 turns=18 selects=144
  match 99 seat1: winner=1 turns=18 selects=105
  match 100 seat0: winner=1 turns=10 selects=93
  match 100 seat1: winner=0 turns=17 selects=133
  match 101 seat0: winner=1 turns=12 selects=118
  match 101 seat1: winner=1 turns=20 selects=124
  match 102 seat0: winner=1 turns=14 selects=133
  match 102 seat1: winner=0 turns=9 selects=103
  match 103 seat0: winner=1 turns=16 selects=106
  match 103 seat1: winner=1 turns=16 selects=112
  match 104 seat0: winner=0 turns=23 selects=158
  match 104 seat1: winner=1 turns=20 selects=155
  match 105 seat0: winner=0 turns=19 selects=123
  match 105 seat1: winner=1 turns=18 selects=123
  match 106 seat0: winner=0 turns=23 selects=131
  match 106 seat1: winner=0 turns=15 selects=126
  match 107 seat0: winner=1 turns=12 selects=127
  match 107 seat1: winner=1 turns=18 selects=129
  match 108 seat0: winner=0 turns=21 selects=102
  match 108 seat1: winner=1 turns=28 selects=165
  match 109 seat0: winner=1 turns=16 selects=132
  match 109 seat1: winner=0 turns=11 selects=110
  match 110 seat0: winner=1 turns=10 selects=104
  match 110 seat1: winner=0 turns=15 selects=114
  match 111 seat0: winner=0 turns=23 selects=135
  match 111 seat1: winner=0 turns=13 selects=118
  match 112 seat0: winner=0 turns=15 selects=75
  match 112 seat1: winner=0 turns=11 selects=110
  match 113 seat0: winner=1 turns=10 selects=111
  match 113 seat1: winner=0 turns=3 selects=34
  match 114 seat0: winner=1 turns=10 selects=105
  match 114 seat1: winner=1 turns=23 selects=156
  match 115 seat0: winner=1 turns=16 selects=120
  match 115 seat1: winner=0 turns=15 selects=105
  match 116 seat0: winner=0 turns=21 selects=138
  match 116 seat1: winner=0 turns=5 selects=28
  match 117 seat0: winner=1 turns=12 selects=115
  match 117 seat1: winner=1 turns=22 selects=163
  match 118 seat0: winner=0 turns=23 selects=143
  match 118 seat1: winner=0 turns=12 selects=88
  match 119 seat0: winner=1 turns=18 selects=131
  match 119 seat1: winner=0 turns=15 selects=111
  match 120 seat0: winner=0 turns=15 selects=107
  match 120 seat1: winner=0 turns=10 selects=48
  match 121 seat0: winner=0 turns=15 selects=126
  match 121 seat1: winner=1 turns=18 selects=126
  match 122 seat0: winner=0 turns=25 selects=175
  match 122 seat1: winner=1 turns=18 selects=118
  match 123 seat0: winner=0 turns=19 selects=104
  match 123 seat1: winner=1 turns=28 selects=155
  match 124 seat0: winner=1 turns=6 selects=62
  match 124 seat1: winner=0 turns=13 selects=126
  match 125 seat0: winner=0 turns=9 selects=50
  match 125 seat1: winner=1 turns=18 selects=131
  match 126 seat0: winner=1 turns=12 selects=114
  match 126 seat1: winner=0 turns=15 selects=125
  match 127 seat0: winner=1 turns=12 selects=123
  match 127 seat1: winner=0 turns=11 selects=117
  match 128 seat0: winner=0 turns=19 selects=113
  match 128 seat1: winner=0 turns=5 selects=49
  match 129 seat0: winner=1 turns=10 selects=91
  match 129 seat1: winner=1 turns=26 selects=149
  match 130 seat0: winner=1 turns=14 selects=101
  match 130 seat1: winner=0 turns=3 selects=33
  match 131 seat0: winner=0 turns=17 selects=62
  match 131 seat1: winner=0 turns=17 selects=123
  match 132 seat0: winner=1 turns=16 selects=143
  match 132 seat1: winner=1 turns=23 selects=122
  match 133 seat0: winner=1 turns=14 selects=133
  match 133 seat1: winner=1 turns=22 selects=143
  match 134 seat0: winner=0 turns=9 selects=43
  match 134 seat1: winner=0 turns=11 selects=92
  match 135 seat0: winner=0 turns=15 selects=61
  match 135 seat1: winner=0 turns=17 selects=140
  match 136 seat0: winner=1 turns=12 selects=107
  match 136 seat1: winner=0 turns=5 selects=70
  match 137 seat0: winner=1 turns=8 selects=80
  match 137 seat1: winner=1 turns=22 selects=148
  match 138 seat0: winner=0 turns=19 selects=118
  match 138 seat1: winner=1 turns=22 selects=117
  match 139 seat0: winner=1 turns=6 selects=71
  match 139 seat1: winner=0 turns=11 selects=106
  match 140 seat0: winner=1 turns=12 selects=112
  match 140 seat1: winner=0 turns=11 selects=82
  match 141 seat0: winner=0 turns=17 selects=117
  match 141 seat1: winner=1 turns=22 selects=107
  match 142 seat0: winner=0 turns=25 selects=143
  match 142 seat1: winner=0 turns=5 selects=63
  match 143 seat0: winner=0 turns=23 selects=124
  match 143 seat1: winner=1 turns=18 selects=138
  match 144 seat0: winner=0 turns=25 selects=173
  match 144 seat1: winner=0 turns=9 selects=104
  match 145 seat0: winner=0 turns=19 selects=80
  match 145 seat1: winner=1 turns=16 selects=132
  match 146 seat0: winner=1 turns=12 selects=109
  match 146 seat1: winner=1 turns=18 selects=132
  match 147 seat0: winner=1 turns=6 selects=58
  match 147 seat1: winner=0 turns=7 selects=81
  match 148 seat0: winner=0 turns=21 selects=113
  match 148 seat1: winner=0 turns=19 selects=149
  match 149 seat0: winner=1 turns=13 selects=91
  match 149 seat1: winner=0 turns=3 selects=43
  match 150 seat0: winner=1 turns=16 selects=113
  match 150 seat1: winner=0 turns=13 selects=136
  match 151 seat0: winner=0 turns=13 selects=74
  match 151 seat1: winner=0 turns=9 selects=79
  match 152 seat0: winner=0 turns=15 selects=97
  match 152 seat1: winner=0 turns=11 selects=107
  match 153 seat0: winner=1 turns=12 selects=125
  match 153 seat1: winner=1 turns=29 selects=129
  match 154 seat0: winner=1 turns=6 selects=74
  match 154 seat1: winner=0 turns=11 selects=113
  match 155 seat0: winner=1 turns=10 selects=112
  match 155 seat1: winner=1 turns=20 selects=128
  match 156 seat0: winner=1 turns=14 selects=88
  match 156 seat1: winner=0 turns=7 selects=82
  match 157 seat0: winner=0 turns=29 selects=185
  match 157 seat1: winner=1 turns=18 selects=111
  match 158 seat0: winner=0 turns=23 selects=164
  match 158 seat1: winner=0 turns=9 selects=94
  match 159 seat0: winner=1 turns=8 selects=50
  match 159 seat1: winner=1 turns=18 selects=141
  match 160 seat0: winner=0 turns=15 selects=65
  match 160 seat1: winner=0 turns=5 selects=50
  match 161 seat0: winner=2 turns=16 selects=91
  match 161 seat1: winner=1 turns=24 selects=131
  match 162 seat0: winner=1 turns=6 selects=61
  match 162 seat1: winner=0 turns=5 selects=60
  match 163 seat0: winner=1 turns=10 selects=115
  match 163 seat1: winner=0 turns=17 selects=116
  match 164 seat0: winner=0 turns=25 selects=140
  match 164 seat1: winner=1 turns=23 selects=176
  match 165 seat0: winner=1 turns=6 selects=64
  match 165 seat1: winner=1 turns=18 selects=108
  match 166 seat0: winner=1 turns=14 selects=123
  match 166 seat1: winner=1 turns=24 selects=168
  match 167 seat0: winner=0 turns=21 selects=98
  match 167 seat1: winner=0 turns=9 selects=72
  match 168 seat0: winner=0 turns=19 selects=130
  match 168 seat1: winner=0 turns=13 selects=94
  match 169 seat0: winner=1 turns=12 selects=101
  match 169 seat1: winner=0 turns=7 selects=72
  match 170 seat0: winner=1 turns=10 selects=77
  match 170 seat1: winner=0 turns=11 selects=111
  match 171 seat0: winner=1 turns=16 selects=126
  match 171 seat1: winner=1 turns=6 selects=27
  match 172 seat0: winner=1 turns=12 selects=114
  match 172 seat1: winner=1 turns=14 selects=53
  match 173 seat0: winner=0 turns=19 selects=138
  match 173 seat1: winner=0 turns=17 selects=121
  match 174 seat0: winner=1 turns=18 selects=142
  match 174 seat1: winner=1 turns=16 selects=129
  match 175 seat0: winner=1 turns=4 selects=41
  match 175 seat1: winner=1 turns=16 selects=98
  match 176 seat0: winner=1 turns=12 selects=70
  match 176 seat1: winner=0 turns=3 selects=33
  match 177 seat0: winner=1 turns=10 selects=92
  match 177 seat1: winner=0 turns=17 selects=124
  match 178 seat0: winner=0 turns=17 selects=107
  match 178 seat1: winner=0 turns=11 selects=113
  match 179 seat0: winner=0 turns=17 selects=120
  match 179 seat1: winner=1 turns=24 selects=150
  match 180 seat0: winner=0 turns=23 selects=155
  match 180 seat1: winner=1 turns=20 selects=126
  match 181 seat0: winner=1 turns=6 selects=66
  match 181 seat1: winner=1 turns=22 selects=93
  match 182 seat0: winner=0 turns=11 selects=62
  match 182 seat1: winner=1 turns=18 selects=61
  match 183 seat0: winner=0 turns=15 selects=112
  match 183 seat1: winner=0 turns=9 selects=94
  match 184 seat0: winner=0 turns=17 selects=130
  match 184 seat1: winner=1 turns=20 selects=124
  match 185 seat0: winner=1 turns=12 selects=113
  match 185 seat1: winner=1 turns=22 selects=158
  match 186 seat0: winner=1 turns=10 selects=60
  match 186 seat1: winner=1 turns=16 selects=123
  match 187 seat0: winner=1 turns=14 selects=135
  match 187 seat1: winner=0 turns=3 selects=31
  match 188 seat0: winner=0 turns=29 selects=150
  match 188 seat1: winner=0 turns=9 selects=103
  match 189 seat0: winner=1 turns=16 selects=126
  match 189 seat1: winner=0 turns=13 selects=116
  match 190 seat0: winner=0 turns=17 selects=141
  match 190 seat1: winner=1 turns=28 selects=112
  match 191 seat0: winner=0 turns=23 selects=110
  match 191 seat1: winner=1 turns=20 selects=123
  match 192 seat0: winner=1 turns=10 selects=105
  match 192 seat1: winner=0 turns=29 selects=150
  match 193 seat0: winner=0 turns=21 selects=153
  match 193 seat1: winner=1 turns=20 selects=130
  match 194 seat0: winner=0 turns=23 selects=130
  match 194 seat1: winner=0 turns=17 selects=130
  match 195 seat0: winner=0 turns=26 selects=181
  match 195 seat1: winner=1 turns=18 selects=142
  match 196 seat0: winner=0 turns=23 selects=135
  match 196 seat1: winner=0 turns=13 selects=116
  match 197 seat0: winner=0 turns=24 selects=160
  match 197 seat1: winner=1 turns=20 selects=143
  match 198 seat0: winner=1 turns=12 selects=102
  match 198 seat1: winner=0 turns=13 selects=120
  match 199 seat0: winner=0 turns=19 selects=110
  match 199 seat1: winner=1 turns=20 selects=124
  match 200 seat0: winner=0 turns=19 selects=84
  match 200 seat1: winner=1 turns=20 selects=155
  match 201 seat0: winner=0 turns=23 selects=138
  match 201 seat1: winner=0 turns=3 selects=42
  match 202 seat0: winner=0 turns=15 selects=137
  match 202 seat1: winner=1 turns=20 selects=86
  match 203 seat0: winner=0 turns=15 selects=86
  match 203 seat1: winner=0 turns=11 selects=107
  match 204 seat0: winner=0 turns=19 selects=148
  match 204 seat1: winner=2 turns=15 selects=112
  match 205 seat0: winner=1 turns=12 selects=124
  match 205 seat1: winner=0 turns=5 selects=60
  match 206 seat0: winner=0 turns=17 selects=68
  match 206 seat1: winner=0 turns=13 selects=138
  match 207 seat0: winner=1 turns=10 selects=113
  match 207 seat1: winner=1 turns=16 selects=108
  match 208 seat0: winner=0 turns=32 selects=124
  match 208 seat1: winner=0 turns=11 selects=107
  match 209 seat0: winner=1 turns=10 selects=72
  match 209 seat1: winner=1 turns=24 selects=153
  match 210 seat0: winner=1 turns=4 selects=40
  match 210 seat1: winner=0 turns=13 selects=108
  match 211 seat0: winner=1 turns=16 selects=124
  match 211 seat1: winner=0 turns=7 selects=72
  match 212 seat0: winner=0 turns=21 selects=138
  match 212 seat1: winner=1 turns=18 selects=140
  match 213 seat0: winner=0 turns=17 selects=115
  match 213 seat1: winner=0 turns=13 selects=113
  match 214 seat0: winner=0 turns=19 selects=140
  match 214 seat1: winner=1 turns=20 selects=95
  match 215 seat0: winner=1 turns=20 selects=150
  match 215 seat1: winner=1 turns=18 selects=158
  match 216 seat0: winner=1 turns=16 selects=142
  match 216 seat1: winner=1 turns=22 selects=144
  match 217 seat0: winner=1 turns=12 selects=81
  match 217 seat1: winner=0 turns=8 selects=93
  match 218 seat0: winner=0 turns=25 selects=144
  match 218 seat1: winner=0 turns=11 selects=107
  match 219 seat0: winner=1 turns=8 selects=85
  match 219 seat1: winner=1 turns=16 selects=115
  match 220 seat0: winner=0 turns=23 selects=156
  match 220 seat1: winner=1 turns=20 selects=152
  match 221 seat0: winner=1 turns=20 selects=136
  match 221 seat1: winner=0 turns=11 selects=91
  match 222 seat0: winner=0 turns=25 selects=160
  match 222 seat1: winner=0 turns=11 selects=111
  match 223 seat0: winner=1 turns=12 selects=98
  match 223 seat1: winner=0 turns=17 selects=104
  match 224 seat0: winner=0 turns=25 selects=149
  match 224 seat1: winner=0 turns=7 selects=69
  match 225 seat0: winner=1 turns=6 selects=44
  match 225 seat1: winner=1 turns=26 selects=137
  match 226 seat0: winner=1 turns=12 selects=112
  match 226 seat1: winner=0 turns=11 selects=69
  match 227 seat0: winner=1 turns=14 selects=115
  match 227 seat1: winner=1 turns=20 selects=143
  match 228 seat0: winner=1 turns=14 selects=109
  match 228 seat1: winner=0 turns=21 selects=148
  match 229 seat0: winner=0 turns=27 selects=153
  match 229 seat1: winner=0 turns=11 selects=105
  match 230 seat0: winner=1 turns=6 selects=53
  match 230 seat1: winner=1 turns=22 selects=157
  match 231 seat0: winner=1 turns=14 selects=117
  match 231 seat1: winner=0 turns=7 selects=84
  match 232 seat0: winner=1 turns=14 selects=107
  match 232 seat1: winner=1 turns=18 selects=142
  match 233 seat0: winner=1 turns=12 selects=110
  match 233 seat1: winner=0 turns=9 selects=91
  match 234 seat0: winner=1 turns=16 selects=145
  match 234 seat1: winner=1 turns=20 selects=155
  match 235 seat0: winner=1 turns=6 selects=51
  match 235 seat1: winner=0 turns=15 selects=122
  match 236 seat0: winner=1 turns=12 selects=110
  match 236 seat1: winner=1 turns=18 selects=139
  match 237 seat0: winner=1 turns=8 selects=71
  match 237 seat1: winner=0 turns=9 selects=93
  match 238 seat0: winner=1 turns=11 selects=104
  match 238 seat1: winner=1 turns=24 selects=131
  match 239 seat0: winner=1 turns=14 selects=82
  match 239 seat1: winner=0 turns=5 selects=58
  match 240 seat0: winner=0 turns=21 selects=132
  match 240 seat1: winner=1 turns=16 selects=132
  match 241 seat0: winner=0 turns=17 selects=122
  match 241 seat1: winner=1 turns=26 selects=130
  match 242 seat0: winner=1 turns=22 selects=158
  match 242 seat1: winner=0 turns=17 selects=146
  match 243 seat0: winner=0 turns=25 selects=176
  match 243 seat1: winner=0 turns=11 selects=92
  match 244 seat0: winner=0 turns=20 selects=165
  match 244 seat1: winner=1 turns=22 selects=152
  match 245 seat0: winner=1 turns=14 selects=134
  match 245 seat1: winner=1 turns=14 selects=63
  match 246 seat0: winner=0 turns=17 selects=135
  match 246 seat1: winner=1 turns=16 selects=106
  match 247 seat0: winner=0 turns=11 selects=52
  match 247 seat1: winner=1 turns=16 selects=86
  match 248 seat0: winner=0 turns=23 selects=119
  match 248 seat1: winner=0 turns=5 selects=52
  match 249 seat0: winner=0 turns=19 selects=145
  match 249 seat1: winner=0 turns=7 selects=81

A=bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.476 [0.433, 0.520] W237/D2/L261 over 500 games
  as P0: W/D/L=(119, 1, 130)  as P1: W/D/L=(118, 1, 131)
  elapsed 63.4s; archived 500 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_cru_crustle_vs_rulev10_lucario_v10.jsonl
  [health] OK calls=22001 fallbacks=0 net_missing=0 deck=500
