=== arch@archaludon_ex vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 62 seat1: winner=0 turns=15 selects=221
  match 63 seat0: winner=1 turns=14 selects=166
  match 63 seat1: winner=0 turns=13 selects=139
  match 64 seat0: winner=1 turns=10 selects=112
  match 64 seat1: winner=0 turns=9 selects=94
  match 65 seat0: winner=1 turns=16 selects=216
  match 65 seat1: winner=0 turns=13 selects=147
  match 66 seat0: winner=0 turns=15 selects=151
  match 66 seat1: winner=0 turns=15 selects=200
  match 67 seat0: winner=1 turns=10 selects=164
  match 67 seat1: winner=0 turns=9 selects=88
  match 68 seat0: winner=1 turns=14 selects=197
  match 68 seat1: winner=0 turns=3 selects=40
  match 69 seat0: winner=1 turns=24 selects=297
  match 69 seat1: winner=0 turns=15 selects=212
  match 70 seat0: winner=0 turns=15 selects=202
  match 70 seat1: winner=0 turns=23 selects=192
  match 71 seat0: winner=1 turns=12 selects=153
  match 71 seat1: winner=0 turns=3 selects=37
  match 72 seat0: winner=1 turns=14 selects=106
  match 72 seat1: winner=1 turns=16 selects=216
  match 73 seat0: winner=1 turns=12 selects=114
  match 73 seat1: winner=1 turns=6 selects=63
  match 74 seat0: winner=1 turns=4 selects=42
  match 74 seat1: winner=0 turns=5 selects=60
  match 75 seat0: winner=0 turns=21 selects=242
  match 75 seat1: winner=1 turns=16 selects=190
  match 76 seat0: winner=1 turns=18 selects=159
  match 76 seat1: winner=0 turns=13 selects=191
  match 77 seat0: winner=1 turns=4 selects=52
  match 77 seat1: winner=0 turns=15 selects=164
  match 78 seat0: winner=0 turns=17 selects=184
  match 78 seat1: winner=0 turns=21 selects=226
  match 79 seat0: winner=1 turns=14 selects=195
  match 79 seat1: winner=0 turns=17 selects=210
  match 80 seat0: winner=1 turns=12 selects=132
  match 80 seat1: winner=0 turns=11 selects=161
  match 81 seat0: winner=1 turns=8 selects=81
  match 81 seat1: winner=0 turns=11 selects=92
  match 82 seat0: winner=1 turns=12 selects=183
  match 82 seat1: winner=0 turns=5 selects=55
  match 83 seat0: winner=1 turns=14 selects=142
  match 83 seat1: winner=0 turns=19 selects=143
  match 84 seat0: winner=1 turns=11 selects=139
  match 84 seat1: winner=0 turns=19 selects=182
  match 85 seat0: winner=1 turns=15 selects=195
  match 85 seat1: winner=0 turns=7 selects=111
  match 86 seat0: winner=1 turns=20 selects=155
  match 86 seat1: winner=0 turns=13 selects=143
  match 87 seat0: winner=0 turns=15 selects=166
  match 87 seat1: winner=0 turns=13 selects=156
  match 88 seat0: winner=1 turns=12 selects=158
  match 88 seat1: winner=0 turns=13 selects=154
  match 89 seat0: winner=1 turns=22 selects=185
  match 89 seat1: winner=0 turns=13 selects=160
  match 90 seat0: winner=1 turns=12 selects=148
  match 90 seat1: winner=0 turns=17 selects=229
  match 91 seat0: winner=1 turns=14 selects=178
  match 91 seat1: winner=0 turns=15 selects=199
  match 92 seat0: winner=1 turns=20 selects=265
  match 92 seat1: winner=0 turns=13 selects=129
  match 93 seat0: winner=1 turns=13 selects=220
  match 93 seat1: winner=0 turns=13 selects=174
  match 94 seat0: winner=1 turns=12 selects=129
  match 94 seat1: winner=0 turns=9 selects=75
  match 95 seat0: winner=1 turns=16 selects=173
  match 95 seat1: winner=0 turns=9 selects=95
  match 96 seat0: winner=0 turns=17 selects=177
  match 96 seat1: winner=0 turns=9 selects=90
  match 97 seat0: winner=1 turns=12 selects=175
  match 97 seat1: winner=0 turns=17 selects=180
  match 98 seat0: winner=1 turns=12 selects=172
  match 98 seat1: winner=0 turns=18 selects=223
  match 99 seat0: winner=1 turns=16 selects=232
  match 99 seat1: winner=0 turns=9 selects=111
  match 100 seat0: winner=1 turns=12 selects=164
  match 100 seat1: winner=0 turns=13 selects=172
  match 101 seat0: winner=1 turns=12 selects=103
  match 101 seat1: winner=0 turns=15 selects=165
  match 102 seat0: winner=1 turns=12 selects=156
  match 102 seat1: winner=0 turns=11 selects=123
  match 103 seat0: winner=1 turns=6 selects=80
  match 103 seat1: winner=0 turns=13 selects=87
  match 104 seat0: winner=1 turns=12 selects=179
  match 104 seat1: winner=0 turns=15 selects=214
  match 105 seat0: winner=1 turns=10 selects=141
  match 105 seat1: winner=0 turns=9 selects=106
  match 106 seat0: winner=1 turns=18 selects=195
  match 106 seat1: winner=1 turns=14 selects=182
  match 107 seat0: winner=1 turns=14 selects=208
  match 107 seat1: winner=0 turns=11 selects=134
  match 108 seat0: winner=1 turns=12 selects=121
  match 108 seat1: winner=0 turns=9 selects=120
  match 109 seat0: winner=1 turns=30 selects=287
  match 109 seat1: winner=0 turns=13 selects=139
  match 110 seat0: winner=1 turns=18 selects=196
  match 110 seat1: winner=0 turns=15 selects=173
  match 111 seat0: winner=0 turns=17 selects=197
  match 111 seat1: winner=0 turns=11 selects=103
  match 112 seat0: winner=1 turns=10 selects=85
  match 112 seat1: winner=0 turns=13 selects=178
  match 113 seat0: winner=1 turns=17 selects=195
  match 113 seat1: winner=0 turns=15 selects=163
  match 114 seat0: winner=1 turns=14 selects=191
  match 114 seat1: winner=0 turns=15 selects=185
  match 115 seat0: winner=1 turns=20 selects=187
  match 115 seat1: winner=0 turns=5 selects=53
  match 116 seat0: winner=1 turns=14 selects=196
  match 116 seat1: winner=0 turns=19 selects=205
  match 117 seat0: winner=1 turns=14 selects=146
  match 117 seat1: winner=0 turns=15 selects=184
  match 118 seat0: winner=1 turns=16 selects=203
  match 118 seat1: winner=0 turns=15 selects=159
  match 119 seat0: winner=1 turns=16 selects=223
  match 119 seat1: winner=0 turns=13 selects=175
  match 120 seat0: winner=1 turns=12 selects=114
  match 120 seat1: winner=1 turns=16 selects=198
  match 121 seat0: winner=1 turns=12 selects=146
  match 121 seat1: winner=0 turns=15 selects=113
  match 122 seat0: winner=1 turns=12 selects=155
  match 122 seat1: winner=0 turns=10 selects=145
  match 123 seat0: winner=1 turns=18 selects=207
  match 123 seat1: winner=1 turns=16 selects=201
  match 124 seat0: winner=1 turns=12 selects=161
  match 124 seat1: winner=0 turns=11 selects=154
  match 125 seat0: winner=0 turns=15 selects=157
  match 125 seat1: winner=0 turns=13 selects=144
  match 126 seat0: winner=1 turns=8 selects=82
  match 126 seat1: winner=0 turns=15 selects=185
  match 127 seat0: winner=1 turns=20 selects=151
  match 127 seat1: winner=0 turns=15 selects=218
  match 128 seat0: winner=1 turns=14 selects=179
  match 128 seat1: winner=0 turns=11 selects=154
  match 129 seat0: winner=1 turns=20 selects=180
  match 129 seat1: winner=0 turns=3 selects=36
  match 130 seat0: winner=1 turns=12 selects=146
  match 130 seat1: winner=0 turns=13 selects=176
  match 131 seat0: winner=1 turns=10 selects=91
  match 131 seat1: winner=0 turns=9 selects=98
  match 132 seat0: winner=1 turns=12 selects=126
  match 132 seat1: winner=1 turns=14 selects=118
  match 133 seat0: winner=1 turns=18 selects=198
  match 133 seat1: winner=0 turns=7 selects=105
  match 134 seat0: winner=1 turns=10 selects=100
  match 134 seat1: winner=0 turns=13 selects=196
  match 135 seat0: winner=0 turns=23 selects=143
  match 135 seat1: winner=0 turns=13 selects=189
  match 136 seat0: winner=1 turns=14 selects=158
  match 136 seat1: winner=0 turns=13 selects=176
  match 137 seat0: winner=1 turns=12 selects=202
  match 137 seat1: winner=0 turns=15 selects=143
  match 138 seat0: winner=1 turns=16 selects=179
  match 138 seat1: winner=0 turns=7 selects=83
  match 139 seat0: winner=1 turns=17 selects=168
  match 139 seat1: winner=0 turns=9 selects=103
  match 140 seat0: winner=1 turns=13 selects=188
  match 140 seat1: winner=0 turns=15 selects=208
  match 141 seat0: winner=1 turns=16 selects=177
  match 141 seat1: winner=0 turns=13 selects=120
  match 142 seat0: winner=1 turns=16 selects=202
  match 142 seat1: winner=0 turns=11 selects=137
  match 143 seat0: winner=1 turns=6 selects=60
  match 143 seat1: winner=0 turns=3 selects=37
  match 144 seat0: winner=1 turns=10 selects=121
  match 144 seat1: winner=0 turns=13 selects=181
  match 145 seat0: winner=1 turns=14 selects=166
  match 145 seat1: winner=0 turns=18 selects=185
  match 146 seat0: winner=1 turns=14 selects=152
  match 146 seat1: winner=0 turns=15 selects=156
  match 147 seat0: winner=1 turns=18 selects=180
  match 147 seat1: winner=0 turns=11 selects=169
  match 148 seat0: winner=0 turns=23 selects=189
  match 148 seat1: winner=0 turns=13 selects=166
  match 149 seat0: winner=1 turns=10 selects=135
  match 149 seat1: winner=0 turns=13 selects=133
  match 150 seat0: winner=1 turns=4 selects=44
  match 150 seat1: winner=0 turns=11 selects=116
  match 151 seat0: winner=1 turns=8 selects=100
  match 151 seat1: winner=0 turns=14 selects=180
  match 152 seat0: winner=1 turns=8 selects=109
  match 152 seat1: winner=0 turns=13 selects=153
  match 153 seat0: winner=1 turns=10 selects=124
  match 153 seat1: winner=0 turns=15 selects=142
  match 154 seat0: winner=1 turns=14 selects=157
  match 154 seat1: winner=0 turns=15 selects=194
  match 155 seat0: winner=1 turns=16 selects=154
  match 155 seat1: winner=0 turns=15 selects=219
  match 156 seat0: winner=1 turns=12 selects=168
  match 156 seat1: winner=0 turns=11 selects=137
  match 157 seat0: winner=1 turns=16 selects=205
  match 157 seat1: winner=0 turns=16 selects=142
  match 158 seat0: winner=1 turns=12 selects=135
  match 158 seat1: winner=0 turns=7 selects=88
  match 159 seat0: winner=1 turns=6 selects=69
  match 159 seat1: winner=0 turns=11 selects=124
  match 160 seat0: winner=1 turns=6 selects=62
  match 160 seat1: winner=1 turns=16 selects=184
  match 161 seat0: winner=1 turns=10 selects=130
  match 161 seat1: winner=0 turns=11 selects=141
  match 162 seat0: winner=0 turns=21 selects=239
  match 162 seat1: winner=0 turns=15 selects=184
  match 163 seat0: winner=1 turns=12 selects=138
  match 163 seat1: winner=0 turns=15 selects=162
  match 164 seat0: winner=1 turns=18 selects=173
  match 164 seat1: winner=0 turns=15 selects=188
  match 165 seat0: winner=1 turns=14 selects=172
  match 165 seat1: winner=0 turns=11 selects=124
  match 166 seat0: winner=1 turns=14 selects=171
  match 166 seat1: winner=0 turns=13 selects=190
  match 167 seat0: winner=1 turns=8 selects=88
  match 167 seat1: winner=0 turns=15 selects=120
  match 168 seat0: winner=1 turns=14 selects=176
  match 168 seat1: winner=0 turns=13 selects=193
  match 169 seat0: winner=1 turns=16 selects=191
  match 169 seat1: winner=0 turns=17 selects=226
  match 170 seat0: winner=1 turns=10 selects=153
  match 170 seat1: winner=0 turns=5 selects=54
  match 171 seat0: winner=1 turns=14 selects=159
  match 171 seat1: winner=1 turns=14 selects=188
  match 172 seat0: winner=1 turns=14 selects=209
  match 172 seat1: winner=0 turns=13 selects=198
