=== luc@lucario_v10 vs rule:dragapult@dragapult_ex matches=200 ===
⚠ p100_luc_lucario_v10_vs_ruledragapult_dragapult_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea988-b2f675; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 24 seat0: winner=0 turns=11 selects=147
  match 24 seat1: winner=0 turns=12 selects=175
  match 25 seat0: winner=0 turns=13 selects=121
  match 25 seat1: winner=1 turns=11 selects=153
  match 26 seat0: winner=0 turns=13 selects=154
  match 26 seat1: winner=0 turns=14 selects=172
  match 27 seat0: winner=0 turns=13 selects=119
  match 27 seat1: winner=1 turns=5 selects=36
  match 28 seat0: winner=0 turns=3 selects=33
  match 28 seat1: winner=1 turns=11 selects=138
  match 29 seat0: winner=0 turns=15 selects=182
  match 29 seat1: winner=1 turns=9 selects=130
  match 30 seat0: winner=0 turns=3 selects=34
  match 30 seat1: winner=0 turns=12 selects=190
  match 31 seat0: winner=0 turns=9 selects=119
  match 31 seat1: winner=1 turns=13 selects=149
  match 32 seat0: winner=1 turns=12 selects=154
  match 32 seat1: winner=1 turns=11 selects=157
  match 33 seat0: winner=0 turns=11 selects=131
  match 33 seat1: winner=0 turns=6 selects=40
  match 34 seat0: winner=1 turns=10 selects=73
  match 34 seat1: winner=0 turns=12 selects=114
  match 35 seat0: winner=1 turns=12 selects=129
  match 35 seat1: winner=0 turns=12 selects=159
  match 36 seat0: winner=1 turns=12 selects=144
  match 36 seat1: winner=1 turns=11 selects=68
  match 37 seat0: winner=1 turns=8 selects=83
  match 37 seat1: winner=0 turns=8 selects=127
  match 38 seat0: winner=1 turns=14 selects=217
  match 38 seat1: winner=0 turns=10 selects=111
  match 39 seat0: winner=1 turns=18 selects=190
  match 39 seat1: winner=1 turns=11 selects=127
  match 40 seat0: winner=0 turns=11 selects=160
  match 40 seat1: winner=1 turns=15 selects=185
  match 41 seat0: winner=0 turns=9 selects=72
  match 41 seat1: winner=1 turns=15 selects=165
  match 42 seat0: winner=0 turns=15 selects=167
  match 42 seat1: winner=0 turns=14 selects=215
  match 43 seat0: winner=0 turns=11 selects=173
  match 43 seat1: winner=0 turns=12 selects=146
  match 44 seat0: winner=0 turns=11 selects=81
  match 44 seat1: winner=1 turns=9 selects=142
  match 45 seat0: winner=1 turns=14 selects=195
  match 45 seat1: winner=1 turns=3 selects=24
  match 46 seat0: winner=0 turns=3 selects=30
  match 46 seat1: winner=1 turns=13 selects=191
  match 47 seat0: winner=1 turns=12 selects=162
  match 47 seat1: winner=0 turns=12 selects=183
  match 48 seat0: winner=0 turns=13 selects=149
  match 48 seat1: winner=1 turns=9 selects=126
  match 49 seat0: winner=0 turns=15 selects=162
  match 49 seat1: winner=0 turns=12 selects=169
  match 50 seat0: winner=0 turns=11 selects=76
  match 50 seat1: winner=0 turns=12 selects=173
  match 51 seat0: winner=0 turns=13 selects=192
  match 51 seat1: winner=1 turns=13 selects=94
  match 52 seat0: winner=1 turns=10 selects=164
  match 52 seat1: winner=1 turns=13 selects=193
  match 53 seat0: winner=1 turns=8 selects=79
  match 53 seat1: winner=1 turns=13 selects=166
  match 54 seat0: winner=1 turns=12 selects=146
  match 54 seat1: winner=1 turns=11 selects=155
  match 55 seat0: winner=1 turns=14 selects=213
  match 55 seat1: winner=1 turns=9 selects=129
  match 56 seat0: winner=1 turns=12 selects=118
  match 56 seat1: winner=1 turns=11 selects=161
  match 57 seat0: winner=0 turns=11 selects=146
  match 57 seat1: winner=1 turns=17 selects=156
  match 58 seat0: winner=1 turns=16 selects=181
  match 58 seat1: winner=1 turns=11 selects=120
  match 59 seat0: winner=1 turns=12 selects=172
  match 59 seat1: winner=1 turns=11 selects=152
  match 60 seat0: winner=0 turns=17 selects=205
  match 60 seat1: winner=0 turns=12 selects=162
  match 61 seat0: winner=1 turns=12 selects=186
  match 61 seat1: winner=1 turns=3 selects=35
