=== arch@archaludon_ex vs rule:dragapult@dragapult_ex matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 36 seat0: winner=1 turns=16 selects=188
  match 36 seat1: winner=0 turns=18 selects=217
  match 37 seat0: winner=1 turns=14 selects=179
  match 37 seat1: winner=0 turns=16 selects=182
  match 38 seat0: winner=1 turns=8 selects=111
  match 38 seat1: winner=1 turns=15 selects=161
  match 39 seat0: winner=0 turns=11 selects=86
  match 39 seat1: winner=1 turns=13 selects=138
  match 40 seat0: winner=1 turns=17 selects=181
  match 40 seat1: winner=0 turns=6 selects=62
  match 41 seat0: winner=1 turns=16 selects=188
  match 41 seat1: winner=0 turns=4 selects=31
  match 42 seat0: winner=0 turns=13 selects=153
  match 42 seat1: winner=0 turns=14 selects=178
  match 43 seat0: winner=1 turns=14 selects=166
  match 43 seat1: winner=1 turns=17 selects=195
  match 44 seat0: winner=1 turns=12 selects=120
  match 44 seat1: winner=0 turns=16 selects=191
  match 45 seat0: winner=1 turns=8 selects=101
  match 45 seat1: winner=0 turns=16 selects=206
  match 46 seat0: winner=1 turns=14 selects=168
  match 46 seat1: winner=1 turns=17 selects=186
  match 47 seat0: winner=0 turns=9 selects=90
  match 47 seat1: winner=0 turns=14 selects=159
  match 48 seat0: winner=1 turns=16 selects=216
  match 48 seat1: winner=1 turns=11 selects=63
  match 49 seat0: winner=1 turns=8 selects=109
  match 49 seat1: winner=1 turns=15 selects=165
  match 50 seat0: winner=0 turns=15 selects=87
  match 50 seat1: winner=0 turns=14 selects=162
  match 51 seat0: winner=0 turns=13 selects=173
  match 51 seat1: winner=1 turns=17 selects=188
  match 52 seat0: winner=1 turns=10 selects=129
  match 52 seat1: winner=0 turns=14 selects=190
  match 53 seat0: winner=0 turns=15 selects=172
  match 53 seat1: winner=0 turns=14 selects=171
  match 54 seat0: winner=1 turns=16 selects=172
  match 54 seat1: winner=0 turns=16 selects=171
  match 55 seat0: winner=0 turns=19 selects=178
  match 55 seat1: winner=0 turns=18 selects=177
  match 56 seat0: winner=1 turns=12 selects=116
  match 56 seat1: winner=0 turns=16 selects=196
  match 57 seat0: winner=1 turns=10 selects=142
  match 57 seat1: winner=0 turns=16 selects=175
  match 58 seat0: winner=1 turns=14 selects=154
  match 58 seat1: winner=0 turns=16 selects=193
  match 59 seat0: winner=0 turns=15 selects=165
  match 59 seat1: winner=1 turns=21 selects=190
  match 60 seat0: winner=1 turns=6 selects=53
  match 60 seat1: winner=0 turns=14 selects=175
  match 61 seat0: winner=1 turns=12 selects=134
  match 61 seat1: winner=0 turns=12 selects=99
  match 62 seat0: winner=0 turns=15 selects=163
  match 62 seat1: winner=1 turns=15 selects=173
  match 63 seat0: winner=0 turns=13 selects=166
  match 63 seat1: winner=1 turns=13 selects=148
  match 64 seat0: winner=1 turns=18 selects=176
  match 64 seat1: winner=0 turns=8 selects=91
  match 65 seat0: winner=1 turns=10 selects=105
  match 65 seat1: winner=0 turns=6 selects=41
  match 66 seat0: winner=1 turns=12 selects=118
  match 66 seat1: winner=1 turns=15 selects=146
  match 67 seat0: winner=1 turns=14 selects=192
  match 67 seat1: winner=0 turns=10 selects=81
  match 68 seat0: winner=1 turns=12 selects=108
  match 68 seat1: winner=0 turns=45 selects=202
  match 69 seat0: winner=0 turns=15 selects=167
  match 69 seat1: winner=0 turns=16 selects=190
  match 70 seat0: winner=1 turns=12 selects=145
  match 70 seat1: winner=0 turns=10 selects=104
  match 71 seat0: winner=1 turns=18 selects=176
  match 71 seat1: winner=1 turns=13 selects=94
  match 72 seat0: winner=1 turns=18 selects=204
  match 72 seat1: winner=1 turns=13 selects=153
  match 73 seat0: winner=1 turns=14 selects=184
  match 73 seat1: winner=0 turns=18 selects=210
  match 74 seat0: winner=1 turns=18 selects=195
  match 74 seat1: winner=0 turns=8 selects=90
  match 75 seat0: winner=0 turns=17 selects=178
  match 75 seat1: winner=1 turns=15 selects=169
  match 76 seat0: winner=1 turns=24 selects=173
  match 76 seat1: winner=0 turns=12 selects=108
  match 77 seat0: winner=1 turns=14 selects=166
  match 77 seat1: winner=0 turns=18 selects=193
  match 78 seat0: winner=0 turns=23 selects=216
  match 78 seat1: winner=1 turns=13 selects=149
  match 79 seat0: winner=1 turns=12 selects=119
  match 79 seat1: winner=0 turns=20 selects=210
  match 80 seat0: winner=1 turns=12 selects=119
  match 80 seat1: winner=1 turns=15 selects=180
  match 81 seat0: winner=1 turns=6 selects=52
  match 81 seat1: winner=0 turns=10 selects=113
  match 82 seat0: winner=1 turns=4 selects=34
  match 82 seat1: winner=1 turns=15 selects=176
  match 83 seat0: winner=1 turns=14 selects=174
  match 83 seat1: winner=0 turns=20 selects=211
  match 84 seat0: winner=1 turns=16 selects=151
  match 84 seat1: winner=1 turns=19 selects=192
  match 85 seat0: winner=0 turns=15 selects=146
  match 85 seat1: winner=0 turns=4 selects=37
  match 86 seat0: winner=1 turns=14 selects=132
  match 86 seat1: winner=0 turns=12 selects=138
  match 87 seat0: winner=1 turns=12 selects=117
  match 87 seat1: winner=0 turns=10 selects=113
  match 88 seat0: winner=1 turns=6 selects=56
  match 88 seat1: winner=0 turns=18 selects=186
  match 89 seat0: winner=0 turns=15 selects=156
  match 89 seat1: winner=1 turns=17 selects=160
  match 90 seat0: winner=1 turns=6 selects=49
  match 90 seat1: winner=1 turns=31 selects=187
  match 91 seat0: winner=1 turns=14 selects=177
  match 91 seat1: winner=1 turns=17 selects=167
  match 92 seat0: winner=0 turns=15 selects=165
  match 92 seat1: winner=0 turns=16 selects=189
  match 93 seat0: winner=0 turns=15 selects=190
  match 93 seat1: winner=0 turns=16 selects=182
  match 94 seat0: winner=1 turns=14 selects=135
  match 94 seat1: winner=0 turns=16 selects=204
  match 95 seat0: winner=0 turns=15 selects=164
  match 95 seat1: winner=0 turns=16 selects=189
  match 96 seat0: winner=0 turns=17 selects=168
  match 96 seat1: winner=0 turns=18 selects=195
  match 97 seat0: winner=0 turns=18 selects=157
  match 97 seat1: winner=0 turns=6 selects=67
  match 98 seat0: winner=0 turns=15 selects=124
  match 98 seat1: winner=0 turns=12 selects=127
  match 99 seat0: winner=1 turns=8 selects=82
  match 99 seat1: winner=0 turns=16 selects=212
  match 100 seat0: winner=1 turns=12 selects=150
  match 100 seat1: winner=0 turns=6 selects=58
  match 101 seat0: winner=0 turns=11 selects=139
  match 101 seat1: winner=0 turns=6 selects=62
  match 102 seat0: winner=1 turns=18 selects=185
  match 102 seat1: winner=0 turns=12 selects=128
  match 103 seat0: winner=0 turns=13 selects=135
  match 103 seat1: winner=0 turns=20 selects=191
  match 104 seat0: winner=1 turns=6 selects=59
  match 104 seat1: winner=1 turns=15 selects=165
  match 105 seat0: winner=1 turns=12 selects=115
  match 105 seat1: winner=1 turns=15 selects=163
  match 106 seat0: winner=0 turns=13 selects=177
  match 106 seat1: winner=0 turns=14 selects=147
  match 107 seat0: winner=1 turns=14 selects=160
  match 107 seat1: winner=1 turns=11 selects=152
  match 108 seat0: winner=1 turns=15 selects=187
  match 108 seat1: winner=0 turns=14 selects=141
