=== ala@alakazam5 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 62 seat1: winner=0 turns=11 selects=180
  match 63 seat0: winner=1 turns=10 selects=132
  match 63 seat1: winner=1 turns=16 selects=223
  match 64 seat0: winner=1 turns=14 selects=208
  match 64 seat1: winner=1 turns=12 selects=172
  match 65 seat0: winner=1 turns=8 selects=108
  match 65 seat1: winner=0 turns=12 selects=158
  match 66 seat0: winner=1 turns=12 selects=161
  match 66 seat1: winner=1 turns=16 selects=183
  match 67 seat0: winner=1 turns=10 selects=147
  match 67 seat1: winner=0 turns=5 selects=61
  match 68 seat0: winner=0 turns=13 selects=182
  match 68 seat1: winner=0 turns=9 selects=151
  match 69 seat0: winner=0 turns=15 selects=180
  match 69 seat1: winner=1 turns=18 selects=185
  match 70 seat0: winner=0 turns=11 selects=158
  match 70 seat1: winner=1 turns=12 selects=196
  match 71 seat0: winner=1 turns=10 selects=172
  match 71 seat1: winner=0 turns=9 selects=157
  match 72 seat0: winner=0 turns=11 selects=147
  match 72 seat1: winner=0 turns=13 selects=193
  match 73 seat0: winner=1 turns=12 selects=162
  match 73 seat1: winner=0 turns=9 selects=145
  match 74 seat0: winner=1 turns=14 selects=167
  match 74 seat1: winner=0 turns=11 selects=189
  match 75 seat0: winner=1 turns=15 selects=201
  match 75 seat1: winner=0 turns=3 selects=30
  match 76 seat0: winner=1 turns=14 selects=203
  match 76 seat1: winner=0 turns=16 selects=245
  match 77 seat0: winner=0 turns=11 selects=179
  match 77 seat1: winner=0 turns=9 selects=140
  match 78 seat0: winner=1 turns=15 selects=238
  match 78 seat1: winner=0 turns=13 selects=199
  match 79 seat0: winner=1 turns=14 selects=212
  match 79 seat1: winner=0 turns=13 selects=190
  match 80 seat0: winner=1 turns=10 selects=153
  match 80 seat1: winner=0 turns=11 selects=178
  match 81 seat0: winner=0 turns=11 selects=132
  match 81 seat1: winner=0 turns=13 selects=212
  match 82 seat0: winner=1 turns=10 selects=177
  match 82 seat1: winner=1 turns=10 selects=172
  match 83 seat0: winner=1 turns=9 selects=145
  match 83 seat1: winner=0 turns=15 selects=204
  match 84 seat0: winner=0 turns=11 selects=135
  match 84 seat1: winner=0 turns=10 selects=114
  match 85 seat0: winner=0 turns=11 selects=150
  match 85 seat1: winner=0 turns=9 selects=148
  match 86 seat0: winner=1 turns=10 selects=147
  match 86 seat1: winner=0 turns=9 selects=152
  match 87 seat0: winner=1 turns=14 selects=195
  match 87 seat1: winner=0 turns=13 selects=159
  match 88 seat0: winner=1 turns=14 selects=216
  match 88 seat1: winner=1 turns=10 selects=142
  match 89 seat0: winner=1 turns=14 selects=211
  match 89 seat1: winner=1 turns=14 selects=229
  match 90 seat0: winner=0 turns=11 selects=179
  match 90 seat1: winner=1 turns=14 selects=145
  match 91 seat0: winner=0 turns=13 selects=139
  match 91 seat1: winner=0 turns=13 selects=189
  match 92 seat0: winner=1 turns=12 selects=171
  match 92 seat1: winner=0 turns=11 selects=168
  match 93 seat0: winner=1 turns=15 selects=194
  match 93 seat1: winner=0 turns=17 selects=179
  match 94 seat0: winner=1 turns=12 selects=186
  match 94 seat1: winner=0 turns=9 selects=157
  match 95 seat0: winner=0 turns=9 selects=150
  match 95 seat1: winner=1 turns=10 selects=171
  match 96 seat0: winner=0 turns=13 selects=162
  match 96 seat1: winner=0 turns=13 selects=188
  match 97 seat0: winner=1 turns=10 selects=172
  match 97 seat1: winner=0 turns=13 selects=214
  match 98 seat0: winner=1 turns=16 selects=231
  match 98 seat1: winner=1 turns=16 selects=157
  match 99 seat0: winner=1 turns=12 selects=183
  match 99 seat1: winner=0 turns=13 selects=182
  match 100 seat0: winner=1 turns=8 selects=104
  match 100 seat1: winner=0 turns=17 selects=208
  match 101 seat0: winner=0 turns=11 selects=112
  match 101 seat1: winner=0 turns=11 selects=177
  match 102 seat0: winner=1 turns=12 selects=184
  match 102 seat1: winner=1 turns=14 selects=151
  match 103 seat0: winner=1 turns=12 selects=220
  match 103 seat1: winner=1 turns=12 selects=155
  match 104 seat0: winner=1 turns=10 selects=132
  match 104 seat1: winner=0 turns=13 selects=183
  match 105 seat0: winner=0 turns=11 selects=146
  match 105 seat1: winner=0 turns=13 selects=213
  match 106 seat0: winner=1 turns=14 selects=188
  match 106 seat1: winner=0 turns=13 selects=208
  match 107 seat0: winner=1 turns=14 selects=253
  match 107 seat1: winner=0 turns=11 selects=172
  match 108 seat0: winner=1 turns=14 selects=246
  match 108 seat1: winner=0 turns=11 selects=178
  match 109 seat0: winner=0 turns=13 selects=215
  match 109 seat1: winner=0 turns=13 selects=183
  match 110 seat0: winner=0 turns=11 selects=135
  match 110 seat1: winner=0 turns=12 selects=189
  match 111 seat0: winner=1 turns=14 selects=210
