=== ala@alakazam5 vs rule:alakazam5@alakazam5 matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 20 seat1: winner=1 turns=16 selects=168
  match 21 seat0: winner=0 turns=7 selects=50
  match 21 seat1: winner=1 turns=16 selects=168
  match 22 seat0: winner=1 turns=15 selects=168
  match 22 seat1: winner=1 turns=3 selects=16
  match 23 seat0: winner=0 turns=13 selects=124
  match 23 seat1: winner=1 turns=16 selects=106
  match 24 seat0: winner=0 turns=13 selects=106
  match 24 seat1: winner=1 turns=12 selects=139
  match 25 seat0: winner=0 turns=15 selects=133
  match 25 seat1: winner=1 turns=12 selects=122
  match 26 seat0: winner=0 turns=17 selects=159
  match 26 seat1: winner=1 turns=12 selects=122
  match 27 seat0: winner=0 turns=15 selects=167
  match 27 seat1: winner=1 turns=14 selects=156
  match 28 seat0: winner=0 turns=18 selects=169
  match 28 seat1: winner=1 turns=14 selects=125
  match 29 seat0: winner=0 turns=17 selects=181
  match 29 seat1: winner=0 turns=22 selects=213
  match 30 seat0: winner=0 turns=5 selects=45
  match 30 seat1: winner=0 turns=16 selects=166
  match 31 seat0: winner=0 turns=17 selects=166
  match 31 seat1: winner=1 turns=14 selects=132
  match 32 seat0: winner=0 turns=13 selects=127
  match 32 seat1: winner=0 turns=14 selects=180
  match 33 seat0: winner=0 turns=19 selects=166
  match 33 seat1: winner=1 turns=18 selects=165
  match 34 seat0: winner=0 turns=17 selects=157
  match 34 seat1: winner=1 turns=16 selects=165
  match 35 seat0: winner=0 turns=11 selects=131
  match 35 seat1: winner=0 turns=11 selects=133
  match 36 seat0: winner=1 turns=11 selects=146
  match 36 seat1: winner=1 turns=20 selects=188
  match 37 seat0: winner=0 turns=17 selects=190
  match 37 seat1: winner=1 turns=25 selects=232
  match 38 seat0: winner=1 turns=14 selects=147
  match 38 seat1: winner=0 turns=21 selects=170
  match 39 seat0: winner=0 turns=30 selects=185
  match 39 seat1: winner=1 turns=16 selects=129
  match 40 seat0: winner=0 turns=13 selects=133
  match 40 seat1: winner=0 turns=17 selects=195
  match 41 seat0: winner=0 turns=11 selects=66
  match 41 seat1: winner=1 turns=19 selects=178
  match 42 seat0: winner=1 turns=14 selects=170
  match 42 seat1: winner=1 turns=16 selects=159
  match 43 seat0: winner=0 turns=13 selects=156
  match 43 seat1: winner=1 turns=16 selects=150
  match 44 seat0: winner=0 turns=13 selects=96
  match 44 seat1: winner=0 turns=16 selects=155
  match 45 seat0: winner=0 turns=15 selects=152
  match 45 seat1: winner=1 turns=14 selects=132
  match 46 seat0: winner=0 turns=17 selects=165
  match 46 seat1: winner=1 turns=14 selects=181
  match 47 seat0: winner=0 turns=15 selects=152
  match 47 seat1: winner=1 turns=14 selects=140
  match 48 seat0: winner=0 turns=13 selects=141
  match 48 seat1: winner=1 turns=14 selects=142
  match 49 seat0: winner=0 turns=3 selects=33
  match 49 seat1: winner=1 turns=14 selects=144
  match 50 seat0: winner=0 turns=11 selects=108
  match 50 seat1: winner=1 turns=14 selects=118
  match 51 seat0: winner=1 turns=15 selects=180
  match 51 seat1: winner=1 turns=14 selects=135
  match 52 seat0: winner=1 turns=12 selects=156
  match 52 seat1: winner=1 turns=19 selects=200
  match 53 seat0: winner=0 turns=15 selects=160
  match 53 seat1: winner=1 turns=18 selects=130
  match 54 seat0: winner=0 turns=13 selects=120
  match 54 seat1: winner=1 turns=33 selects=184
  match 55 seat0: winner=0 turns=11 selects=142
  match 55 seat1: winner=1 turns=19 selects=189
  match 56 seat0: winner=0 turns=13 selects=151
  match 56 seat1: winner=0 turns=22 selects=202
  match 57 seat0: winner=0 turns=15 selects=141
  match 57 seat1: winner=1 turns=4 selects=38
  match 58 seat0: winner=0 turns=13 selects=161
  match 58 seat1: winner=1 turns=12 selects=123
  match 59 seat0: winner=0 turns=13 selects=157
