=== luc@lucario_v10 vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea8e4-31b603; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 61 seat1: winner=0 turns=17 selects=131
  match 62 seat0: winner=0 turns=9 selects=74
  match 62 seat1: winner=1 turns=17 selects=94
  match 63 seat0: winner=1 turns=11 selects=90
  match 63 seat1: winner=1 turns=9 selects=65
  match 64 seat0: winner=1 turns=25 selects=157
  match 64 seat1: winner=0 turns=13 selects=90
  match 65 seat0: winner=1 turns=13 selects=100
  match 65 seat1: winner=0 turns=19 selects=129
  match 66 seat0: winner=0 turns=17 selects=118
  match 66 seat1: winner=1 turns=7 selects=55
  match 67 seat0: winner=0 turns=11 selects=79
  match 67 seat1: winner=1 turns=11 selects=89
  match 68 seat0: winner=1 turns=17 selects=113
  match 68 seat1: winner=0 turns=19 selects=133
  match 69 seat0: winner=1 turns=15 selects=124
  match 69 seat1: winner=0 turns=21 selects=131
  match 70 seat0: winner=0 turns=11 selects=98
  match 70 seat1: winner=0 turns=13 selects=85
  match 71 seat0: winner=1 turns=24 selects=168
  match 71 seat1: winner=1 turns=13 selects=91
  match 72 seat0: winner=0 turns=13 selects=89
  match 72 seat1: winner=0 turns=20 selects=139
  match 73 seat0: winner=0 turns=11 selects=76
  match 73 seat1: winner=0 turns=25 selects=159
  match 74 seat0: winner=0 turns=17 selects=108
  match 74 seat1: winner=0 turns=29 selects=185
  match 75 seat0: winner=1 turns=19 selects=114
  match 75 seat1: winner=0 turns=15 selects=102
  match 76 seat0: winner=0 turns=13 selects=93
  match 76 seat1: winner=0 turns=21 selects=127
  match 77 seat0: winner=1 turns=26 selects=133
  match 77 seat1: winner=1 turns=11 selects=81
  match 78 seat0: winner=0 turns=11 selects=92
  match 78 seat1: winner=0 turns=21 selects=141
  match 79 seat0: winner=0 turns=11 selects=82
  match 79 seat1: winner=1 turns=11 selects=82
  match 80 seat0: winner=1 turns=22 selects=144
  match 80 seat1: winner=0 turns=25 selects=156
  match 81 seat0: winner=0 turns=11 selects=87
  match 81 seat1: winner=0 turns=22 selects=146
  match 82 seat0: winner=1 turns=11 selects=87
  match 82 seat1: winner=0 turns=16 selects=53
  match 83 seat0: winner=0 turns=9 selects=61
  match 83 seat1: winner=0 turns=15 selects=118
  match 84 seat0: winner=1 turns=30 selects=166
  match 84 seat1: winner=1 turns=17 selects=124
  match 85 seat0: winner=0 turns=9 selects=72
  match 85 seat1: winner=1 turns=7 selects=53
  match 86 seat0: winner=1 turns=27 selects=179
  match 86 seat1: winner=0 turns=20 selects=74
  match 87 seat0: winner=1 turns=13 selects=98
  match 87 seat1: winner=0 turns=11 selects=76
  match 88 seat0: winner=1 turns=22 selects=156
  match 88 seat1: winner=0 turns=23 selects=160
  match 89 seat0: winner=1 turns=19 selects=139
  match 89 seat1: winner=0 turns=21 selects=155
  match 90 seat0: winner=0 turns=21 selects=122
  match 90 seat1: winner=0 turns=17 selects=139
  match 91 seat0: winner=0 turns=9 selects=67
  match 91 seat1: winner=0 turns=19 selects=128
  match 92 seat0: winner=1 turns=17 selects=125
  match 92 seat1: winner=0 turns=19 selects=135
  match 93 seat0: winner=1 turns=17 selects=112
  match 93 seat1: winner=0 turns=22 selects=140
  match 94 seat0: winner=0 turns=7 selects=58
  match 94 seat1: winner=0 turns=17 selects=92
  match 95 seat0: winner=0 turns=3 selects=36
  match 95 seat1: winner=0 turns=27 selects=176
  match 96 seat0: winner=0 turns=11 selects=89
  match 96 seat1: winner=1 turns=7 selects=65
  match 97 seat0: winner=0 turns=19 selects=137
  match 97 seat1: winner=0 turns=23 selects=157
  match 98 seat0: winner=1 turns=20 selects=92
  match 98 seat1: winner=0 turns=15 selects=115
