=== gar@cynthia_garchomp vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 58 seat1: winner=1 turns=12 selects=148
  match 59 seat0: winner=1 turns=16 selects=186
  match 59 seat1: winner=1 turns=16 selects=188
  match 60 seat0: winner=1 turns=12 selects=163
  match 60 seat1: winner=0 turns=19 selects=214
  match 61 seat0: winner=1 turns=12 selects=175
  match 61 seat1: winner=1 turns=18 selects=253
  match 62 seat0: winner=1 turns=12 selects=175
  match 62 seat1: winner=0 turns=13 selects=177
  match 63 seat0: winner=1 turns=12 selects=163
  match 63 seat1: winner=0 turns=11 selects=169
  match 64 seat0: winner=1 turns=10 selects=155
  match 64 seat1: winner=0 turns=19 selects=156
  match 65 seat0: winner=1 turns=14 selects=203
  match 65 seat1: winner=1 turns=14 selects=183
  match 66 seat0: winner=1 turns=16 selects=218
  match 66 seat1: winner=0 turns=10 selects=133
  match 67 seat0: winner=1 turns=16 selects=239
  match 67 seat1: winner=0 turns=15 selects=178
  match 68 seat0: winner=0 turns=11 selects=186
  match 68 seat1: winner=0 turns=11 selects=143
  match 69 seat0: winner=1 turns=12 selects=186
  match 69 seat1: winner=0 turns=11 selects=106
  match 70 seat0: winner=1 turns=12 selects=181
  match 70 seat1: winner=0 turns=13 selects=143
  match 71 seat0: winner=1 turns=12 selects=182
  match 71 seat1: winner=1 turns=14 selects=198
  match 72 seat0: winner=0 turns=13 selects=190
  match 72 seat1: winner=0 turns=11 selects=179
  match 73 seat0: winner=0 turns=19 selects=203
  match 73 seat1: winner=1 turns=12 selects=173
  match 74 seat0: winner=1 turns=14 selects=167
  match 74 seat1: winner=1 turns=12 selects=177
  match 75 seat0: winner=0 turns=11 selects=160
  match 75 seat1: winner=0 turns=15 selects=192
  match 76 seat0: winner=1 turns=16 selects=185
  match 76 seat1: winner=0 turns=15 selects=196
  match 77 seat0: winner=1 turns=12 selects=191
  match 77 seat1: winner=0 turns=13 selects=186
  match 78 seat0: winner=0 turns=13 selects=224
  match 78 seat1: winner=0 turns=15 selects=163
  match 79 seat0: winner=0 turns=11 selects=142
  match 79 seat1: winner=1 turns=16 selects=173
  match 80 seat0: winner=0 turns=9 selects=119
  match 80 seat1: winner=1 turns=14 selects=132
  match 81 seat0: winner=0 turns=13 selects=208
  match 81 seat1: winner=0 turns=11 selects=136
  match 82 seat0: winner=0 turns=15 selects=215
  match 82 seat1: winner=0 turns=17 selects=188
  match 83 seat0: winner=1 turns=12 selects=152
  match 83 seat1: winner=1 turns=12 selects=157
  match 84 seat0: winner=1 turns=14 selects=195
  match 84 seat1: winner=1 turns=12 selects=199
  match 85 seat0: winner=0 turns=17 selects=157
  match 85 seat1: winner=0 turns=15 selects=207
  match 86 seat0: winner=0 turns=21 selects=201
  match 86 seat1: winner=1 turns=12 selects=163
  match 87 seat0: winner=1 turns=10 selects=143
  match 87 seat1: winner=0 turns=13 selects=171
  match 88 seat0: winner=1 turns=14 selects=165
  match 88 seat1: winner=0 turns=13 selects=165
  match 89 seat0: winner=0 turns=11 selects=94
  match 89 seat1: winner=0 turns=9 selects=101
  match 90 seat0: winner=0 turns=13 selects=176
  match 90 seat1: winner=1 turns=16 selects=207
  match 91 seat0: winner=1 turns=10 selects=142
  match 91 seat1: winner=0 turns=13 selects=163
  match 92 seat0: winner=1 turns=10 selects=154
  match 92 seat1: winner=1 turns=14 selects=137
  match 93 seat0: winner=1 turns=12 selects=143
  match 93 seat1: winner=1 turns=18 selects=206
  match 94 seat0: winner=1 turns=15 selects=203
  match 94 seat1: winner=0 turns=13 selects=152
