=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 61 seat0: winner=1 turns=25 selects=143
  match 61 seat1: winner=0 turns=21 selects=123
  match 62 seat0: winner=1 turns=21 selects=125
  match 62 seat1: winner=0 turns=20 selects=136
  match 63 seat0: winner=1 turns=20 selects=131
  match 63 seat1: winner=0 turns=21 selects=135
  match 64 seat0: winner=1 turns=18 selects=118
  match 64 seat1: winner=0 turns=21 selects=133
  match 65 seat0: winner=1 turns=27 selects=121
  match 65 seat1: winner=0 turns=22 selects=116
  match 66 seat0: winner=1 turns=22 selects=132
  match 66 seat1: winner=0 turns=15 selects=105
  match 67 seat0: winner=1 turns=22 selects=136
  match 67 seat1: winner=0 turns=20 selects=105
  match 68 seat0: winner=1 turns=17 selects=118
  match 68 seat1: winner=0 turns=26 selects=148
  match 69 seat0: winner=1 turns=20 selects=130
  match 69 seat1: winner=0 turns=22 selects=138
  match 70 seat0: winner=1 turns=22 selects=134
  match 70 seat1: winner=0 turns=23 selects=142
  match 71 seat0: winner=1 turns=19 selects=127
  match 71 seat1: winner=0 turns=21 selects=134
  match 72 seat0: winner=1 turns=20 selects=113
  match 72 seat1: winner=0 turns=20 selects=137
  match 73 seat0: winner=1 turns=22 selects=134
  match 73 seat1: winner=0 turns=26 selects=126
  match 74 seat0: winner=1 turns=20 selects=131
  match 74 seat1: winner=0 turns=21 selects=133
  match 75 seat0: winner=1 turns=22 selects=137
  match 75 seat1: winner=0 turns=22 selects=138
  match 76 seat0: winner=1 turns=15 selects=119
  match 76 seat1: winner=0 turns=22 selects=132
  match 77 seat0: winner=1 turns=22 selects=147
  match 77 seat1: winner=0 turns=25 selects=130
  match 78 seat0: winner=1 turns=20 selects=139
  match 78 seat1: winner=0 turns=20 selects=125
  match 79 seat0: winner=1 turns=18 selects=110
  match 79 seat1: winner=0 turns=23 selects=119
  match 80 seat0: winner=1 turns=22 selects=129
  match 80 seat1: winner=0 turns=22 selects=127
  match 81 seat0: winner=1 turns=20 selects=124
  match 81 seat1: winner=0 turns=26 selects=137
  match 82 seat0: winner=1 turns=21 selects=137
  match 82 seat1: winner=0 turns=22 selects=110
  match 83 seat0: winner=1 turns=17 selects=124
  match 83 seat1: winner=0 turns=22 selects=134
  match 84 seat0: winner=1 turns=21 selects=124
  match 84 seat1: winner=0 turns=20 selects=127
  match 85 seat0: winner=1 turns=20 selects=123
  match 85 seat1: winner=0 turns=20 selects=113
  match 86 seat0: winner=1 turns=25 selects=142
  match 86 seat1: winner=0 turns=21 selects=130
  match 87 seat0: winner=1 turns=20 selects=120
  match 87 seat1: winner=0 turns=25 selects=132
  match 88 seat0: winner=1 turns=24 selects=140
  match 88 seat1: winner=0 turns=20 selects=103
  match 89 seat0: winner=1 turns=19 selects=130
  match 89 seat1: winner=0 turns=23 selects=132
