=== arch@archaludon_ex vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 62 seat1: winner=0 turns=11 selects=131
  match 63 seat0: winner=1 turns=14 selects=171
  match 63 seat1: winner=0 turns=13 selects=161
  match 64 seat0: winner=1 turns=17 selects=155
  match 64 seat1: winner=0 turns=15 selects=154
  match 65 seat0: winner=1 turns=14 selects=158
  match 65 seat1: winner=0 turns=13 selects=163
  match 66 seat0: winner=1 turns=8 selects=84
  match 66 seat1: winner=0 turns=15 selects=187
  match 67 seat0: winner=1 turns=16 selects=167
  match 67 seat1: winner=0 turns=11 selects=132
  match 68 seat0: winner=1 turns=10 selects=94
  match 68 seat1: winner=1 turns=18 selects=168
  match 69 seat0: winner=1 turns=14 selects=142
  match 69 seat1: winner=0 turns=5 selects=76
  match 70 seat0: winner=1 turns=4 selects=46
  match 70 seat1: winner=1 turns=14 selects=175
  match 71 seat0: winner=1 turns=16 selects=161
  match 71 seat1: winner=0 turns=15 selects=155
  match 72 seat0: winner=0 turns=17 selects=167
  match 72 seat1: winner=0 turns=14 selects=169
  match 73 seat0: winner=1 turns=20 selects=205
  match 73 seat1: winner=0 turns=14 selects=149
  match 74 seat0: winner=1 turns=10 selects=114
  match 74 seat1: winner=0 turns=15 selects=177
  match 75 seat0: winner=1 turns=8 selects=74
  match 75 seat1: winner=1 turns=16 selects=208
  match 76 seat0: winner=1 turns=18 selects=222
  match 76 seat1: winner=0 turns=11 selects=106
  match 77 seat0: winner=1 turns=14 selects=172
  match 77 seat1: winner=0 turns=15 selects=176
  match 78 seat0: winner=0 turns=17 selects=169
  match 78 seat1: winner=0 turns=13 selects=129
  match 79 seat0: winner=1 turns=16 selects=188
  match 79 seat1: winner=0 turns=19 selects=173
  match 80 seat0: winner=0 turns=19 selects=196
  match 80 seat1: winner=0 turns=15 selects=119
  match 81 seat0: winner=1 turns=16 selects=145
  match 81 seat1: winner=0 turns=21 selects=173
  match 82 seat0: winner=1 turns=8 selects=80
  match 82 seat1: winner=0 turns=11 selects=180
  match 83 seat0: winner=1 turns=12 selects=140
  match 83 seat1: winner=0 turns=17 selects=186
  match 84 seat0: winner=1 turns=12 selects=178
  match 84 seat1: winner=0 turns=3 selects=28
  match 85 seat0: winner=1 turns=6 selects=66
  match 85 seat1: winner=0 turns=14 selects=143
  match 86 seat0: winner=1 turns=12 selects=100
  match 86 seat1: winner=0 turns=7 selects=98
  match 87 seat0: winner=1 turns=14 selects=126
  match 87 seat1: winner=0 turns=15 selects=133
  match 88 seat0: winner=1 turns=20 selects=201
  match 88 seat1: winner=0 turns=9 selects=104
  match 89 seat0: winner=1 turns=12 selects=138
  match 89 seat1: winner=0 turns=17 selects=181
  match 90 seat0: winner=1 turns=12 selects=132
  match 90 seat1: winner=0 turns=9 selects=85
  match 91 seat0: winner=1 turns=14 selects=135
  match 91 seat1: winner=0 turns=15 selects=136
  match 92 seat0: winner=1 turns=6 selects=64
  match 92 seat1: winner=0 turns=13 selects=183
  match 93 seat0: winner=1 turns=8 selects=105
  match 93 seat1: winner=0 turns=3 selects=47
  match 94 seat0: winner=1 turns=12 selects=168
  match 94 seat1: winner=0 turns=11 selects=159
  match 95 seat0: winner=1 turns=8 selects=87
  match 95 seat1: winner=0 turns=17 selects=153
  match 96 seat0: winner=1 turns=14 selects=147
  match 96 seat1: winner=0 turns=7 selects=94
  match 97 seat0: winner=0 turns=17 selects=176
  match 97 seat1: winner=0 turns=13 selects=159
  match 98 seat0: winner=1 turns=10 selects=104
  match 98 seat1: winner=0 turns=15 selects=116
  match 99 seat0: winner=1 turns=18 selects=149
  match 99 seat1: winner=0 turns=13 selects=147
  match 100 seat0: winner=1 turns=8 selects=109
  match 100 seat1: winner=0 turns=7 selects=77
  match 101 seat0: winner=1 turns=14 selects=184
  match 101 seat1: winner=0 turns=14 selects=174
  match 102 seat0: winner=1 turns=12 selects=137
  match 102 seat1: winner=0 turns=15 selects=180
  match 103 seat0: winner=1 turns=14 selects=158
  match 103 seat1: winner=0 turns=16 selects=188
  match 104 seat0: winner=1 turns=14 selects=128
  match 104 seat1: winner=0 turns=13 selects=146
  match 105 seat0: winner=1 turns=14 selects=171
  match 105 seat1: winner=0 turns=17 selects=155
  match 106 seat0: winner=1 turns=14 selects=161
  match 106 seat1: winner=0 turns=9 selects=87
  match 107 seat0: winner=1 turns=14 selects=188
  match 107 seat1: winner=0 turns=13 selects=169
  match 108 seat0: winner=1 turns=14 selects=139
  match 108 seat1: winner=0 turns=17 selects=230
  match 109 seat0: winner=1 turns=12 selects=142
  match 109 seat1: winner=0 turns=13 selects=179
  match 110 seat0: winner=1 turns=14 selects=148
  match 110 seat1: winner=0 turns=16 selects=151
  match 111 seat0: winner=1 turns=14 selects=207
  match 111 seat1: winner=0 turns=15 selects=222
  match 112 seat0: winner=1 turns=14 selects=134
  match 112 seat1: winner=0 turns=11 selects=95
  match 113 seat0: winner=1 turns=14 selects=143
  match 113 seat1: winner=0 turns=15 selects=202
  match 114 seat0: winner=1 turns=12 selects=111
  match 114 seat1: winner=0 turns=17 selects=206
  match 115 seat0: winner=1 turns=14 selects=175
  match 115 seat1: winner=0 turns=9 selects=86
  match 116 seat0: winner=1 turns=24 selects=196
  match 116 seat1: winner=0 turns=15 selects=125
  match 117 seat0: winner=1 turns=6 selects=72
  match 117 seat1: winner=0 turns=13 selects=146
  match 118 seat0: winner=1 turns=6 selects=77
  match 118 seat1: winner=0 turns=9 selects=89
  match 119 seat0: winner=1 turns=10 selects=105
  match 119 seat1: winner=0 turns=3 selects=49
  match 120 seat0: winner=0 turns=13 selects=119
  match 120 seat1: winner=0 turns=15 selects=160
  match 121 seat0: winner=1 turns=11 selects=149
  match 121 seat1: winner=0 turns=17 selects=140
  match 122 seat0: winner=1 turns=12 selects=171
  match 122 seat1: winner=1 turns=16 selects=107
  match 123 seat0: winner=1 turns=18 selects=223
  match 123 seat1: winner=0 turns=13 selects=184
  match 124 seat0: winner=1 turns=8 selects=73
  match 124 seat1: winner=0 turns=9 selects=109
  match 125 seat0: winner=1 turns=10 selects=137
  match 125 seat1: winner=0 turns=13 selects=160
  match 126 seat0: winner=1 turns=20 selects=163
  match 126 seat1: winner=0 turns=13 selects=132
  match 127 seat0: winner=1 turns=12 selects=132
  match 127 seat1: winner=0 turns=11 selects=111
  match 128 seat0: winner=1 turns=14 selects=170
  match 128 seat1: winner=0 turns=15 selects=210
  match 129 seat0: winner=1 turns=20 selects=178
  match 129 seat1: winner=0 turns=13 selects=146
  match 130 seat0: winner=0 turns=19 selects=124
  match 130 seat1: winner=0 turns=11 selects=141
  match 131 seat0: winner=1 turns=14 selects=137
  match 131 seat1: winner=0 turns=19 selects=222
  match 132 seat0: winner=1 turns=14 selects=164
  match 132 seat1: winner=0 turns=15 selects=156
  match 133 seat0: winner=1 turns=14 selects=168
  match 133 seat1: winner=0 turns=15 selects=134
  match 134 seat0: winner=1 turns=14 selects=182
  match 134 seat1: winner=0 turns=11 selects=157
  match 135 seat0: winner=0 turns=17 selects=196
  match 135 seat1: winner=0 turns=12 selects=178
  match 136 seat0: winner=1 turns=10 selects=83
  match 136 seat1: winner=0 turns=11 selects=168
  match 137 seat0: winner=1 turns=16 selects=195
  match 137 seat1: winner=0 turns=13 selects=180
  match 138 seat0: winner=1 turns=14 selects=163
  match 138 seat1: winner=0 turns=11 selects=106
  match 139 seat0: winner=1 turns=6 selects=56
  match 139 seat1: winner=0 turns=15 selects=146
  match 140 seat0: winner=1 turns=14 selects=152
  match 140 seat1: winner=0 turns=5 selects=55
  match 141 seat0: winner=1 turns=19 selects=223
  match 141 seat1: winner=0 turns=11 selects=134
  match 142 seat0: winner=1 turns=16 selects=164
  match 142 seat1: winner=0 turns=7 selects=85
  match 143 seat0: winner=1 turns=12 selects=125
  match 143 seat1: winner=0 turns=11 selects=117
  match 144 seat0: winner=1 turns=6 selects=64
  match 144 seat1: winner=0 turns=11 selects=146
  match 145 seat0: winner=1 turns=8 selects=75
  match 145 seat1: winner=0 turns=5 selects=47
  match 146 seat0: winner=1 turns=14 selects=156
  match 146 seat1: winner=0 turns=9 selects=92
  match 147 seat0: winner=0 turns=13 selects=167
  match 147 seat1: winner=0 turns=11 selects=133
  match 148 seat0: winner=1 turns=14 selects=114
  match 148 seat1: winner=0 turns=17 selects=206
  match 149 seat0: winner=0 turns=15 selects=101
  match 149 seat1: winner=0 turns=25 selects=224
  match 150 seat0: winner=1 turns=12 selects=138
  match 150 seat1: winner=0 turns=9 selects=88
  match 151 seat0: winner=1 turns=4 selects=34
  match 151 seat1: winner=0 turns=13 selects=133
  match 152 seat0: winner=1 turns=25 selects=172
  match 152 seat1: winner=0 turns=13 selects=117
  match 153 seat0: winner=1 turns=10 selects=93
  match 153 seat1: winner=0 turns=17 selects=159
  match 154 seat0: winner=1 turns=14 selects=192
  match 154 seat1: winner=0 turns=19 selects=211
  match 155 seat0: winner=1 turns=12 selects=164
  match 155 seat1: winner=0 turns=19 selects=234
  match 156 seat0: winner=1 turns=23 selects=204
  match 156 seat1: winner=0 turns=15 selects=151
  match 157 seat0: winner=1 turns=16 selects=169
  match 157 seat1: winner=1 turns=24 selects=183
  match 158 seat0: winner=1 turns=16 selects=190
  match 158 seat1: winner=0 turns=13 selects=135
  match 159 seat0: winner=1 turns=16 selects=180
  match 159 seat1: winner=0 turns=13 selects=166
  match 160 seat0: winner=1 turns=20 selects=217
  match 160 seat1: winner=0 turns=17 selects=150
  match 161 seat0: winner=1 turns=14 selects=158
  match 161 seat1: winner=0 turns=15 selects=186
  match 162 seat0: winner=1 turns=12 selects=129
  match 162 seat1: winner=0 turns=9 selects=98
  match 163 seat0: winner=1 turns=16 selects=197
  match 163 seat1: winner=0 turns=13 selects=162
  match 164 seat0: winner=1 turns=14 selects=137
  match 164 seat1: winner=0 turns=18 selects=187
  match 165 seat0: winner=1 turns=16 selects=169
  match 165 seat1: winner=0 turns=13 selects=159
  match 166 seat0: winner=1 turns=12 selects=142
  match 166 seat1: winner=1 turns=18 selects=167
  match 167 seat0: winner=1 turns=12 selects=178
  match 167 seat1: winner=0 turns=11 selects=107
  match 168 seat0: winner=1 turns=14 selects=145
  match 168 seat1: winner=0 turns=13 selects=148
  match 169 seat0: winner=1 turns=12 selects=177
  match 169 seat1: winner=1 turns=14 selects=177
  match 170 seat0: winner=1 turns=12 selects=136
  match 170 seat1: winner=0 turns=13 selects=142
  match 171 seat0: winner=1 turns=14 selects=141
  match 171 seat1: winner=0 turns=15 selects=202
  match 172 seat0: winner=1 turns=10 selects=112
  match 172 seat1: winner=0 turns=11 selects=161
  match 173 seat0: winner=1 turns=12 selects=145
  match 173 seat1: winner=0 turns=7 selects=64
  match 174 seat0: winner=1 turns=12 selects=126
  match 174 seat1: winner=0 turns=5 selects=56
  match 175 seat0: winner=1 turns=14 selects=173
  match 175 seat1: winner=0 turns=15 selects=166
  match 176 seat0: winner=1 turns=12 selects=125
  match 176 seat1: winner=0 turns=23 selects=227
  match 177 seat0: winner=1 turns=12 selects=167
  match 177 seat1: winner=0 turns=5 selects=53
  match 178 seat0: winner=1 turns=18 selects=178
  match 178 seat1: winner=0 turns=9 selects=104
  match 179 seat0: winner=1 turns=12 selects=146
  match 179 seat1: winner=0 turns=15 selects=112
  match 180 seat0: winner=0 turns=19 selects=205
  match 180 seat1: winner=0 turns=15 selects=188
  match 181 seat0: winner=1 turns=16 selects=145
  match 181 seat1: winner=1 turns=16 selects=215
  match 182 seat0: winner=1 turns=18 selects=205
  match 182 seat1: winner=0 turns=11 selects=133
  match 183 seat0: winner=1 turns=16 selects=182
  match 183 seat1: winner=0 turns=11 selects=99
  match 184 seat0: winner=1 turns=8 selects=96
  match 184 seat1: winner=0 turns=39 selects=230
  match 185 seat0: winner=1 turns=8 selects=99
  match 185 seat1: winner=0 turns=11 selects=116
  match 186 seat0: winner=1 turns=18 selects=190
  match 186 seat1: winner=0 turns=13 selects=165
  match 187 seat0: winner=1 turns=12 selects=114
  match 187 seat1: winner=0 turns=15 selects=203
  match 188 seat0: winner=1 turns=4 selects=43
  match 188 seat1: winner=0 turns=15 selects=165
  match 189 seat0: winner=1 turns=4 selects=43
  match 189 seat1: winner=0 turns=13 selects=142
  match 190 seat0: winner=1 turns=4 selects=41
  match 190 seat1: winner=0 turns=13 selects=189
  match 191 seat0: winner=1 turns=17 selects=181
  match 191 seat1: winner=0 turns=19 selects=200
  match 192 seat0: winner=0 turns=19 selects=211
  match 192 seat1: winner=0 turns=25 selects=194
  match 193 seat0: winner=0 turns=15 selects=197
  match 193 seat1: winner=0 turns=13 selects=160
  match 194 seat0: winner=1 turns=16 selects=193
  match 194 seat1: winner=0 turns=13 selects=102
  match 195 seat0: winner=1 turns=14 selects=148
  match 195 seat1: winner=0 turns=9 selects=73
  match 196 seat0: winner=1 turns=12 selects=120
  match 196 seat1: winner=0 turns=12 selects=185
  match 197 seat0: winner=1 turns=14 selects=189
  match 197 seat1: winner=0 turns=9 selects=98
  match 198 seat0: winner=1 turns=6 selects=71
  match 198 seat1: winner=0 turns=13 selects=195
  match 199 seat0: winner=1 turns=6 selects=68
  match 199 seat1: winner=0 turns=11 selects=156

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.075 [0.053, 0.105] W30/D0/L370 over 400 games
  as P0: W/D/L=(18, 0, 182)  as P1: W/D/L=(12, 0, 188)
  elapsed 91.6s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_bcall_grimmsnarl.jsonl
  [health] OK calls=58746 fallbacks=0 net_missing=0 deck=800
