=== ala@alakazam5 vs rule:dragapult@dragapult_ex matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 64 seat0: winner=1 turns=14 selects=167
  match 64 seat1: winner=0 turns=18 selects=227
  match 65 seat0: winner=1 turns=14 selects=170
  match 65 seat1: winner=0 turns=12 selects=176
  match 66 seat0: winner=0 turns=15 selects=192
  match 66 seat1: winner=0 turns=10 selects=164
  match 67 seat0: winner=0 turns=13 selects=161
  match 67 seat1: winner=0 turns=16 selects=184
  match 68 seat0: winner=0 turns=13 selects=131
  match 68 seat1: winner=0 turns=16 selects=192
  match 69 seat0: winner=1 turns=10 selects=160
  match 69 seat1: winner=1 turns=19 selects=229
  match 70 seat0: winner=1 turns=14 selects=181
  match 70 seat1: winner=1 turns=13 selects=111
  match 71 seat0: winner=1 turns=12 selects=186
  match 71 seat1: winner=1 turns=11 selects=128
  match 72 seat0: winner=1 turns=12 selects=142
  match 72 seat1: winner=1 turns=11 selects=144
  match 73 seat0: winner=1 turns=10 selects=148
  match 73 seat1: winner=1 turns=17 selects=186
  match 74 seat0: winner=0 turns=17 selects=220
  match 74 seat1: winner=1 turns=15 selects=95
  match 75 seat0: winner=0 turns=5 selects=53
  match 75 seat1: winner=0 turns=15 selects=169
  match 76 seat0: winner=0 turns=11 selects=153
  match 76 seat1: winner=1 turns=15 selects=158
  match 77 seat0: winner=0 turns=11 selects=122
  match 77 seat1: winner=0 turns=12 selects=138
  match 78 seat0: winner=0 turns=11 selects=178
  match 78 seat1: winner=1 turns=11 selects=143
  match 79 seat0: winner=0 turns=9 selects=131
  match 79 seat1: winner=1 turns=15 selects=193
  match 80 seat0: winner=1 turns=16 selects=207
  match 80 seat1: winner=1 turns=13 selects=206
  match 81 seat0: winner=1 turns=12 selects=157
  match 81 seat1: winner=1 turns=13 selects=127
  match 82 seat0: winner=0 turns=17 selects=183
  match 82 seat1: winner=0 turns=12 selects=167
  match 83 seat0: winner=1 turns=14 selects=192
  match 83 seat1: winner=0 turns=10 selects=159
  match 84 seat0: winner=1 turns=12 selects=171
  match 84 seat1: winner=0 turns=12 selects=164
  match 85 seat0: winner=1 turns=14 selects=182
  match 85 seat1: winner=0 turns=14 selects=200
  match 86 seat0: winner=0 turns=13 selects=86
  match 86 seat1: winner=1 turns=7 selects=81
  match 87 seat0: winner=0 turns=11 selects=118
  match 87 seat1: winner=1 turns=11 selects=161
  match 88 seat0: winner=1 turns=12 selects=183
  match 88 seat1: winner=1 turns=9 selects=143
  match 89 seat0: winner=0 turns=11 selects=150
  match 89 seat1: winner=1 turns=9 selects=118
  match 90 seat0: winner=0 turns=11 selects=159
  match 90 seat1: winner=1 turns=3 selects=33
  match 91 seat0: winner=0 turns=13 selects=167
  match 91 seat1: winner=1 turns=13 selects=137
  match 92 seat0: winner=0 turns=13 selects=152
  match 92 seat1: winner=0 turns=10 selects=164
  match 93 seat0: winner=1 turns=16 selects=223
  match 93 seat1: winner=1 turns=19 selects=200
  match 94 seat0: winner=1 turns=10 selects=147
  match 94 seat1: winner=1 turns=11 selects=138
  match 95 seat0: winner=0 turns=11 selects=148
  match 95 seat1: winner=1 turns=15 selects=211
  match 96 seat0: winner=1 turns=10 selects=141
  match 96 seat1: winner=0 turns=16 selects=208
  match 97 seat0: winner=0 turns=13 selects=178
  match 97 seat1: winner=0 turns=14 selects=206
  match 98 seat0: winner=0 turns=11 selects=149
  match 98 seat1: winner=0 turns=14 selects=192
  match 99 seat0: winner=1 turns=10 selects=138
  match 99 seat1: winner=0 turns=10 selects=139
  match 100 seat0: winner=1 turns=14 selects=201
  match 100 seat1: winner=1 turns=13 selects=166
  match 101 seat0: winner=0 turns=9 selects=138
  match 101 seat1: winner=1 turns=5 selects=49
  match 102 seat0: winner=0 turns=11 selects=143
  match 102 seat1: winner=1 turns=15 selects=199
  match 103 seat0: winner=1 turns=10 selects=161
  match 103 seat1: winner=1 turns=9 selects=62
  match 104 seat0: winner=1 turns=12 selects=216
  match 104 seat1: winner=0 turns=12 selects=192
  match 105 seat0: winner=0 turns=21 selects=195
  match 105 seat1: winner=1 turns=11 selects=129
  match 106 seat0: winner=0 turns=11 selects=133
  match 106 seat1: winner=1 turns=13 selects=160
  match 107 seat0: winner=0 turns=9 selects=131
  match 107 seat1: winner=1 turns=13 selects=153
  match 108 seat0: winner=1 turns=10 selects=160
  match 108 seat1: winner=1 turns=15 selects=177
  match 109 seat0: winner=0 turns=11 selects=158
  match 109 seat1: winner=1 turns=13 selects=180
  match 110 seat0: winner=0 turns=9 selects=72
  match 110 seat1: winner=1 turns=11 selects=140
  match 111 seat0: winner=0 turns=17 selects=192
  match 111 seat1: winner=0 turns=12 selects=163
  match 112 seat0: winner=0 turns=13 selects=189
  match 112 seat1: winner=0 turns=15 selects=175
  match 113 seat0: winner=0 turns=9 selects=114
  match 113 seat1: winner=0 turns=14 selects=204
  match 114 seat0: winner=0 turns=9 selects=83
  match 114 seat1: winner=1 turns=9 selects=142
  match 115 seat0: winner=0 turns=11 selects=138
  match 115 seat1: winner=1 turns=11 selects=160
  match 116 seat0: winner=1 turns=14 selects=186
  match 116 seat1: winner=0 turns=15 selects=126
  match 117 seat0: winner=0 turns=11 selects=159
  match 117 seat1: winner=0 turns=14 selects=208
  match 118 seat0: winner=1 turns=16 selects=204
  match 118 seat1: winner=1 turns=11 selects=124
  match 119 seat0: winner=1 turns=12 selects=183
  match 119 seat1: winner=1 turns=5 selects=46
  match 120 seat0: winner=1 turns=4 selects=35
  match 120 seat1: winner=1 turns=11 selects=168
  match 121 seat0: winner=1 turns=12 selects=165
  match 121 seat1: winner=1 turns=15 selects=178
  match 122 seat0: winner=0 turns=13 selects=103
  match 122 seat1: winner=1 turns=13 selects=139
  match 123 seat0: winner=1 turns=12 selects=198
  match 123 seat1: winner=1 turns=9 selects=148
  match 124 seat0: winner=0 turns=11 selects=174
  match 124 seat1: winner=1 turns=15 selects=183
  match 125 seat0: winner=1 turns=10 selects=153
  match 125 seat1: winner=0 turns=12 selects=181
  match 126 seat0: winner=1 turns=12 selects=158
  match 126 seat1: winner=1 turns=13 selects=174
  match 127 seat0: winner=0 turns=21 selects=233
  match 127 seat1: winner=1 turns=13 selects=81
  match 128 seat0: winner=1 turns=12 selects=140
  match 128 seat1: winner=0 turns=12 selects=171
  match 129 seat0: winner=0 turns=17 selects=164
  match 129 seat1: winner=1 turns=11 selects=143
  match 130 seat0: winner=0 turns=9 selects=120
  match 130 seat1: winner=0 turns=15 selects=174
  match 131 seat0: winner=0 turns=13 selects=156
  match 131 seat1: winner=0 turns=12 selects=191
  match 132 seat0: winner=0 turns=13 selects=187
  match 132 seat1: winner=1 turns=15 selects=87
  match 133 seat0: winner=0 turns=17 selects=175
  match 133 seat1: winner=0 turns=13 selects=134
  match 134 seat0: winner=0 turns=11 selects=161
  match 134 seat1: winner=0 turns=13 selects=156
  match 135 seat0: winner=0 turns=11 selects=116
  match 135 seat1: winner=1 turns=15 selects=175
  match 136 seat0: winner=0 turns=9 selects=127
  match 136 seat1: winner=1 turns=11 selects=170
  match 137 seat0: winner=1 turns=12 selects=198
  match 137 seat1: winner=1 turns=15 selects=209
  match 138 seat0: winner=1 turns=11 selects=152
  match 138 seat1: winner=0 turns=12 selects=191
  match 139 seat0: winner=0 turns=13 selects=89
  match 139 seat1: winner=0 turns=14 selects=131
  match 140 seat0: winner=1 turns=18 selects=239
