=== ala@alakazam5 vs rule:crustle@crustle_v1 matches=200 ===
  match 64 seat0: winner=0 turns=7 selects=56
  match 64 seat1: winner=1 turns=13 selects=80
  match 65 seat0: winner=0 turns=11 selects=90
  match 65 seat1: winner=1 turns=3 selects=30
  match 66 seat0: winner=0 turns=5 selects=50
  match 66 seat1: winner=1 turns=13 selects=91
  match 67 seat0: winner=0 turns=5 selects=46
  match 67 seat1: winner=1 turns=19 selects=101
  match 68 seat0: winner=0 turns=3 selects=31
  match 68 seat1: winner=1 turns=5 selects=42
  match 69 seat0: winner=0 turns=3 selects=42
  match 69 seat1: winner=1 turns=3 selects=29
  match 70 seat0: winner=0 turns=21 selects=124
  match 70 seat1: winner=1 turns=3 selects=31
  match 71 seat0: winner=0 turns=9 selects=70
  match 71 seat1: winner=1 turns=13 selects=73
  match 72 seat0: winner=0 turns=5 selects=37
  match 72 seat1: winner=1 turns=15 selects=111
  match 73 seat0: winner=0 turns=5 selects=46
  match 73 seat1: winner=1 turns=13 selects=73
  match 74 seat0: winner=0 turns=3 selects=34
  match 74 seat1: winner=1 turns=9 selects=67
  match 75 seat0: winner=0 turns=9 selects=68
  match 75 seat1: winner=1 turns=3 selects=29
  match 76 seat0: winner=0 turns=3 selects=24
  match 76 seat1: winner=1 turns=9 selects=67
  match 77 seat0: winner=0 turns=3 selects=34
  match 77 seat1: winner=1 turns=13 selects=77
  match 78 seat0: winner=0 turns=5 selects=37
  match 78 seat1: winner=1 turns=3 selects=33
  match 79 seat0: winner=0 turns=11 selects=64
  match 79 seat1: winner=1 turns=9 selects=79
  match 80 seat0: winner=0 turns=11 selects=77
  match 80 seat1: winner=1 turns=19 selects=100
  match 81 seat0: winner=0 turns=9 selects=58
  match 81 seat1: winner=0 turns=29 selects=149
  match 82 seat0: winner=0 turns=9 selects=70
  match 82 seat1: winner=1 turns=13 selects=94
  match 83 seat0: winner=0 turns=13 selects=85
  match 83 seat1: winner=1 turns=11 selects=94
  match 84 seat0: winner=0 turns=9 selects=58
  match 84 seat1: winner=1 turns=3 selects=34
  match 85 seat0: winner=0 turns=11 selects=76
  match 85 seat1: winner=1 turns=9 selects=67
  match 86 seat0: winner=0 turns=9 selects=61
  match 86 seat1: winner=1 turns=5 selects=59
  match 87 seat0: winner=0 turns=3 selects=29
  match 87 seat1: winner=0 turns=27 selects=148
  match 88 seat0: winner=0 turns=11 selects=78
  match 88 seat1: winner=1 turns=19 selects=85
  match 89 seat0: winner=0 turns=11 selects=68
  match 89 seat1: winner=1 turns=13 selects=85
  match 90 seat0: winner=1 turns=7 selects=29
  match 90 seat1: winner=1 turns=3 selects=31
  match 91 seat0: winner=0 turns=3 selects=27
  match 91 seat1: winner=1 turns=17 selects=85
  match 92 seat0: winner=0 turns=9 selects=59
  match 92 seat1: winner=1 turns=13 selects=86
  match 93 seat0: winner=0 turns=13 selects=79
  match 93 seat1: winner=1 turns=11 selects=82
  match 94 seat0: winner=0 turns=9 selects=57
  match 94 seat1: winner=1 turns=3 selects=36
  match 95 seat0: winner=0 turns=5 selects=37
  match 95 seat1: winner=0 turns=17 selects=114
  match 96 seat0: winner=0 turns=3 selects=32
  match 96 seat1: winner=1 turns=3 selects=30
  match 97 seat0: winner=0 turns=11 selects=67
  match 97 seat1: winner=0 turns=15 selects=115
  match 98 seat0: winner=0 turns=5 selects=37
  match 98 seat1: winner=1 turns=3 selects=34
