=== arch@archaludon_ex vs rule:v10,noS@lucario_v10 matches=250 ===
  match 63 seat1: winner=1 turns=14 selects=147
  match 64 seat0: winner=1 turns=10 selects=114
  match 64 seat1: winner=1 turns=12 selects=124
  match 65 seat0: winner=1 turns=12 selects=117
  match 65 seat1: winner=0 turns=7 selects=84
  match 66 seat0: winner=1 turns=14 selects=139
  match 66 seat1: winner=0 turns=13 selects=113
  match 67 seat0: winner=1 turns=16 selects=135
  match 67 seat1: winner=1 turns=16 selects=155
  match 68 seat0: winner=1 turns=14 selects=132
  match 68 seat1: winner=0 turns=7 selects=86
  match 69 seat0: winner=0 turns=19 selects=136
  match 69 seat1: winner=0 turns=15 selects=142
  match 70 seat0: winner=1 turns=8 selects=96
  match 70 seat1: winner=0 turns=3 selects=22
  match 71 seat0: winner=0 turns=7 selects=55
  match 71 seat1: winner=0 turns=19 selects=141
  match 72 seat0: winner=0 turns=13 selects=133
  match 72 seat1: winner=1 turns=12 selects=72
  match 73 seat0: winner=1 turns=12 selects=130
  match 73 seat1: winner=0 turns=22 selects=158
  match 74 seat0: winner=0 turns=15 selects=163
  match 74 seat1: winner=0 turns=13 selects=144
  match 75 seat0: winner=1 turns=16 selects=144
  match 75 seat1: winner=1 turns=12 selects=127
  match 76 seat0: winner=1 turns=14 selects=130
  match 76 seat1: winner=0 turns=17 selects=163
  match 77 seat0: winner=0 turns=13 selects=136
  match 77 seat1: winner=0 turns=11 selects=118
  match 78 seat0: winner=1 turns=10 selects=107
  match 78 seat1: winner=1 turns=10 selects=120
  match 79 seat0: winner=1 turns=4 selects=40
  match 79 seat1: winner=0 turns=15 selects=146
  match 80 seat0: winner=1 turns=8 selects=87
  match 80 seat1: winner=0 turns=15 selects=137
  match 81 seat0: winner=1 turns=16 selects=142
  match 81 seat1: winner=1 turns=16 selects=133
  match 82 seat0: winner=1 turns=21 selects=116
  match 82 seat1: winner=1 turns=12 selects=114
  match 83 seat0: winner=1 turns=6 selects=72
  match 83 seat1: winner=0 turns=16 selects=153
  match 84 seat0: winner=0 turns=15 selects=128
  match 84 seat1: winner=0 turns=21 selects=135
  match 85 seat0: winner=0 turns=17 selects=148
  match 85 seat1: winner=0 turns=15 selects=135
  match 86 seat0: winner=1 turns=12 selects=150
  match 86 seat1: winner=1 turns=14 selects=124
  match 87 seat0: winner=0 turns=13 selects=82
  match 87 seat1: winner=0 turns=5 selects=53
  match 88 seat0: winner=0 turns=13 selects=138
  match 88 seat1: winner=0 turns=9 selects=87
  match 89 seat0: winner=0 turns=17 selects=156
  match 89 seat1: winner=1 turns=14 selects=115
  match 90 seat0: winner=0 turns=13 selects=142
  match 90 seat1: winner=0 turns=15 selects=146
  match 91 seat0: winner=1 turns=12 selects=124
  match 91 seat1: winner=1 turns=14 selects=131
  match 92 seat0: winner=1 turns=12 selects=124
  match 92 seat1: winner=1 turns=20 selects=161
  match 93 seat0: winner=0 turns=15 selects=153
  match 93 seat1: winner=1 turns=10 selects=106
  match 94 seat0: winner=0 turns=13 selects=101
  match 94 seat1: winner=0 turns=11 selects=89
  match 95 seat0: winner=0 turns=17 selects=156
  match 95 seat1: winner=0 turns=7 selects=55
  match 96 seat0: winner=1 turns=14 selects=120
  match 96 seat1: winner=1 turns=14 selects=150
  match 97 seat0: winner=1 turns=14 selects=134
  match 97 seat1: winner=0 turns=9 selects=93
  match 98 seat0: winner=1 turns=22 selects=171
  match 98 seat1: winner=0 turns=7 selects=86
  match 99 seat0: winner=1 turns=20 selects=174
  match 99 seat1: winner=0 turns=9 selects=92
  match 100 seat0: winner=1 turns=10 selects=84
  match 100 seat1: winner=0 turns=11 selects=124
  match 101 seat0: winner=0 turns=13 selects=145
  match 101 seat1: winner=0 turns=16 selects=132
  match 102 seat0: winner=1 turns=14 selects=139
  match 102 seat1: winner=0 turns=15 selects=127
  match 103 seat0: winner=0 turns=13 selects=144
  match 103 seat1: winner=0 turns=9 selects=105
  match 104 seat0: winner=0 turns=15 selects=96
  match 104 seat1: winner=0 turns=5 selects=63
  match 105 seat0: winner=0 turns=11 selects=135
  match 105 seat1: winner=0 turns=15 selects=155
  match 106 seat0: winner=1 turns=10 selects=93
  match 106 seat1: winner=0 turns=5 selects=57
  match 107 seat0: winner=1 turns=20 selects=154
  match 107 seat1: winner=0 turns=17 selects=159
  match 108 seat0: winner=1 turns=4 selects=40
  match 108 seat1: winner=0 turns=13 selects=150
  match 109 seat0: winner=1 turns=10 selects=110
  match 109 seat1: winner=1 turns=16 selects=160
  match 110 seat0: winner=0 turns=11 selects=74
  match 110 seat1: winner=0 turns=11 selects=105
  match 111 seat0: winner=1 turns=20 selects=173
  match 111 seat1: winner=0 turns=3 selects=36
  match 112 seat0: winner=0 turns=21 selects=169
  match 112 seat1: winner=0 turns=15 selects=156
  match 113 seat0: winner=1 turns=6 selects=51
  match 113 seat1: winner=0 turns=19 selects=145
  match 114 seat0: winner=1 turns=14 selects=103
  match 114 seat1: winner=0 turns=11 selects=138
  match 115 seat0: winner=1 turns=16 selects=151
  match 115 seat1: winner=0 turns=5 selects=65
  match 116 seat0: winner=1 turns=14 selects=133
  match 116 seat1: winner=0 turns=9 selects=119
  match 117 seat0: winner=1 turns=14 selects=122
  match 117 seat1: winner=0 turns=9 selects=105
  match 118 seat0: winner=1 turns=16 selects=133
  match 118 seat1: winner=0 turns=3 selects=36
  match 119 seat0: winner=1 turns=2 selects=30
  match 119 seat1: winner=1 turns=20 selects=172
  match 120 seat0: winner=0 turns=15 selects=137
  match 120 seat1: winner=0 turns=7 selects=95
  match 121 seat0: winner=0 turns=11 selects=128
  match 121 seat1: winner=0 turns=11 selects=85
  match 122 seat0: winner=1 turns=8 selects=81
  match 122 seat1: winner=0 turns=9 selects=84
  match 123 seat0: winner=0 turns=13 selects=135
  match 123 seat1: winner=1 turns=14 selects=132
  match 124 seat0: winner=1 turns=15 selects=155
  match 124 seat1: winner=0 turns=5 selects=45
  match 125 seat0: winner=0 turns=19 selects=86
  match 125 seat1: winner=0 turns=7 selects=56
  match 126 seat0: winner=1 turns=10 selects=123
  match 126 seat1: winner=0 turns=5 selects=46
  match 127 seat0: winner=0 turns=17 selects=163
  match 127 seat1: winner=1 turns=14 selects=136
  match 128 seat0: winner=0 turns=11 selects=125
  match 128 seat1: winner=0 turns=9 selects=76
  match 129 seat0: winner=1 turns=14 selects=157
  match 129 seat1: winner=1 turns=10 selects=111
  match 130 seat0: winner=0 turns=15 selects=144
  match 130 seat1: winner=0 turns=7 selects=88
  match 131 seat0: winner=1 turns=6 selects=66
  match 131 seat1: winner=0 turns=17 selects=129
  match 132 seat0: winner=1 turns=18 selects=148
  match 132 seat1: winner=0 turns=7 selects=93
  match 133 seat0: winner=1 turns=16 selects=127
  match 133 seat1: winner=1 turns=12 selects=143
  match 134 seat0: winner=1 turns=12 selects=78
  match 134 seat1: winner=0 turns=9 selects=92
  match 135 seat0: winner=0 turns=13 selects=123
  match 135 seat1: winner=0 turns=14 selects=133
  match 136 seat0: winner=1 turns=14 selects=137
  match 136 seat1: winner=1 turns=12 selects=133
  match 137 seat0: winner=1 turns=10 selects=132
  match 137 seat1: winner=1 turns=14 selects=101
  match 138 seat0: winner=0 turns=21 selects=153
  match 138 seat1: winner=0 turns=13 selects=131
  match 139 seat0: winner=1 turns=12 selects=118
  match 139 seat1: winner=0 turns=15 selects=134
  match 140 seat0: winner=1 turns=17 selects=143
  match 140 seat1: winner=1 turns=14 selects=166
  match 141 seat0: winner=1 turns=8 selects=91
  match 141 seat1: winner=0 turns=21 selects=185
  match 142 seat0: winner=1 turns=8 selects=91
  match 142 seat1: winner=1 turns=12 selects=150
  match 143 seat0: winner=1 turns=17 selects=115
  match 143 seat1: winner=0 turns=7 selects=91
  match 144 seat0: winner=1 turns=16 selects=150
  match 144 seat1: winner=1 turns=16 selects=154
  match 145 seat0: winner=0 turns=13 selects=118
  match 145 seat1: winner=0 turns=13 selects=119
  match 146 seat0: winner=1 turns=8 selects=98
  match 146 seat1: winner=0 turns=19 selects=170
  match 147 seat0: winner=1 turns=14 selects=120
  match 147 seat1: winner=0 turns=13 selects=93
  match 148 seat0: winner=1 turns=14 selects=149
  match 148 seat1: winner=0 turns=9 selects=120
  match 149 seat0: winner=1 turns=14 selects=127
  match 149 seat1: winner=1 turns=16 selects=155
  match 150 seat0: winner=1 turns=12 selects=141
  match 150 seat1: winner=1 turns=14 selects=122
  match 151 seat0: winner=0 turns=13 selects=138
  match 151 seat1: winner=0 turns=13 selects=144
  match 152 seat0: winner=0 turns=15 selects=138
  match 152 seat1: winner=1 turns=16 selects=137
  match 153 seat0: winner=0 turns=13 selects=138
  match 153 seat1: winner=0 turns=3 selects=39
  match 154 seat0: winner=1 turns=16 selects=150
  match 154 seat1: winner=1 turns=12 selects=135
  match 155 seat0: winner=0 turns=11 selects=127
  match 155 seat1: winner=1 turns=12 selects=122
  match 156 seat0: winner=1 turns=10 selects=108
  match 156 seat1: winner=0 turns=17 selects=154
  match 157 seat0: winner=0 turns=11 selects=113
  match 157 seat1: winner=0 turns=13 selects=111
  match 158 seat0: winner=1 turns=12 selects=103
  match 158 seat1: winner=0 turns=13 selects=121
  match 159 seat0: winner=1 turns=10 selects=104
  match 159 seat1: winner=0 turns=11 selects=113
  match 160 seat0: winner=1 turns=14 selects=125
  match 160 seat1: winner=0 turns=7 selects=85
  match 161 seat0: winner=1 turns=2 selects=28
  match 161 seat1: winner=1 turns=14 selects=138
  match 162 seat0: winner=1 turns=14 selects=155
  match 162 seat1: winner=0 turns=19 selects=153
  match 163 seat0: winner=1 turns=12 selects=138
  match 163 seat1: winner=1 turns=16 selects=92
  match 164 seat0: winner=1 turns=21 selects=141
  match 164 seat1: winner=1 turns=16 selects=131
  match 165 seat0: winner=1 turns=12 selects=128
  match 165 seat1: winner=0 turns=19 selects=149
  match 166 seat0: winner=1 turns=14 selects=151
  match 166 seat1: winner=1 turns=12 selects=109
  match 167 seat0: winner=1 turns=10 selects=106
  match 167 seat1: winner=0 turns=11 selects=123
  match 168 seat0: winner=0 turns=13 selects=102
  match 168 seat1: winner=0 turns=9 selects=100
  match 169 seat0: winner=1 turns=10 selects=122
  match 169 seat1: winner=1 turns=22 selects=145
  match 170 seat0: winner=1 turns=18 selects=169
  match 170 seat1: winner=0 turns=13 selects=132
  match 171 seat0: winner=1 turns=8 selects=97
  match 171 seat1: winner=0 turns=15 selects=173
  match 172 seat0: winner=0 turns=15 selects=141
  match 172 seat1: winner=1 turns=14 selects=128
  match 173 seat0: winner=1 turns=14 selects=140
  match 173 seat1: winner=0 turns=9 selects=89
  match 174 seat0: winner=0 turns=13 selects=114
  match 174 seat1: winner=0 turns=9 selects=95
  match 175 seat0: winner=0 turns=13 selects=138
  match 175 seat1: winner=0 turns=11 selects=93
  match 176 seat0: winner=0 turns=13 selects=154
  match 176 seat1: winner=1 turns=10 selects=129
  match 177 seat0: winner=0 turns=15 selects=139
  match 177 seat1: winner=1 turns=14 selects=137
  match 178 seat0: winner=1 turns=14 selects=123
  match 178 seat1: winner=1 turns=12 selects=92
  match 179 seat0: winner=0 turns=15 selects=147
  match 179 seat1: winner=1 turns=16 selects=146
  match 180 seat0: winner=1 turns=22 selects=179
  match 180 seat1: winner=0 turns=11 selects=114
  match 181 seat0: winner=1 turns=16 selects=154
  match 181 seat1: winner=0 turns=7 selects=93
  match 182 seat0: winner=0 turns=15 selects=136
  match 182 seat1: winner=0 turns=7 selects=74
  match 183 seat0: winner=1 turns=16 selects=120
  match 183 seat1: winner=0 turns=7 selects=39
  match 184 seat0: winner=0 turns=13 selects=70
  match 184 seat1: winner=0 turns=11 selects=112
  match 185 seat0: winner=0 turns=11 selects=131
  match 185 seat1: winner=0 turns=9 selects=81
  match 186 seat0: winner=0 turns=13 selects=123
  match 186 seat1: winner=0 turns=13 selects=136
  match 187 seat0: winner=1 turns=13 selects=137
  match 187 seat1: winner=0 turns=13 selects=126
  match 188 seat0: winner=1 turns=8 selects=82
  match 188 seat1: winner=0 turns=15 selects=139
  match 189 seat0: winner=1 turns=25 selects=169
  match 189 seat1: winner=0 turns=9 selects=105
  match 190 seat0: winner=1 turns=10 selects=95
  match 190 seat1: winner=0 turns=11 selects=131
  match 191 seat0: winner=1 turns=15 selects=142
  match 191 seat1: winner=1 turns=14 selects=146
  match 192 seat0: winner=1 turns=10 selects=97
  match 192 seat1: winner=0 turns=5 selects=38
  match 193 seat0: winner=1 turns=14 selects=169
  match 193 seat1: winner=1 turns=20 selects=162
  match 194 seat0: winner=1 turns=10 selects=92
  match 194 seat1: winner=0 turns=3 selects=35
  match 195 seat0: winner=1 turns=14 selects=120
  match 195 seat1: winner=1 turns=14 selects=124
  match 196 seat0: winner=1 turns=12 selects=95
  match 196 seat1: winner=0 turns=3 selects=36
  match 197 seat0: winner=1 turns=10 selects=102
  match 197 seat1: winner=1 turns=12 selects=134
  match 198 seat0: winner=0 turns=21 selects=137
  match 198 seat1: winner=0 turns=13 selects=115
  match 199 seat0: winner=0 turns=11 selects=122
  match 199 seat1: winner=0 turns=11 selects=114
  match 200 seat0: winner=1 turns=15 selects=136
  match 200 seat1: winner=1 turns=14 selects=136
  match 201 seat0: winner=1 turns=16 selects=120
  match 201 seat1: winner=0 turns=13 selects=114
  match 202 seat0: winner=1 turns=18 selects=166
  match 202 seat1: winner=1 turns=20 selects=171
  match 203 seat0: winner=1 turns=16 selects=154
  match 203 seat1: winner=0 turns=19 selects=184
  match 204 seat0: winner=0 turns=13 selects=128
  match 204 seat1: winner=0 turns=17 selects=157
  match 205 seat0: winner=1 turns=10 selects=106
  match 205 seat1: winner=0 turns=15 selects=146
  match 206 seat0: winner=1 turns=12 selects=119
  match 206 seat1: winner=0 turns=15 selects=124
  match 207 seat0: winner=1 turns=23 selects=161
  match 207 seat1: winner=1 turns=29 selects=180
  match 208 seat0: winner=1 turns=16 selects=171
  match 208 seat1: winner=0 turns=11 selects=123
  match 209 seat0: winner=0 turns=13 selects=145
  match 209 seat1: winner=0 turns=11 selects=98
  match 210 seat0: winner=1 turns=10 selects=97
  match 210 seat1: winner=1 turns=14 selects=122
  match 211 seat0: winner=1 turns=22 selects=171
  match 211 seat1: winner=0 turns=5 selects=65
  match 212 seat0: winner=1 turns=17 selects=155
  match 212 seat1: winner=0 turns=19 selects=168
  match 213 seat0: winner=1 turns=14 selects=133
  match 213 seat1: winner=0 turns=3 selects=40
  match 214 seat0: winner=1 turns=16 selects=160
  match 214 seat1: winner=1 turns=14 selects=143
  match 215 seat0: winner=1 turns=4 selects=45
  match 215 seat1: winner=0 turns=13 selects=156
  match 216 seat0: winner=0 turns=13 selects=113
  match 216 seat1: winner=0 turns=13 selects=153
  match 217 seat0: winner=1 turns=4 selects=51
  match 217 seat1: winner=1 turns=16 selects=140
  match 218 seat0: winner=0 turns=11 selects=129
  match 218 seat1: winner=1 turns=10 selects=129
  match 219 seat0: winner=1 turns=12 selects=130
  match 219 seat1: winner=0 turns=5 selects=61
  match 220 seat0: winner=1 turns=14 selects=136
  match 220 seat1: winner=0 turns=17 selects=148
  match 221 seat0: winner=1 turns=14 selects=150
  match 221 seat1: winner=0 turns=15 selects=144
