=== luc@lucario_v10 vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea91a-1c2569; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 19 seat1: winner=1 turns=12 selects=135
  match 20 seat0: winner=1 turns=10 selects=148
  match 20 seat1: winner=0 turns=11 selects=137
  match 21 seat0: winner=0 turns=15 selects=100
  match 21 seat1: winner=1 turns=12 selects=146
  match 22 seat0: winner=0 turns=13 selects=157
  match 22 seat1: winner=0 turns=11 selects=131
  match 23 seat0: winner=0 turns=13 selects=158
  match 23 seat1: winner=1 turns=16 selects=160
  match 24 seat0: winner=1 turns=12 selects=151
  match 24 seat1: winner=1 turns=14 selects=149
  match 25 seat0: winner=0 turns=11 selects=129
  match 25 seat1: winner=0 turns=11 selects=119
  match 26 seat0: winner=1 turns=12 selects=144
  match 26 seat1: winner=1 turns=2 selects=17
  match 27 seat0: winner=0 turns=6 selects=19
  match 27 seat1: winner=1 turns=14 selects=133
  match 28 seat0: winner=0 turns=13 selects=152
  match 28 seat1: winner=1 turns=18 selects=147
  match 29 seat0: winner=1 turns=8 selects=125
  match 29 seat1: winner=0 turns=7 selects=109
  match 30 seat0: winner=1 turns=10 selects=115
  match 30 seat1: winner=0 turns=17 selects=176
  match 31 seat0: winner=1 turns=12 selects=140
  match 31 seat1: winner=1 turns=12 selects=139
  match 32 seat0: winner=0 turns=11 selects=146
  match 32 seat1: winner=0 turns=14 selects=156
  match 33 seat0: winner=1 turns=10 selects=138
  match 33 seat1: winner=1 turns=14 selects=119
  match 34 seat0: winner=1 turns=12 selects=155
  match 34 seat1: winner=1 turns=14 selects=145
  match 35 seat0: winner=1 turns=10 selects=132
  match 35 seat1: winner=1 turns=12 selects=138
  match 36 seat0: winner=1 turns=8 selects=123
  match 36 seat1: winner=0 turns=9 selects=132
  match 37 seat0: winner=1 turns=13 selects=163
  match 37 seat1: winner=0 turns=11 selects=90
  match 38 seat0: winner=1 turns=12 selects=136
  match 38 seat1: winner=1 turns=13 selects=152
  match 39 seat0: winner=0 turns=11 selects=72
  match 39 seat1: winner=1 turns=12 selects=162
  match 40 seat0: winner=1 turns=8 selects=123
  match 40 seat1: winner=0 turns=9 selects=126
  match 41 seat0: winner=0 turns=3 selects=27
  match 41 seat1: winner=0 turns=15 selects=136
  match 42 seat0: winner=1 turns=10 selects=125
  match 42 seat1: winner=0 turns=9 selects=137
  match 43 seat0: winner=1 turns=8 selects=111
  match 43 seat1: winner=0 turns=9 selects=130
  match 44 seat0: winner=1 turns=10 selects=149
  match 44 seat1: winner=0 turns=11 selects=140
  match 45 seat0: winner=1 turns=10 selects=120
  match 45 seat1: winner=1 turns=14 selects=136
  match 46 seat0: winner=0 turns=11 selects=118
  match 46 seat1: winner=0 turns=11 selects=155
  match 47 seat0: winner=1 turns=10 selects=136
  match 47 seat1: winner=1 turns=14 selects=163
  match 48 seat0: winner=1 turns=12 selects=154
  match 48 seat1: winner=0 turns=7 selects=92
  match 49 seat0: winner=1 turns=10 selects=156
  match 49 seat1: winner=0 turns=9 selects=120
  match 50 seat0: winner=0 turns=11 selects=128
  match 50 seat1: winner=0 turns=11 selects=148
  match 51 seat0: winner=0 turns=3 selects=29
  match 51 seat1: winner=1 turns=2 selects=23
  match 52 seat0: winner=1 turns=12 selects=149
  match 52 seat1: winner=0 turns=11 selects=129
  match 53 seat0: winner=0 turns=13 selects=141
  match 53 seat1: winner=1 turns=4 selects=33
  match 54 seat0: winner=1 turns=17 selects=177
  match 54 seat1: winner=0 turns=11 selects=144
  match 55 seat0: winner=1 turns=14 selects=146
  match 55 seat1: winner=1 turns=10 selects=132
  match 56 seat0: winner=0 turns=11 selects=141
  match 56 seat1: winner=0 turns=11 selects=116
  match 57 seat0: winner=0 turns=9 selects=79
  match 57 seat1: winner=1 turns=2 selects=22
  match 58 seat0: winner=0 turns=13 selects=101
  match 58 seat1: winner=0 turns=16 selects=173
  match 59 seat0: winner=0 turns=11 selects=123
  match 59 seat1: winner=0 turns=11 selects=103
  match 60 seat0: winner=1 turns=12 selects=162
  match 60 seat1: winner=0 turns=9 selects=127
  match 61 seat0: winner=0 turns=13 selects=132
  match 61 seat1: winner=0 turns=11 selects=156
  match 62 seat0: winner=1 turns=8 selects=104
  match 62 seat1: winner=1 turns=14 selects=133
  match 63 seat0: winner=0 turns=14 selects=134
  match 63 seat1: winner=1 turns=12 selects=117
  match 64 seat0: winner=0 turns=13 selects=121
  match 64 seat1: winner=0 turns=11 selects=102
  match 65 seat0: winner=1 turns=10 selects=152
  match 65 seat1: winner=0 turns=11 selects=140
  match 66 seat0: winner=1 turns=8 selects=121
  match 66 seat1: winner=1 turns=4 selects=33
  match 67 seat0: winner=1 turns=12 selects=104
  match 67 seat1: winner=0 turns=11 selects=146
  match 68 seat0: winner=0 turns=12 selects=139
  match 68 seat1: winner=0 turns=13 selects=144
  match 69 seat0: winner=1 turns=12 selects=161
  match 69 seat1: winner=0 turns=11 selects=109
  match 70 seat0: winner=1 turns=10 selects=131
  match 70 seat1: winner=1 turns=11 selects=141
  match 71 seat0: winner=1 turns=10 selects=144
  match 71 seat1: winner=0 turns=15 selects=172
  match 72 seat0: winner=1 turns=8 selects=122
  match 72 seat1: winner=0 turns=9 selects=130
  match 73 seat0: winner=0 turns=15 selects=144
  match 73 seat1: winner=0 turns=14 selects=136
  match 74 seat0: winner=0 turns=6 selects=44
  match 74 seat1: winner=1 turns=14 selects=135
  match 75 seat0: winner=0 turns=9 selects=64
  match 75 seat1: winner=0 turns=11 selects=138
  match 76 seat0: winner=1 turns=12 selects=146
  match 76 seat1: winner=0 turns=7 selects=121
  match 77 seat0: winner=0 turns=12 selects=79
  match 77 seat1: winner=0 turns=13 selects=169
  match 78 seat0: winner=1 turns=10 selects=141
  match 78 seat1: winner=0 turns=18 selects=148
  match 79 seat0: winner=0 turns=7 selects=49
  match 79 seat1: winner=0 turns=13 selects=148
  match 80 seat0: winner=1 turns=10 selects=113
  match 80 seat1: winner=0 turns=11 selects=148
  match 81 seat0: winner=0 turns=11 selects=143
  match 81 seat1: winner=0 turns=9 selects=132
  match 82 seat0: winner=1 turns=12 selects=116
  match 82 seat1: winner=1 turns=10 selects=123
  match 83 seat0: winner=0 turns=13 selects=149
  match 83 seat1: winner=0 turns=13 selects=118
  match 84 seat0: winner=0 turns=15 selects=128
  match 84 seat1: winner=1 turns=12 selects=129
  match 85 seat0: winner=1 turns=10 selects=109
  match 85 seat1: winner=0 turns=13 selects=155
  match 86 seat0: winner=0 turns=6 selects=55
  match 86 seat1: winner=1 turns=12 selects=130
  match 87 seat0: winner=1 turns=15 selects=154
  match 87 seat1: winner=1 turns=14 selects=156
  match 88 seat0: winner=0 turns=13 selects=119
  match 88 seat1: winner=1 turns=12 selects=146
  match 89 seat0: winner=0 turns=17 selects=159
  match 89 seat1: winner=0 turns=11 selects=99
  match 90 seat0: winner=0 turns=13 selects=136
  match 90 seat1: winner=0 turns=9 selects=132
  match 91 seat0: winner=2 turns=11 selects=142
  match 91 seat1: winner=0 turns=9 selects=112
  match 92 seat0: winner=1 turns=12 selects=154
  match 92 seat1: winner=1 turns=14 selects=122
  match 93 seat0: winner=0 turns=3 selects=24
  match 93 seat1: winner=0 turns=13 selects=107
  match 94 seat0: winner=0 turns=12 selects=87
  match 94 seat1: winner=0 turns=15 selects=123
  match 95 seat0: winner=1 turns=10 selects=90
  match 95 seat1: winner=0 turns=11 selects=141
  match 96 seat0: winner=1 turns=14 selects=168
  match 96 seat1: winner=0 turns=11 selects=109
  match 97 seat0: winner=0 turns=13 selects=130
  match 97 seat1: winner=0 turns=13 selects=130
  match 98 seat0: winner=1 turns=12 selects=123
  match 98 seat1: winner=1 turns=14 selects=122
  match 99 seat0: winner=0 turns=18 selects=149
  match 99 seat1: winner=0 turns=14 selects=141
  match 100 seat0: winner=1 turns=8 selects=125
  match 100 seat1: winner=0 turns=11 selects=141
  match 101 seat0: winner=1 turns=10 selects=116
  match 101 seat1: winner=0 turns=15 selects=171
  match 102 seat0: winner=1 turns=16 selects=93
  match 102 seat1: winner=1 turns=10 selects=140
  match 103 seat0: winner=1 turns=10 selects=132
  match 103 seat1: winner=0 turns=9 selects=127
  match 104 seat0: winner=0 turns=13 selects=156
  match 104 seat1: winner=1 turns=12 selects=137
  match 105 seat0: winner=1 turns=15 selects=163
  match 105 seat1: winner=0 turns=13 selects=142
  match 106 seat0: winner=0 turns=15 selects=159
  match 106 seat1: winner=1 turns=12 selects=150
  match 107 seat0: winner=1 turns=12 selects=156
  match 107 seat1: winner=0 turns=9 selects=137
  match 108 seat0: winner=0 turns=15 selects=161
  match 108 seat1: winner=1 turns=12 selects=120
  match 109 seat0: winner=1 turns=8 selects=111
  match 109 seat1: winner=1 turns=12 selects=143
  match 110 seat0: winner=0 turns=7 selects=43
  match 110 seat1: winner=1 turns=12 selects=120
  match 111 seat0: winner=0 turns=13 selects=134
  match 111 seat1: winner=1 turns=16 selects=157
  match 112 seat0: winner=1 turns=12 selects=126
