
net out/policy_b1_v3.npz vs artifacts/pds_grimm_ctrl_r on ALL rows
22768 single-choice rows, 22768 with a rated demonstrator (100.0%), 266 games

demonstrator rating       rows  games    top1          95% CI  random    miss
0-900                     1288     17   66.7%  [0.641, 0.692]   23.6%   33.3%
900-1000                  1879     24   75.0%  [0.730, 0.769]   25.2%   25.0%
1000-1050                 2740     33   75.1%  [0.734, 0.767]   25.3%   24.9%
1050-1100                 8915    105   76.1%  [0.752, 0.770]   25.0%   23.9%
1100-1150                 7946     87   70.9%  [0.699, 0.719]   25.1%   29.1%

(exposure read from out/logs/pds_v3r_seen.json: 66 trained-on demonstrators)

agreement vs how much of that demonstrator the net TRAINED on:
train rows seen           rows  teams  rating    top1
0 (unseen player)        22768     87  1063.4   73.6%

per demonstrator (>= 500 rows):
  rating    rows  games    seen    top1  demonstrator
      55088141    907.6      66      1   81.8%  [0.709, 0.893]
      55090635   1127.6     675      7   71.1%  [0.676, 0.744]
      55090777   1084.2     425      5   78.8%  [0.747, 0.824]
      55092271   1135.7      86      1   69.8%  [0.594, 0.785]
      55093246   1037.4     108      2   64.8%  [0.554, 0.732]
      55093951   1061.5     144      1   66.0%  [0.579, 0.732]
      55094109   1116.4     422      5   64.7%  [0.600, 0.691]
      55094113   1116.4     176      2   63.1%  [0.557, 0.698]
      55095481   1066.7      30      1   80.0%  [0.627, 0.905]
      55095502   1135.7    1388     14   72.0%  [0.696, 0.743]
      55095585   1126.3     290      3   67.2%  [0.616, 0.724]
      55095756   1135.7     108      2   52.8%  [0.434, 0.619]
      55098170   1046.4     123      1   79.7%  [0.717, 0.858]
      55098586   1055.8      93      1   68.8%  [0.588, 0.773]
      55101098    694.1      63      1   65.1%  [0.528, 0.757]
      55101154    981.1      47      1   72.3%  [0.582, 0.831]
      55102201   1075.8      95      1   73.7%  [0.640, 0.815]
      55102322   1064.1     103      1   81.6%  [0.730, 0.879]
      55102611    871.1      23      1   60.9%  [0.408, 0.778]
      55103064   1073.3      83      1   73.5%  [0.631, 0.818]
      55103290   1091.5      89      1   86.5%  [0.779, 0.921]
      55103656   1101.9     197      2   73.1%  [0.665, 0.788]
      55104268    992.4      75      1   80.0%  [0.696, 0.875]
      55104355   1091.5     499      5   81.2%  [0.775, 0.844]
      55104408    902.8     118      1   78.8%  [0.706, 0.852]
      55106538   1037.0     168      2   80.4%  [0.737, 0.857]
      55106569   1023.7      86      1   72.1%  [0.618, 0.805]
      55108201    982.6       2      1    0.0%  [0.000, 0.658]
      55108233    882.5      96      1   69.8%  [0.600, 0.781]
      55109845   1139.9     682      7   71.4%  [0.679, 0.747]
      55109984   1101.9     200      2   69.0%  [0.623, 0.750]
      55110118   1052.7      62      1   91.9%  [0.825, 0.965]
      55110179   1052.7     480      6   79.0%  [0.751, 0.824]
      55111608   1040.9      69      1   81.2%  [0.704, 0.886]
      55111661   1075.8     174      2   80.5%  [0.739, 0.857]
      55111676   1023.7     178      2   67.4%  [0.602, 0.739]
      55111747    968.9      73      1   89.0%  [0.798, 0.943]
      55112253   1042.9      59      1   81.4%  [0.696, 0.893]
