=== arch@archaludon_ex vs rule:archaludon@archaludon_ex matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 63 seat1: winner=1 turns=19 selects=157
  match 64 seat0: winner=0 turns=7 selects=60
  match 64 seat1: winner=0 turns=24 selects=174
  match 65 seat0: winner=1 turns=12 selects=109
  match 65 seat1: winner=0 turns=12 selects=104
  match 66 seat0: winner=1 turns=14 selects=104
  match 66 seat1: winner=0 turns=12 selects=115
  match 67 seat0: winner=1 turns=16 selects=99
  match 67 seat1: winner=0 turns=18 selects=144
  match 68 seat0: winner=1 turns=16 selects=123
  match 68 seat1: winner=0 turns=10 selects=62
  match 69 seat0: winner=1 turns=4 selects=35
  match 69 seat1: winner=0 turns=20 selects=136
  match 70 seat0: winner=1 turns=14 selects=135
  match 70 seat1: winner=0 turns=26 selects=174
  match 71 seat0: winner=1 turns=26 selects=170
  match 71 seat1: winner=0 turns=16 selects=125
  match 72 seat0: winner=1 turns=6 selects=61
  match 72 seat1: winner=0 turns=20 selects=155
  match 73 seat0: winner=1 turns=18 selects=108
  match 73 seat1: winner=0 turns=4 selects=36
  match 74 seat0: winner=1 turns=14 selects=115
  match 74 seat1: winner=0 turns=8 selects=68
  match 75 seat0: winner=1 turns=12 selects=95
  match 75 seat1: winner=1 turns=17 selects=130
  match 76 seat0: winner=0 turns=19 selects=126
  match 76 seat1: winner=0 turns=24 selects=147
  match 77 seat0: winner=1 turns=15 selects=135
  match 77 seat1: winner=0 turns=4 selects=44
  match 78 seat0: winner=1 turns=14 selects=100
  match 78 seat1: winner=1 turns=24 selects=139
  match 79 seat0: winner=1 turns=16 selects=133
  match 79 seat1: winner=1 turns=21 selects=128
  match 80 seat0: winner=1 turns=12 selects=117
  match 80 seat1: winner=1 turns=17 selects=161
  match 81 seat0: winner=1 turns=12 selects=118
  match 81 seat1: winner=0 turns=10 selects=87
  match 82 seat0: winner=1 turns=10 selects=92
  match 82 seat1: winner=0 turns=12 selects=97
  match 83 seat0: winner=1 turns=10 selects=83
  match 83 seat1: winner=0 turns=4 selects=28
  match 84 seat0: winner=0 turns=17 selects=128
  match 84 seat1: winner=0 turns=16 selects=85
  match 85 seat0: winner=1 turns=16 selects=102
  match 85 seat1: winner=1 turns=36 selects=161
  match 86 seat0: winner=0 turns=19 selects=135
  match 86 seat1: winner=0 turns=16 selects=119
  match 87 seat0: winner=1 turns=17 selects=147
  match 87 seat1: winner=0 turns=4 selects=47
  match 88 seat0: winner=0 turns=5 selects=31
  match 88 seat1: winner=0 turns=16 selects=111
  match 89 seat0: winner=0 turns=17 selects=150
  match 89 seat1: winner=0 turns=20 selects=150
  match 90 seat0: winner=0 turns=19 selects=148
  match 90 seat1: winner=0 turns=22 selects=160
  match 91 seat0: winner=1 turns=12 selects=109
  match 91 seat1: winner=0 turns=12 selects=98
  match 92 seat0: winner=1 turns=18 selects=149
  match 92 seat1: winner=0 turns=4 selects=38
  match 93 seat0: winner=0 turns=19 selects=131
  match 93 seat1: winner=0 turns=18 selects=99
  match 94 seat0: winner=1 turns=8 selects=54
  match 94 seat1: winner=1 turns=32 selects=197
  match 95 seat0: winner=0 turns=15 selects=113
  match 95 seat1: winner=1 turns=15 selects=85
  match 96 seat0: winner=1 turns=10 selects=61
  match 96 seat1: winner=0 turns=8 selects=61
  match 97 seat0: winner=1 turns=4 selects=42
  match 97 seat1: winner=1 turns=23 selects=149
  match 98 seat0: winner=0 turns=15 selects=147
  match 98 seat1: winner=0 turns=20 selects=151
  match 99 seat0: winner=1 turns=20 selects=141
  match 99 seat1: winner=1 turns=15 selects=121
  match 100 seat0: winner=0 turns=17 selects=101
  match 100 seat1: winner=0 turns=16 selects=132
  match 101 seat0: winner=1 turns=8 selects=68
  match 101 seat1: winner=1 turns=13 selects=117
  match 102 seat0: winner=1 turns=14 selects=113
  match 102 seat1: winner=0 turns=4 selects=25
  match 103 seat0: winner=1 turns=15 selects=146
  match 103 seat1: winner=0 turns=16 selects=141
  match 104 seat0: winner=1 turns=14 selects=121
  match 104 seat1: winner=1 turns=15 selects=111
  match 105 seat0: winner=1 turns=16 selects=144
  match 105 seat1: winner=0 turns=4 selects=40
  match 106 seat0: winner=1 turns=17 selects=132
  match 106 seat1: winner=0 turns=8 selects=64
  match 107 seat0: winner=1 turns=14 selects=140
  match 107 seat1: winner=0 turns=21 selects=173
  match 108 seat0: winner=1 turns=12 selects=101
  match 108 seat1: winner=0 turns=24 selects=158
  match 109 seat0: winner=1 turns=10 selects=62
  match 109 seat1: winner=1 turns=17 selects=149
  match 110 seat0: winner=1 turns=22 selects=155
  match 110 seat1: winner=0 turns=14 selects=116
  match 111 seat0: winner=0 turns=27 selects=149
  match 111 seat1: winner=0 turns=12 selects=108
  match 112 seat0: winner=1 turns=24 selects=131
  match 112 seat1: winner=0 turns=16 selects=121
  match 113 seat0: winner=1 turns=12 selects=107
  match 113 seat1: winner=0 turns=15 selects=138
  match 114 seat0: winner=0 turns=21 selects=141
  match 114 seat1: winner=0 turns=10 selects=86
  match 115 seat0: winner=1 turns=17 selects=125
  match 115 seat1: winner=0 turns=15 selects=143
  match 116 seat0: winner=1 turns=22 selects=114
  match 116 seat1: winner=1 turns=54 selects=148
  match 117 seat0: winner=1 turns=10 selects=73
  match 117 seat1: winner=1 turns=13 selects=109
  match 118 seat0: winner=0 turns=15 selects=128
  match 118 seat1: winner=1 turns=13 selects=97
  match 119 seat0: winner=1 turns=8 selects=48
  match 119 seat1: winner=0 turns=16 selects=152
  match 120 seat0: winner=1 turns=14 selects=105
  match 120 seat1: winner=0 turns=18 selects=147
  match 121 seat0: winner=1 turns=31 selects=140
  match 121 seat1: winner=1 turns=11 selects=71
  match 122 seat0: winner=1 turns=12 selects=91
  match 122 seat1: winner=0 turns=20 selects=157
  match 123 seat0: winner=1 turns=10 selects=101
  match 123 seat1: winner=0 turns=12 selects=87
  match 124 seat0: winner=1 turns=16 selects=135
  match 124 seat1: winner=0 turns=14 selects=92
  match 125 seat0: winner=1 turns=12 selects=101
  match 125 seat1: winner=1 turns=17 selects=84
  match 126 seat0: winner=0 turns=17 selects=141
  match 126 seat1: winner=0 turns=12 selects=112
  match 127 seat0: winner=1 turns=16 selects=144
  match 127 seat1: winner=0 turns=4 selects=42
  match 128 seat0: winner=0 turns=13 selects=121
  match 128 seat1: winner=0 turns=15 selects=122
  match 129 seat0: winner=0 turns=19 selects=152
  match 129 seat1: winner=0 turns=20 selects=152
  match 130 seat0: winner=1 turns=16 selects=137
  match 130 seat1: winner=0 turns=14 selects=108
  match 131 seat0: winner=1 turns=17 selects=145
  match 131 seat1: winner=0 turns=18 selects=136
  match 132 seat0: winner=0 turns=17 selects=145
  match 132 seat1: winner=0 turns=18 selects=136
  match 133 seat0: winner=1 turns=4 selects=48
  match 133 seat1: winner=0 turns=18 selects=127
  match 134 seat0: winner=1 turns=19 selects=137
  match 134 seat1: winner=0 turns=16 selects=117
  match 135 seat0: winner=1 turns=19 selects=145
  match 135 seat1: winner=0 turns=16 selects=140
  match 136 seat0: winner=1 turns=18 selects=127
  match 136 seat1: winner=1 turns=17 selects=136
  match 137 seat0: winner=1 turns=8 selects=58
  match 137 seat1: winner=0 turns=14 selects=119
  match 138 seat0: winner=1 turns=12 selects=92
  match 138 seat1: winner=0 turns=19 selects=144
  match 139 seat0: winner=1 turns=10 selects=89
  match 139 seat1: winner=1 turns=21 selects=140
  match 140 seat0: winner=1 turns=18 selects=153
  match 140 seat1: winner=1 turns=19 selects=134
  match 141 seat0: winner=0 turns=18 selects=172
  match 141 seat1: winner=0 turns=24 selects=139
  match 142 seat0: winner=1 turns=10 selects=87
  match 142 seat1: winner=0 turns=18 selects=156
  match 143 seat0: winner=1 turns=12 selects=85
  match 143 seat1: winner=0 turns=16 selects=118
  match 144 seat0: winner=0 turns=17 selects=124
  match 144 seat1: winner=0 turns=16 selects=140
  match 145 seat0: winner=1 turns=18 selects=157
  match 145 seat1: winner=0 turns=8 selects=60
  match 146 seat0: winner=0 turns=17 selects=115
  match 146 seat1: winner=0 turns=12 selects=112
  match 147 seat0: winner=1 turns=8 selects=49
  match 147 seat1: winner=0 turns=16 selects=123
  match 148 seat0: winner=1 turns=21 selects=157
  match 148 seat1: winner=0 turns=12 selects=117
  match 149 seat0: winner=1 turns=16 selects=111
  match 149 seat1: winner=0 turns=27 selects=136
  match 150 seat0: winner=1 turns=16 selects=128
  match 150 seat1: winner=1 turns=28 selects=134
  match 151 seat0: winner=1 turns=6 selects=40
  match 151 seat1: winner=0 turns=21 selects=141
  match 152 seat0: winner=1 turns=8 selects=49
  match 152 seat1: winner=1 turns=17 selects=118
  match 153 seat0: winner=1 turns=16 selects=148
  match 153 seat1: winner=0 turns=6 selects=56
  match 154 seat0: winner=1 turns=16 selects=131
  match 154 seat1: winner=1 turns=19 selects=146
  match 155 seat0: winner=0 turns=11 selects=77
  match 155 seat1: winner=1 turns=17 selects=97
  match 156 seat0: winner=1 turns=16 selects=129
  match 156 seat1: winner=0 turns=22 selects=161
  match 157 seat0: winner=1 turns=16 selects=111
  match 157 seat1: winner=0 turns=14 selects=107
  match 158 seat0: winner=1 turns=16 selects=146
  match 158 seat1: winner=0 turns=16 selects=147
  match 159 seat0: winner=1 turns=14 selects=139
  match 159 seat1: winner=0 turns=24 selects=115
  match 160 seat0: winner=0 turns=13 selects=104
  match 160 seat1: winner=0 turns=10 selects=77
  match 161 seat0: winner=1 turns=21 selects=151
  match 161 seat1: winner=0 turns=8 selects=80
  match 162 seat0: winner=1 turns=8 selects=78
  match 162 seat1: winner=1 turns=13 selects=103
  match 163 seat0: winner=0 turns=25 selects=150
  match 163 seat1: winner=1 turns=15 selects=103
  match 164 seat0: winner=1 turns=18 selects=146
  match 164 seat1: winner=0 turns=15 selects=119
  match 165 seat0: winner=1 turns=10 selects=76
  match 165 seat1: winner=0 turns=4 selects=42
  match 166 seat0: winner=1 turns=6 selects=48
  match 166 seat1: winner=0 turns=12 selects=102
  match 167 seat0: winner=1 turns=18 selects=149
  match 167 seat1: winner=0 turns=14 selects=100
  match 168 seat0: winner=0 turns=13 selects=91
  match 168 seat1: winner=0 turns=16 selects=85
  match 169 seat0: winner=0 turns=3 selects=29
  match 169 seat1: winner=1 turns=17 selects=94
  match 170 seat0: winner=1 turns=4 selects=38
  match 170 seat1: winner=0 turns=20 selects=159
  match 171 seat0: winner=1 turns=18 selects=165
  match 171 seat1: winner=0 turns=16 selects=114
  match 172 seat0: winner=1 turns=18 selects=114
  match 172 seat1: winner=0 turns=16 selects=145
  match 173 seat0: winner=1 turns=17 selects=119
  match 173 seat1: winner=0 turns=10 selects=83
  match 174 seat0: winner=0 turns=17 selects=132
  match 174 seat1: winner=0 turns=10 selects=96
  match 175 seat0: winner=1 turns=16 selects=118
  match 175 seat1: winner=0 turns=14 selects=121
  match 176 seat0: winner=1 turns=16 selects=124
  match 176 seat1: winner=1 turns=19 selects=136
  match 177 seat0: winner=1 turns=20 selects=170
  match 177 seat1: winner=0 turns=18 selects=142
  match 178 seat0: winner=1 turns=6 selects=34
  match 178 seat1: winner=1 turns=11 selects=81
