=== oger@teal_mask_ogerpon vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eae3c-9ae6f7; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 60 seat0: winner=0 turns=9 selects=109
  match 60 seat1: winner=1 turns=12 selects=146
  match 61 seat0: winner=0 turns=9 selects=133
  match 61 seat1: winner=0 turns=7 selects=141
  match 62 seat0: winner=1 turns=8 selects=133
  match 62 seat1: winner=1 turns=12 selects=187
  match 63 seat0: winner=1 turns=10 selects=157
  match 63 seat1: winner=1 turns=12 selects=146
  match 64 seat0: winner=0 turns=11 selects=116
  match 64 seat1: winner=1 turns=12 selects=184
  match 65 seat0: winner=0 turns=9 selects=110
  match 65 seat1: winner=0 turns=5 selects=71
  match 66 seat0: winner=0 turns=9 selects=119
  match 66 seat1: winner=1 turns=8 selects=116
  match 67 seat0: winner=0 turns=11 selects=134
  match 67 seat1: winner=1 turns=14 selects=113
  match 68 seat0: winner=0 turns=11 selects=142
  match 68 seat1: winner=0 turns=7 selects=92
  match 69 seat0: winner=0 turns=7 selects=85
  match 69 seat1: winner=1 turns=10 selects=142
  match 70 seat0: winner=0 turns=9 selects=134
  match 70 seat1: winner=1 turns=10 selects=129
  match 71 seat0: winner=0 turns=9 selects=146
  match 71 seat1: winner=1 turns=14 selects=150
  match 72 seat0: winner=0 turns=9 selects=160
  match 72 seat1: winner=1 turns=12 selects=157
  match 73 seat0: winner=0 turns=11 selects=164
  match 73 seat1: winner=1 turns=12 selects=133
  match 74 seat0: winner=0 turns=13 selects=109
  match 74 seat1: winner=1 turns=10 selects=124
  match 75 seat0: winner=1 turns=8 selects=171
  match 75 seat1: winner=1 turns=10 selects=160
  match 76 seat0: winner=0 turns=11 selects=103
  match 76 seat1: winner=1 turns=12 selects=119
  match 77 seat0: winner=0 turns=11 selects=163
  match 77 seat1: winner=1 turns=10 selects=173
  match 78 seat0: winner=0 turns=9 selects=99
  match 78 seat1: winner=1 turns=12 selects=171
  match 79 seat0: winner=0 turns=9 selects=154
  match 79 seat1: winner=1 turns=10 selects=154
  match 80 seat0: winner=0 turns=13 selects=150
  match 80 seat1: winner=1 turns=12 selects=140
  match 81 seat0: winner=0 turns=9 selects=129
  match 81 seat1: winner=1 turns=14 selects=165
  match 82 seat0: winner=0 turns=9 selects=141
  match 82 seat1: winner=1 turns=12 selects=155
  match 83 seat0: winner=1 turns=8 selects=153
  match 83 seat1: winner=1 turns=10 selects=169
  match 84 seat0: winner=0 turns=9 selects=141
  match 84 seat1: winner=0 turns=5 selects=66
  match 85 seat0: winner=0 turns=13 selects=178
  match 85 seat1: winner=0 turns=9 selects=148
  match 86 seat0: winner=0 turns=9 selects=135
  match 86 seat1: winner=1 turns=12 selects=112
  match 87 seat0: winner=0 turns=11 selects=154
  match 87 seat1: winner=1 turns=10 selects=164
  match 88 seat0: winner=0 turns=11 selects=139
